tf_name,devvcell_system,stage,stage_num,target_stage,n_cells,stimulus_mode,stimulus_response_norm,fate_displacement_from_baseline,cell_level_feedback_cost_proxy,cell_level_recovery_probability_proxy,alignment_with_normal_transition,transition_norm,stimulus_strength,grn_evidence_scale,temporal_sensitivity_norm,stage_vulnerability_score,devvcell_priority_score,response_amplitude_proxy,feedback_cost,matched_global_grn_targets,matched_system_targets,gene_delta_norm,mapped_systems,stimulus_response_rank
Eya1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.410886526107788,2.410886526107788,2.329179015156741,0.00033546262790251185,-0.046482838690280914,3.565711498260498,2.410886279264435,0.9995778507072872,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,27,0.24957802891731262,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,1
Lef1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.093505620956421,2.093505382537842,2.093505620956421,0.00033546262790251185,-0.0840999186038971,3.184644937515259,2.0935054651290828,1.0713440958234948,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,24,0.32643407583236694,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,2
Rfx4,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.8787325620651245,1.8787323236465454,1.4856972876846544,0.0026246987518119495,-0.07051736116409302,3.3876054286956787,1.878732312551256,0.9194245343012628,0.6264370300506708,0.6011733524950248,0.7101176189887484,0.6799596678627393,0.790797646074521,10,0,0.17591693997383118,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,3
Eya4,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.8521252870559692,1.8521251678466797,1.8521252870559692,0.0006060784358202925,-0.03363627567887306,3.8263895511627197,1.852125221655244,0.9827425582001995,0.3895396203930418,0.6011733524950248,0.5801603409284204,0.6929618611863627,1.0,10,16,0.23304037749767303,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,4
Nrg1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.713106632232666,1.713106632232666,1.713106632232666,0.001056888009556866,-0.018924053758382797,3.3043367862701416,1.713106785411378,1.0498371826109212,0.3895396203930418,0.6011733524950248,0.562445635633383,0.6958264708898145,1.0,10,17,0.3023209273815155,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,5
Pax3,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.6693612337112427,1.6693615913391113,1.6693612337112427,0.001258990669679943,-0.06029225513339043,3.61523175239563,1.6693615392730414,1.061393842254791,0.3895396203930418,0.6011733524950248,0.5626863715216118,0.5653866848062744,1.0,10,17,0.3151630461215973,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,6
Eya1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.6414620876312256,1.641461968421936,1.5858311900139148,0.0017584460957576595,-0.041385892778635025,2.5545401573181152,1.6414617919238357,0.9499574309983302,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,22,0.20246168971061707,cardiac muscle cell;muscle precursor cell;myoblast;myotube,7
Lef1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.6184921264648438,1.618491768836975,1.6184921264648438,0.0015430898048147852,0.06868787854909897,2.5051844120025635,1.6184920272987662,1.0528991238020495,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,22,0.3056974411010742,cardiac muscle cell;muscle precursor cell;myoblast;myotube,8
Eya1,neural,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.5352792739868164,1.5352791547775269,1.4832470249640002,0.0026505500357642117,0.10396021604537964,2.418262481689453,1.5352791183645662,0.9385772113787135,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,8,0.19234997034072876,neural cell,9
Zbtb16,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.527681589126587,1.527681827545166,1.527681589126587,0.0022189384869003336,-0.1000954881310463,3.422847032546997,1.5276816665175672,1.0220489874358012,0.3895396203930418,0.6011733524950248,0.532417423355394,0.5690301081885955,1.0,10,26,0.27253514528274536,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,10
