tf_name,devvcell_system,stage,stage_num,target_stage,n_cells,stimulus_mode,stimulus_response_norm,fate_displacement_from_baseline,cell_level_feedback_cost_proxy,cell_level_recovery_probability_proxy,alignment_with_normal_transition,transition_norm,stimulus_strength,grn_evidence_scale,temporal_sensitivity_norm,stage_vulnerability_score,devvcell_priority_score,response_amplitude_proxy,feedback_cost,matched_global_grn_targets,matched_system_targets,gene_delta_norm,mapped_systems,stimulus_response_rank
Eya1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.6596736907958984,2.6596739292144775,2.5695345179797653,0.00033546262790251185,-0.0697517991065979,3.3876054286956787,2.659673835216225,1.1607044810226723,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,27,0.4365304112434387,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,1
Lef1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.462635040283203,2.4626352787017822,2.462635040283203,0.00033546262790251185,-0.025664592161774635,3.565711498260498,2.462635111724084,1.1255628912066293,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,24,0.39132893085479736,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,2
Nrg1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.9840216636657715,1.9840213060379028,1.9840216636657715,0.00035760316835068985,-0.034085385501384735,3.8263895511627197,1.9840215120088083,1.0499751367150985,0.3895396203930418,0.6011733524950248,0.562445635633383,0.6958264708898145,1.0,10,17,0.30247265100479126,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,3
Eya1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.8615527153015137,1.8615528345108032,1.798462712008406,0.0007511908219219604,0.031071733683347702,2.6448192596435547,1.8615526157874243,1.0405559032583258,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,22,0.2922006845474243,cardiac muscle cell;muscle precursor cell;myoblast;myotube,4
Zbtb16,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.7227652072906494,1.722765326499939,1.7227652072906494,0.001016834580864422,-0.05237680301070213,3.5172348022460938,1.7227654918675686,1.1216339305417984,0.3895396203930418,0.6011733524950248,0.532417423355394,0.5690301081885955,1.0,10,26,0.38642874360084534,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,5
Eya4,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.6659501791000366,1.6659499406814575,1.6659501791000366,0.0012762863380161103,-0.01891540363430977,3.184644937515259,1.6659500492443609,1.0620856878553222,0.3895396203930418,0.6011733524950248,0.5801603409284204,0.6929618611863627,1.0,10,16,0.31594032049179077,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,6
Lef1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.6384375095367432,1.6384378671646118,1.6384375095367432,0.0014247626534065368,-0.03233543038368225,2.5545401573181152,1.6384378736923721,1.0452812131197093,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,22,0.2973316013813019,cardiac muscle cell;muscle precursor cell;myoblast;myotube,7
Pax3,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.5378111600875854,1.537811040878296,1.5378111600875854,0.002130828004374499,-0.0823775976896286,3.3745274543762207,1.5378111490189708,1.0474959254439815,0.3895396203930418,0.6011733524950248,0.5626863715216118,0.5653866848062744,1.0,10,17,0.29975178837776184,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,8
Satb1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.5362958908081055,1.5362961292266846,1.2301442512869367,0.007294920425550088,0.07973241060972214,3.61523175239563,1.5362959992934655,1.0956935444045799,0.2396488468089561,0.6011733524950248,0.5203752443922943,0.6142587271495793,0.8007209149273125,10,23,0.35485079884529114,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,9
Eya1,neural,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.5093213319778442,1.5093213319778442,1.4581688252440144,0.002930227244894786,0.06320340186357498,2.3827362060546875,1.5093214469579799,0.9364657097180245,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,8,0.1905023157596588,neural cell,10
Satb2,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.4078576564788818,1.4078576564788818,1.2369503869945104,0.007098998594020803,-0.0163537859916687,3.3988096714019775,1.4078578092948508,1.0627116758700876,0.011343439613128253,0.6011733524950248,0.8485568526711808,1.0,0.8786047234975314,10,17,0.31664443016052246,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,11
Eya4,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.3481298685073853,1.3481297492980957,1.3481298685073853,0.004550494029371694,-0.04045851528644562,2.5051844120025635,1.3481298533493238,1.0925734055192233,0.3895396203930418,0.6011733524950248,0.5801603409284204,0.6929618611863627,1.0,10,23,0.3511432409286499,cardiac muscle cell;muscle precursor cell;myoblast;myotube,12
Nrg1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.3391340970993042,1.3391340970993042,1.3391340970993042,0.004717216450561965,-0.03624656796455383,2.5761168003082275,1.3391340688529256,1.0526411159817024,0.3895396203930418,0.6011733524950248,0.562445635633383,0.6958264708898145,1.0,10,13,0.3054122030735016,cardiac muscle cell;muscle precursor cell;myoblast;myotube,13
Lef1,neural,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.303816795349121,1.3038169145584106,1.303816795349121,0.005432981690909227,0.16067390143871307,2.418262481689453,1.3038166294012115,0.878676433280015,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,3,0.14339584112167358,neural cell,14
Zbtb16,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.1848976612091064,1.184897780418396,1.1848976612091064,0.00874222412768656,-0.039907582104206085,2.4317376613616943,1.1848978032118236,1.1158106693343983,0.3895396203930418,0.6011733524950248,0.532417423355394,0.5690301081885955,1.0,10,25,0.3792227804660797,cardiac muscle cell;muscle precursor cell;myoblast;myotube,15
