tf_name,devvcell_system,stage,stage_num,target_stage,n_cells,stimulus_mode,stimulus_response_norm,fate_displacement_from_baseline,cell_level_feedback_cost_proxy,cell_level_recovery_probability_proxy,alignment_with_normal_transition,transition_norm,stimulus_strength,grn_evidence_scale,temporal_sensitivity_norm,stage_vulnerability_score,devvcell_priority_score,response_amplitude_proxy,feedback_cost,matched_global_grn_targets,matched_system_targets,gene_delta_norm,mapped_systems,stimulus_response_rank
Eya1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.48201060295105,2.482010841369629,2.3978926213185248,0.00033546262790251185,-0.016787473112344742,3.565711498260498,2.4820107129509195,1.0290667607270498,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,27,0.2799116373062134,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,1
Lef1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.358449935913086,2.358449697494507,2.358449935913086,0.00033546262790251185,-0.0786798819899559,3.184644937515259,2.3584496417375904,1.2069283510644242,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,24,0.49974769353866577,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,2
Rfx4,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.177325963973999,2.17732572555542,1.7218242470475758,0.0010206689960597485,-0.07051736116409302,3.3876054286956787,2.1773258333530934,1.0655519027265152,0.6264370300506708,0.6011733524950248,0.7101176189887484,0.6799596678627393,0.790797646074521,10,0,0.3198489546775818,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,3
Eya4,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,2.034320116043091,2.0343198776245117,2.034320116043091,0.00033546262790251185,-0.02290666103363037,3.8263895511627197,2.034319837328182,1.0794155048256484,0.3895396203930418,0.6011733524950248,0.5801603409284204,0.6929618611863627,1.0,10,16,0.33572232723236084,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,4
Nrg1,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.9590867757797241,1.959086537361145,1.9590867757797241,0.0003951097027589526,-0.010467594489455223,3.3043367862701416,1.959086461504669,1.2005800389981927,0.3895396203930418,0.6011733524950248,0.562445635633383,0.6958264708898145,1.0,10,17,0.49081239104270935,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,5
Pax3,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.9182580709457397,1.9182580709457397,1.9182580709457397,0.00046520504909272224,-0.052142880856990814,3.61523175239563,1.9182580879987818,1.21964432183096,0.3895396203930418,0.6011733524950248,0.5626863715216118,0.5653866848062744,1.0,10,17,0.5178879499435425,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,6
Lef1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.8552623987197876,1.855262279510498,1.8552623987197876,0.000598520611550036,0.10040805488824844,2.5051844120025635,1.85526217047728,1.2069283510644242,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,22,0.49974769353866577,cardiac muscle cell;muscle precursor cell;myoblast;myotube,7
Lef1,neural,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.7853763103485107,1.7853761911392212,1.7853763103485107,0.0007915597108348958,0.26559722423553467,2.4108166694641113,1.7853763361226833,1.2069283510644242,0.7490059250832296,0.6011733524950248,0.6669700902954203,0.5987735608331716,1.0,10,3,0.49974769353866577,neural cell,8
Eya1,mesoderm_muscle,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.7781577110290527,1.778157114982605,1.7178940532113811,0.0010368414930693635,-0.02156919799745083,2.5545401573181152,1.7781573299522402,1.0290667607270498,0.895237171865654,0.6011733524950248,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,22,0.2799116373062134,cardiac muscle cell;muscle precursor cell;myoblast;myotube,9
Otx2,erythroid,Theiler stage 12,12,Theiler stage 13,200,tf_knockdown_zero_shot_grn_projection,1.721463918685913,1.7214637994766235,1.721463918685913,0.0010221411606788251,-0.02838869020342827,3.5690865516662598,1.721463832959514,1.225851346707394,0.28687724673561055,0.6011733524950248,0.5197067146592651,0.5741734665562692,1.0,10,0,0.5268601775169373,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,10
