split,system,src_stage,tgt_stage,pairs,src_cells_available,tgt_cells_available,target_pool_cells,pairing_method,cost_median,transport_entropy,row_mass_abs_error,col_mass_abs_error
train,erythroid,12,13,350,800,756,700,sinkhorn,62.45606994628906,10.862547955645688,8.601825692976488e-08,6.576460606247788e-19
train,erythroid,13,14,350,756,800,700,sinkhorn,26.39084243774414,10.514621884706415,8.842692811695762e-07,6.650805898075366e-19
train,erythroid,15,16,350,800,800,700,sinkhorn,18.287269592285156,10.547005925602656,5.3357329581029004e-05,6.957480226864123e-19
train,erythroid,16,17,350,800,800,700,sinkhorn,15.22542953491211,10.482405855306089,4.858472893790701e-07,6.433965463578265e-19
train,erythroid,18,19,350,800,800,700,sinkhorn,19.059913635253906,10.64645470228078,5.907231570135275e-09,6.765421556309548e-19
train,mesoderm_muscle,12,13,350,800,800,700,sinkhorn,74.40843200683594,10.793780273468968,8.551648733315416e-06,7.171222940868407e-19
train,mesoderm_muscle,13,14,350,800,800,700,sinkhorn,21.890094757080078,10.382815806410923,7.964707991138115e-06,6.415379140621371e-19
train,mesoderm_muscle,15,16,350,800,800,700,sinkhorn,35.935646057128906,10.530516789130273,8.857636180691872e-06,6.644610457089735e-19
train,mesoderm_muscle,16,17,350,800,800,700,sinkhorn,52.68162536621094,10.38721206995229,2.180334968115617e-06,6.619828693147209e-19
train,mesoderm_muscle,18,19,350,806,813,700,sinkhorn,74.51943969726562,10.469725121489278,3.306009342722542e-05,6.845962289122756e-19
train,neural,12,13,350,800,800,700,sinkhorn,50.76593780517578,10.877915326549465,5.585341294142887e-07,6.725151189902943e-19
train,neural,13,14,350,800,800,700,sinkhorn,18.554645538330078,10.51320763006199,9.728106542003524e-07,6.976066549821017e-19
train,neural,15,16,350,800,800,700,sinkhorn,28.339019775390625,10.515226044275028,2.287881953011526e-06,6.697271705467602e-19
train,neural,16,17,350,800,800,700,sinkhorn,52.69728469848633,10.43364758726845,2.3715046364532835e-05,6.963675667849754e-19
train,neural,18,19,350,794,787,700,sinkhorn,110.40513610839844,10.329713162880633,1.314943229017746e-05,6.446356345549528e-19
heldout,erythroid,14,15,350,800,800,700,sinkhorn,21.002887725830078,10.492368831832719,1.1958997627704032e-05,6.471138109492054e-19
heldout,erythroid,17,18,350,800,800,700,sinkhorn,18.066402435302734,10.63191903086375,1.684295911031478e-08,6.638415016104103e-19
heldout,mesoderm_muscle,14,15,350,800,800,700,sinkhorn,23.333824157714844,10.435878316780187,2.6871651458328726e-06,6.734444351381391e-19
heldout,mesoderm_muscle,17,18,350,800,806,700,sinkhorn,70.0445556640625,10.440078720398843,5.174723304540632e-07,6.446356345549528e-19
heldout,neural,14,15,350,800,800,700,sinkhorn,18.29907989501953,10.532656652787388,9.677998364064172e-06,6.5888514882190515e-19
heldout,neural,17,18,350,800,794,700,sinkhorn,92.2875747680664,10.419043822969572,1.0698452731513001e-05,6.790203320252073e-19
