model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,350,0.4289548695087433,0.04422660171985626,0.04782724380493164
identity,heldout,erythroid,17,18,350,0.12405524402856827,0.03808126598596573,0.07079207897186279
identity,heldout,mesoderm_muscle,14,15,350,0.24454087018966675,0.01095383707433939,0.02329707145690918
identity,heldout,mesoderm_muscle,17,18,350,0.5599127411842346,0.02356763929128647,0.01644277572631836
identity,heldout,neural,14,15,350,0.1855517029762268,0.0054639107547700405,0.030684828758239746
identity,heldout,neural,17,18,350,0.6045773029327393,0.029652396216988564,0.013706445693969727
mean_shift,heldout,erythroid,14,15,350,0.456642746925354,0.07191449403762817,0.07595038414001465
mean_shift,heldout,erythroid,17,18,350,0.13607031106948853,0.05009635165333748,0.08698320388793945
mean_shift,heldout,mesoderm_muscle,14,15,350,0.24687033891677856,0.013283281587064266,0.028606057167053223
mean_shift,heldout,mesoderm_muscle,17,18,350,0.5627010464668274,0.026356013491749763,0.014928817749023438
mean_shift,heldout,neural,14,15,350,0.18672287464141846,0.006635099649429321,0.039783477783203125
mean_shift,heldout,neural,17,18,350,0.606013298034668,0.031088316813111305,0.01344001293182373
ridge,heldout,erythroid,14,15,350,0.4142843782901764,0.043490976095199585,0.03916299343109131
ridge,heldout,erythroid,17,18,350,0.11577584594488144,0.031473178416490555,0.1258336305618286
ridge,heldout,mesoderm_muscle,14,15,350,0.1696566492319107,0.008052640594542027,0.033582210540771484
ridge,heldout,mesoderm_muscle,17,18,350,0.5062183737754822,0.020874647423624992,0.02471029758453369
ridge,heldout,neural,14,15,350,0.09604956954717636,0.004025495611131191,0.023645758628845215
ridge,heldout,neural,17,18,350,0.5894184708595276,0.025662051513791084,0.01940178871154785
context_residual_mlp,heldout,erythroid,14,15,350,0.39454320073127747,0.03843348100781441,0.024169325828552246
context_residual_mlp,heldout,erythroid,17,18,350,0.09918949753046036,0.03022734634578228,0.08701491355895996
context_residual_mlp,heldout,mesoderm_muscle,14,15,350,0.15491139888763428,0.004977530334144831,0.013965129852294922
context_residual_mlp,heldout,mesoderm_muscle,17,18,350,0.4813845455646515,0.017213867977261543,0.009371399879455566
context_residual_mlp,heldout,neural,14,15,350,0.1092192754149437,0.002877936465665698,0.014239788055419922
context_residual_mlp,heldout,neural,17,18,350,0.5683578848838806,0.021141910925507545,0.010365009307861328
