split,system,src_stage,tgt_stage,pairs,src_cells_available,tgt_cells_available,target_pool_cells,pairing_method
train,erythroid,12,13,350,800,756,700,nearest
train,erythroid,13,14,350,756,800,700,nearest
train,erythroid,15,16,350,800,800,700,nearest
train,erythroid,16,17,350,800,800,700,nearest
train,erythroid,18,19,350,800,800,700,nearest
train,mesoderm_muscle,12,13,350,800,800,700,nearest
train,mesoderm_muscle,13,14,350,800,800,700,nearest
train,mesoderm_muscle,15,16,350,800,800,700,nearest
train,mesoderm_muscle,16,17,350,800,800,700,nearest
train,mesoderm_muscle,18,19,350,806,813,700,nearest
train,neural,12,13,350,800,800,700,nearest
train,neural,13,14,350,800,800,700,nearest
train,neural,15,16,350,800,800,700,nearest
train,neural,16,17,350,800,800,700,nearest
train,neural,18,19,350,794,787,700,nearest
heldout,erythroid,14,15,350,800,800,700,nearest
heldout,erythroid,17,18,350,800,800,700,nearest
heldout,mesoderm_muscle,14,15,350,800,800,700,nearest
heldout,mesoderm_muscle,17,18,350,800,806,700,nearest
heldout,neural,14,15,350,800,800,700,nearest
heldout,neural,17,18,350,800,794,700,nearest
