model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,350,0.12768608331680298,0.007319724187254906,0.013417363166809082
identity,heldout,erythroid,17,18,350,0.06823740154504776,0.0031611493322998285,0.008830666542053223
identity,heldout,mesoderm_muscle,14,15,350,0.16421346366405487,0.0030294088646769524,0.012778639793395996
identity,heldout,mesoderm_muscle,17,18,350,0.36575162410736084,0.006759659852832556,0.012074470520019531
identity,heldout,neural,14,15,350,0.1430920511484146,0.0034171389415860176,0.015883684158325195
identity,heldout,neural,17,18,350,0.42509588599205017,0.00474676163867116,0.00788581371307373
mean_shift,heldout,erythroid,14,15,350,0.13049297034740448,0.010126574896275997,0.019208788871765137
mean_shift,heldout,erythroid,17,18,350,0.07158125936985016,0.006505001336336136,0.015520215034484863
mean_shift,heldout,mesoderm_muscle,14,15,350,0.16546623408794403,0.004282176960259676,0.01555025577545166
mean_shift,heldout,mesoderm_muscle,17,18,350,0.3653240203857422,0.006332117598503828,0.011985540390014648
mean_shift,heldout,neural,14,15,350,0.1423259973526001,0.0026510984171181917,0.01390683650970459
mean_shift,heldout,neural,17,18,350,0.42506396770477295,0.004714763257652521,0.006707429885864258
ridge,heldout,erythroid,14,15,350,0.08471518754959106,0.0025736570823937654,0.021190762519836426
ridge,heldout,erythroid,17,18,350,0.05637064576148987,0.0038868014235049486,0.03502953052520752
ridge,heldout,mesoderm_muscle,14,15,350,0.09933578222990036,0.0013405117206275463,0.016064763069152832
ridge,heldout,mesoderm_muscle,17,18,350,0.22356994450092316,0.0027843157295137644,0.01043236255645752
ridge,heldout,neural,14,15,350,0.08026354759931564,0.001738742575980723,0.014457106590270996
ridge,heldout,neural,17,18,350,0.27741578221321106,0.0024391990154981613,0.011972665786743164
context_residual_mlp,heldout,erythroid,14,15,350,0.08434150367975235,0.002631044015288353,0.006250500679016113
context_residual_mlp,heldout,erythroid,17,18,350,0.049821168184280396,0.0019047707319259644,0.006941795349121094
context_residual_mlp,heldout,mesoderm_muscle,14,15,350,0.09669313579797745,0.0009153080172836781,0.006271839141845703
context_residual_mlp,heldout,mesoderm_muscle,17,18,350,0.24182038009166718,0.001980904955416918,0.0031800270080566406
context_residual_mlp,heldout,neural,14,15,350,0.0857054814696312,0.0015161704504862428,0.004687190055847168
context_residual_mlp,heldout,neural,17,18,350,0.31128689646720886,0.0018645379459485412,0.00283205509185791
