split,system,src_stage,tgt_stage,pairs,src_cells_available,tgt_cells_available,target_pool_cells,pairing_method,cost_median,transport_entropy,row_mass_abs_error,col_mass_abs_error
train,erythroid,12,13,756,800,756,756,sinkhorn,92.98786163330078,11.75369924804578,6.449199693775792e-09,9.341921893611874e-19
train,erythroid,13,14,756,756,800,800,sinkhorn,40.073585510253906,11.391110424748407,1.802107072299037e-07,8.638380809278257e-19
train,erythroid,15,16,800,800,800,800,sinkhorn,28.187759399414062,11.487692330349688,2.9046773580139224e-06,9.047667129391535e-19
train,erythroid,16,17,800,800,800,800,sinkhorn,23.277740478515625,11.462495184570026,9.107037227698632e-08,8.814563662307152e-19
train,erythroid,18,19,800,800,800,800,sinkhorn,27.532676696777344,11.596827092763911,2.183702761708478e-07,8.71969597221467e-19
train,mesoderm_muscle,12,13,800,800,800,800,sinkhorn,97.10550689697266,11.703973625066979,3.280801811966803e-06,9.242823520438926e-19
train,mesoderm_muscle,13,14,800,800,800,800,sinkhorn,30.44098663330078,11.286086591596067,4.301757879134508e-07,8.773906080838944e-19
train,mesoderm_muscle,15,16,800,800,800,800,sinkhorn,52.779273986816406,11.420034464361843,4.571447457916958e-06,9.0801931945661e-19
train,mesoderm_muscle,16,17,800,800,800,800,sinkhorn,78.66630554199219,11.348464920998829,6.513008073424811e-07,9.053088140253962e-19
train,mesoderm_muscle,18,19,800,806,813,813,sinkhorn,104.90119934082031,11.389925832191762,3.068012097335751e-06,9.58845463735643e-19
train,neural,12,13,800,800,800,800,sinkhorn,73.7054214477539,11.809643625743073,1.6068724478652412e-07,9.321428177944125e-19
train,neural,13,14,800,800,800,800,sinkhorn,26.176097869873047,11.433819522067175,2.441578468514457e-07,9.665662367708271e-19
train,neural,15,16,800,800,800,800,sinkhorn,40.89030075073242,11.40910442272752,5.512387942926031e-07,8.979904493611191e-19
train,neural,16,17,800,800,800,800,sinkhorn,67.81397247314453,11.342402245743429,7.155238987903832e-07,9.324138683375338e-19
train,neural,18,19,787,794,787,787,sinkhorn,156.7676239013672,11.163952204372995,2.307142042168203e-07,9.144770039337711e-19
heldout,erythroid,14,15,800,800,800,800,sinkhorn,33.289398193359375,11.429101525397385,1.1841799297071922e-06,8.679038390746464e-19
heldout,erythroid,17,18,800,800,800,800,sinkhorn,26.863672256469727,11.60003652721743,6.338993777537441e-08,9.199455433539505e-19
heldout,mesoderm_muscle,14,15,800,800,800,800,sinkhorn,33.20975875854492,11.375244703766624,6.389325535330816e-07,8.803721640582295e-19
heldout,mesoderm_muscle,17,18,800,800,806,806,sinkhorn,104.09420013427734,11.378347126975077,4.4086594555693344e-07,8.662856067998324e-19
heldout,neural,14,15,800,800,800,800,sinkhorn,26.65402603149414,11.444176838116139,6.169919240492719e-07,9.280770596475918e-19
heldout,neural,17,18,794,800,794,794,sinkhorn,118.8175048828125,11.31984085367912,1.010917928996325e-06,8.968564066605533e-19
