model,split,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
identity,heldout,erythroid,14,15,800,0.3477745056152344,0.03630328178405762,0.0546107292175293
identity,heldout,erythroid,17,18,800,0.12129241228103638,0.03452395647764206,0.07984018325805664
identity,heldout,mesoderm_muscle,14,15,800,0.28987130522727966,0.009600426070392132,0.03418171405792236
identity,heldout,mesoderm_muscle,17,18,800,0.655585765838623,0.023257436230778694,0.01985907554626465
identity,heldout,neural,14,15,800,0.2134624719619751,0.0044635385274887085,0.02652597427368164
identity,heldout,neural,17,18,794,0.6598647832870483,0.029636241495609283,0.011583209037780762
mean_shift,heldout,erythroid,14,15,800,0.36304062604904175,0.0515693798661232,0.07872295379638672
mean_shift,heldout,erythroid,17,18,800,0.12834471464157104,0.04157625883817673,0.08774375915527344
mean_shift,heldout,mesoderm_muscle,14,15,800,0.2918698787689209,0.01159898191690445,0.028034448623657227
mean_shift,heldout,mesoderm_muscle,17,18,800,0.6546856164932251,0.022357337176799774,0.01874399185180664
mean_shift,heldout,neural,14,15,800,0.21476638317108154,0.005767432507127523,0.04105961322784424
mean_shift,heldout,neural,17,18,794,0.6608054041862488,0.030576875433325768,0.012326240539550781
ridge,heldout,erythroid,14,15,800,0.3091723322868347,0.035440556704998016,0.03906822204589844
ridge,heldout,erythroid,17,18,800,0.09187346696853638,0.027472136542201042,0.11425745487213135
ridge,heldout,mesoderm_muscle,14,15,800,0.21856509149074554,0.008599277585744858,0.0349045991897583
ridge,heldout,mesoderm_muscle,17,18,800,0.5577237606048584,0.02077592723071575,0.02790367603302002
ridge,heldout,neural,14,15,800,0.1188148781657219,0.003710402175784111,0.022890686988830566
ridge,heldout,neural,17,18,794,0.6564933657646179,0.0284956656396389,0.028071999549865723
mlp,heldout,erythroid,14,15,800,0.2851608991622925,0.031094467267394066,0.02294933795928955
mlp,heldout,erythroid,17,18,800,0.08260843902826309,0.024924954399466515,0.07727956771850586
mlp,heldout,mesoderm_muscle,14,15,800,0.21237488090991974,0.005549359135329723,0.0177687406539917
mlp,heldout,mesoderm_muscle,17,18,800,0.5546383857727051,0.015399506315588951,0.013157010078430176
mlp,heldout,neural,14,15,800,0.13493217527866364,0.0033510150387883186,0.01289665699005127
mlp,heldout,neural,17,18,794,0.7113075256347656,0.02597702294588089,0.013614177703857422
context_residual_mlp,heldout,erythroid,14,15,800,0.2823886275291443,0.03270157054066658,0.03060305118560791
context_residual_mlp,heldout,erythroid,17,18,800,0.0808069109916687,0.026486054062843323,0.08959543704986572
context_residual_mlp,heldout,mesoderm_muscle,14,15,800,0.20094288885593414,0.006411641836166382,0.019519925117492676
context_residual_mlp,heldout,mesoderm_muscle,17,18,800,0.5349990725517273,0.01580379158258438,0.010177373886108398
context_residual_mlp,heldout,neural,14,15,800,0.12142397463321686,0.0027434041257947683,0.014905095100402832
context_residual_mlp,heldout,neural,17,18,794,0.6628491282463074,0.022924844175577164,0.012614727020263672
