split,gene,context,perturbation_label,pairs,control_cells_available,target_cells_available,target_pool_cells,pairing_method,cost_median,transport_entropy,row_mass_abs_error,col_mass_abs_error
train,DOK2,stimulated,DOK2_1,220,2990,387,387,sinkhorn,53.306419372558594,9.93206208399931,0.00014660345527153104,1.0051982932501266e-18
train,DOK2,unstimulated,DOK2_1,220,1507,666,440,sinkhorn,76.51287841796875,10.210722452674935,1.1126683023885747e-10,8.299074811207225e-19
train,EGR1,stimulated,EGR1_1,220,2990,344,344,sinkhorn,73.1634521484375,9.993330830301465,3.670812199346729e-10,1.129587379705828e-18
train,EGR1,unstimulated,EGR1_1,220,1507,465,440,sinkhorn,70.49256896972656,10.200144338287211,1.382181964380173e-09,8.673617379884035e-19
train,EGR2,stimulated,EGR2_1,220,2990,280,280,sinkhorn,70.84915161132812,9.690967521039287,5.903285484338474e-11,1.212757572937357e-18
train,EGR2,unstimulated,EGR2_1,220,1507,523,440,sinkhorn,69.61558532714844,10.154164972090209,1.8605242938141647e-12,8.673617379884035e-19
train,EGR3,stimulated,EGR3_1,220,2990,653,440,sinkhorn,65.59494018554688,10.013211589158173,2.652419097982741e-05,8.338500344752152e-19
train,EGR3,unstimulated,EGR3_1,220,1507,332,332,sinkhorn,66.44953918457031,9.914383412552684,1.1783916251244126e-13,1.058076818931637e-18
train,EGR4,stimulated,EGR4_1,220,2990,937,440,sinkhorn,65.80577850341797,10.152588126588533,2.0477132887759197e-06,9.38327698369273e-19
train,EGR4,unstimulated,EGR4_1,220,1507,315,315,sinkhorn,73.66246795654297,9.848869279146914,3.0126351224286034e-15,1.0573552615477682e-18
train,FOS,stimulated,FOS_1,220,2990,254,254,sinkhorn,61.925437927246094,9.55406943475019,1.6568746226503204e-09,1.3556795668558907e-18
train,FOS,unstimulated,FOS_1,220,1507,453,440,sinkhorn,70.62848663330078,10.155192749813958,1.0376986782569554e-08,9.01859079840215e-19
train,JUN,stimulated,JUN_1,220,2990,604,440,sinkhorn,73.04193115234375,10.136790929649832,2.4245121618630565e-06,8.565197162635485e-19
train,JUN,unstimulated,JUN_1,220,1507,333,333,sinkhorn,82.58335876464844,9.932134703352496,9.87254509519793e-14,9.923868533741194e-19
train,JUND,stimulated,JUND_1,220,2990,548,440,sinkhorn,67.93800354003906,10.143658449369966,2.0661157024793414e-05,8.74261206358766e-19
train,JUND,unstimulated,JUND_1,220,1507,297,297,sinkhorn,76.42083740234375,9.889786961866939,1.980122627575934e-12,1.2426344091382685e-18
train,LAT,stimulated,LAT_1,220,2990,226,226,sinkhorn,48.518104553222656,9.398090964918357,7.787242883236682e-05,1.5888838917132702e-18
train,LAT,unstimulated,LAT_1,220,1507,837,440,sinkhorn,80.84039306640625,10.219851381526384,8.778095043778093e-17,8.979165264857223e-19
