metric,group,n,mean,median,ci95_low,ci95_high
stimulus_response_norm,competence_window,180,0.30117254712515407,0.2783655524253845,0.2853594594490197,0.31886020049452785
stimulus_response_norm,outside,72,0.8436673060059547,0.7908865511417389,0.7208361842566067,0.9718133943362368
fate_displacement_from_baseline,competence_window,180,0.3011725506848759,0.27836552262306213,0.2849850928845505,0.31875229097902774
fate_displacement_from_baseline,outside,72,0.8436673093173239,0.7908865213394165,0.7251987246951709,0.968111078792976
cell_level_feedback_cost_proxy,competence_window,180,0.28638753724831584,0.2677401006221771,0.27066272116351275,0.30301799375296623
cell_level_feedback_cost_proxy,outside,72,0.8054888465722783,0.7346891879254972,0.6883319204984975,0.9296203809891587
inverse_recovery_probability,competence_window,180,0.6570960822008124,0.6573207452981155,0.6410883553490707,0.6731640512413033
inverse_recovery_probability,outside,72,0.8649323799311941,0.9466928436207341,0.8308083058881307,0.8972888052881481
alignment_with_normal_transition,competence_window,180,0.023115135978959096,-0.0007947852427605,0.005284022588295767,0.040886153776300484
alignment_with_normal_transition,outside,72,0.021015183183610342,0.00304832239635285,-0.002465883224188764,0.04596737791265089
