model,condition,gene,context,perturbation_label,n_pairs,pair_latent_mse,centroid_latent_mse,effect_cosine,rbf_mmd,condition_mean_pair_latent_mse,condition_centered_pair_latent_mse
identity,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.860623836517334,0.0137672033160924,,0.0471527576446533,0.6188226252794266,0.24180121123790743
identity,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6509445905685425,0.010719796642661,,0.0944887399673461,0.47847645580768583,0.17246813476085665
identity,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,0.9977312088012696,0.0106020364910364,,0.0919758081436157,0.6749169260263443,0.3228142827749253
identity,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.6879475116729736,0.0096791358664631,,0.1093847751617431,0.5243554174900055,0.16359209418296816
identity,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6014454364776611,0.0109597016125917,,0.0532712936401367,0.4514760047197342,0.14996943175792693
identity,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6077587604522705,0.0071167964488267,,0.0825218558311462,0.45357854962348937,0.15418021082878114
identity,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7318034172058105,0.0119773149490356,,0.0593940615653991,0.5626832127571106,0.1691202044486999
identity,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6242256760597229,0.0096099637448787,,0.0672971606254577,0.4896995067596436,0.13452616930007932
identity,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7505162954330444,0.0105469487607479,,0.0548028349876403,0.5733524680137634,0.17716382741928105
identity,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5400409698486328,0.008201683871448,,0.0949850678443908,0.3991843819618225,0.14085658788681032
identity,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.055638313293457,0.0102118421345949,,0.0675280690193176,0.7448100358247757,0.31082827746868136
identity,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5886915922164917,0.0146830286830663,,0.1085371971130371,0.4280483067035675,0.16064328551292417
identity,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.888085126876831,0.0141805838793516,,0.092203676700592,0.6073170870542526,0.2807680398225785
identity,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5293207764625549,0.0098211951553821,,0.0902407169342041,0.3817464023828506,0.1475743740797043
identity,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.286909103393555,0.0156762152910232,,0.0725595355033874,0.9765030145645142,0.31040608882904075
identity,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.5897274017333984,0.0108752781525254,,0.0655463933944702,0.4575215667486191,0.13220583498477934
identity,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,1.343400001525879,0.0217095538973808,,0.077530026435852,0.9029881030321121,0.44041189849376683
identity,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.670372486114502,0.0100120417773723,,0.0931198000907898,0.472952663898468,0.19741982221603394
identity,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,1.2395212650299072,0.0208531972020864,,0.0773271322250366,0.8282479584217072,0.41127330660820005
identity,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.7198343276977539,0.01579443924129,,0.0755377411842346,0.5443524062633515,0.17548192143440244
identity,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.891234278678894,0.0122804194688797,,0.082973301410675,0.6076467245817184,0.2835875540971756
