stage,stage_num,donor_id,niche_cells,target_cells,tbx4_high_niche_cells,glis3_high_target_cells,mean_tbx4_niche,mean_glis3_target,n_cells,niche_fraction,target_fraction,tbx4_high_niche_fraction,glis3_high_target_fraction,tbx4_glis3_niche_cooccurrence
Theiler stage 12,12,embryo_1,26,0,26,0,0.0,,173,0.15028901734104047,0.0,1.0,,0.0
Theiler stage 12,12,embryo_10,79,0,79,0,0.3291139240506329,,366,0.21584699453551912,0.0,1.0,,0.0
Theiler stage 12,12,embryo_11,57,0,57,0,0.05263157894736842,,343,0.1661807580174927,0.0,1.0,,0.0
Theiler stage 12,12,embryo_12,84,0,84,0,0.10714285714285714,,320,0.2625,0.0,1.0,,0.0
Theiler stage 12,12,embryo_2,32,0,32,0,0.3125,,103,0.3106796116504854,0.0,1.0,,0.0
Theiler stage 12,12,embryo_3,21,0,21,0,0.09523809523809523,,84,0.25,0.0,1.0,,0.0
Theiler stage 12,12,embryo_4,21,0,21,0,0.0,,104,0.20192307692307693,0.0,1.0,,0.0
Theiler stage 12,12,embryo_5,20,0,20,0,0.85,,76,0.2631578947368421,0.0,1.0,,0.0
Theiler stage 12,12,embryo_6,3,0,3,0,0.0,,10,0.3,0.0,1.0,,0.0
Theiler stage 12,12,embryo_7,62,2,62,0,0.8064516129032258,2.0,300,0.20666666666666667,0.006666666666666667,1.0,0.0,0.0
Theiler stage 12,12,embryo_8,71,0,71,0,0.2535211267605634,,362,0.19613259668508287,0.0,1.0,,0.0
Theiler stage 12,12,embryo_9,48,1,48,0,1.0208333333333333,1.0,219,0.2191780821917808,0.0045662100456621,1.0,0.0,0.0
Theiler stage 13,13,embryo_13,89,0,89,0,0.07865168539325842,,425,0.20941176470588235,0.0,1.0,,0.0
Theiler stage 13,13,embryo_14,332,3,332,0,0.15963855421686746,5.0,1679,0.197736748064324,0.001786777843954735,1.0,0.0,0.0
Theiler stage 14,14,embryo_15,29,0,29,0,0.06896551724137931,,175,0.1657142857142857,0.0,1.0,,0.0
Theiler stage 14,14,embryo_16,73,0,73,0,0.0,,456,0.1600877192982456,0.0,1.0,,0.0
Theiler stage 14,14,embryo_17,57,1,57,0,0.15789473684210525,1.0,392,0.14540816326530612,0.002551020408163265,1.0,0.0,0.0
Theiler stage 14,14,embryo_18,94,0,94,0,0.10638297872340426,,598,0.15719063545150502,0.0,1.0,,0.0
Theiler stage 14,14,embryo_19,86,0,86,0,0.011627906976744186,,551,0.1560798548094374,0.0,1.0,,0.0
Theiler stage 14,14,embryo_20,103,3,103,0,0.02912621359223301,1.6666666666666667,829,0.12424607961399277,0.0036188178528347406,1.0,0.0,0.0
Theiler stage 14,14,embryo_21,85,0,85,0,0.03529411764705882,,703,0.12091038406827881,0.0,1.0,,0.0
Theiler stage 15,15,embryo_22,51,0,51,0,0.11764705882352941,,373,0.13672922252010725,0.0,1.0,,0.0
