stage,stage_num,response_recovery_class,n_cases,mean_response_amplitude,mean_recovery_cost,mean_off_manifold_score,stage_cases,class_fraction
Theiler stage 12,12,reversible_response,30,0.7207879400511154,0.7207879400511152,0.7207879400511152,30,1.0
Theiler stage 13,13,fate_deflection,3,0.7207879400511154,0.7207879400511152,0.6403659857625194,30,0.1
Theiler stage 13,13,reversible_response,27,0.7207879400511154,0.7082771402908169,0.7082771402908169,30,0.9
Theiler stage 14,14,fate_deflection,3,0.7207879400511154,0.7207879400511152,0.6610016545175948,54,0.05555555555555555
Theiler stage 14,14,reversible_response,51,0.7207879400511154,0.7169621322982971,0.7150388321902426,54,0.9444444444444444
Theiler stage 15,15,reversible_response,75,0.7207879400511154,0.7205213590850296,0.7198886952916075,75,1.0
Theiler stage 16,16,reversible_response,99,0.7207879400511154,0.7176879271507742,0.7175724430129177,99,1.0
Theiler stage 17,17,reversible_response,114,0.7207879400511154,0.7207879400511152,0.7199991046661374,114,1.0
Theiler stage 18,18,reversible_response,114,0.7207879400511154,0.7186428125094041,0.7168163130381218,114,1.0
Theiler stage 19,19,developmental_delay,3,0.7207879400511154,0.7207879400511152,0.6664255748855019,117,0.02564102564102564
Theiler stage 19,19,reversible_response,114,0.7207879400511154,0.7198269358811659,0.7188529320874691,117,0.9743589743589743
Theiler stage 20,20,reversible_response,141,0.7207879400511154,0.7197540629308,0.7190706738631517,141,1.0
Theiler stage 21,21,developmental_delay,3,0.7207879400511154,0.7207879400511152,0.6414095783679501,147,0.02040816326530612
Theiler stage 21,21,reversible_response,144,0.7207879400511154,0.720019196829446,0.7193817615578703,147,0.9795918367346939
Theiler stage 22,22,developmental_delay,6,0.7207879400511154,0.7207879400511152,0.6576681611839406,162,0.037037037037037035
Theiler stage 22,22,reversible_response,156,0.7207879400511154,0.7205003590390977,0.7189911765068355,162,0.9629629629629629
Theiler stage 23,23,developmental_delay,3,0.7207879400511154,0.6946381957263292,0.6661352942628853,165,0.01818181818181818
Theiler stage 23,23,reversible_response,162,0.7207879400511154,0.7181668869386791,0.7181668869386791,165,0.9818181818181818
Theiler stage 24,24,reversible_response,165,0.7207879400511154,0.7192301872333738,0.7178519098495547,165,1.0
Theiler stage 25,25,reversible_response,156,0.7207879400511154,0.7207879400511152,0.7199349567307819,156,1.0
Theiler stage 26,26,reversible_response,159,0.7207879400511154,0.7196155133390514,0.7196155133390514,159,1.0
Theiler stage 27,27,reversible_response,168,0.7207879400511154,0.7207879400511152,0.7201711495924767,168,1.0
