perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_amplitude,recovery_cost,developmental_delay_score,fate_deflection_index,off_manifold_score,off_manifold_threshold,response_recovery_class
Satb2,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.1959336269629697,1.1959336269629697,rdeg_proxy_quick,1.3317787086869606,1.3317787086869608,,-0.0582945513448101,1.3317787086869608,0.7523741847328391,off_manifold_collapse
Rfx4,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.1059481250693886,1.1059481250693886,rdeg_proxy_quick,1.2302164229839758,1.2302164229839758,,-0.09537202973999759,1.2302164229839758,0.7523741847328391,off_manifold_collapse
Eya1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.091243892033446,1.091243892033446,rdeg_proxy_quick,1.1738877955546445,1.1738877955546445,,-0.21502137932194731,1.1738877955546445,0.7523741847328391,off_manifold_collapse
Lef1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0779022314187252,1.0779022314187252,rdeg_proxy_quick,1.1636012314750674,1.1636012314750674,,-0.20353697730086462,1.1636012314750674,0.7523741847328391,off_manifold_collapse
Prox1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0490803089582263,1.0490803089582263,rdeg_proxy_quick,1.1277673404485578,1.1277673404485578,,-0.23149326884821342,1.1277673404485578,0.7523741847328391,off_manifold_collapse
Eya4,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0214758943301754,1.0214758943301754,rdeg_proxy_quick,1.1184519732864788,1.1184519732864786,,-0.16932706469903902,1.1184519732864786,0.7523741847328391,off_manifold_collapse
Glis3,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0122001991830425,1.0122001991830425,rdeg_proxy_quick,1.0934428255739994,1.0934428255739994,,-0.22301475959741768,1.0934428255739994,0.7523741847328391,off_manifold_collapse
Pax3,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.0101178142157496,1.0101178142157496,rdeg_proxy_quick,1.109726751380659,1.1097267513806588,,-0.16232407308295205,1.1097267513806588,0.7523741847328391,off_manifold_collapse
Nrg1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,1.009961335888401,1.009961335888401,rdeg_proxy_quick,1.0959168216420978,1.0959168216420978,,-0.20610438533828734,1.0959168216420978,0.7523741847328391,off_manifold_collapse
Zbtb16,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9904429979077082,0.9904429979077082,rdeg_proxy_quick,1.0831395870921376,1.0831395870921374,,-0.18525411002011083,1.0831395870921374,0.7523741847328391,off_manifold_collapse
Satb1,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9826155815816933,0.9826155815816933,rdeg_proxy_quick,1.0782008123766589,1.0782008123766589,,-0.18571839687111757,1.0782008123766589,0.7523741847328391,off_manifold_collapse
Otx2,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9821810372552243,0.9821810372552243,rdeg_proxy_quick,1.0701913935676792,1.0701913935676792,,-0.2012225089402946,1.0701913935676792,0.7523741847328391,off_manifold_collapse
Prdm16,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9778990006892145,0.9778990006892145,rdeg_proxy_quick,1.0574966247340978,1.0574966247340978,,-0.23134265831029932,1.0574966247340978,0.7523741847328391,off_manifold_collapse
Dach2,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9740306179941244,0.9740306179941244,rdeg_proxy_quick,1.080825366818811,1.080825366818811,,-0.18902631620915145,1.080825366818811,0.7523741847328391,off_manifold_collapse
Hoxd4,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9504168996313701,0.9504168996313701,rdeg_proxy_quick,1.0362986677369028,1.0362986677369028,,-0.21128506669814628,1.0362986677369028,0.7523741847328391,off_manifold_collapse
Rorb,RDEG-derived,Theiler stage 12,12,neural_response_axis,rdeg_proxy,1.0,0.9080251225433765,0.9080251225433765,rdeg_proxy_quick,0.9788747056860071,0.978874705686007,,-0.27135439926045923,0.978874705686007,0.7523741847328391,off_manifold_collapse
Satb2,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,1.0264902336563881,1.0264902336563881,rdeg_proxy_quick,1.1656631675122433,0.9794418995937741,0.06724184212949336,-0.0779017408672198,0.9794418995937741,0.7523741847328391,off_manifold_collapse
Rfx4,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.9365047317628071,0.9365047317628071,rdeg_proxy_quick,1.0642303873568792,0.8844692850857072,0.12743832869819127,-0.12846615948895646,0.8844692850857072,0.7523741847328391,off_manifold_collapse
Eya1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.9218004987268646,0.9218004987268646,rdeg_proxy_quick,1.0013577173491024,0.8066183973257174,0.08827631578418416,-0.28959753870538296,0.8066183973257174,0.7523741847328391,off_manifold_collapse
Lef1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.9084588381121439,0.9084588381121439,rdeg_proxy_quick,0.9918201005707666,0.7978454712694389,0.08354714489723902,-0.27530710503549827,0.7978454712694389,0.7523741847328391,off_manifold_collapse
Prox1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.879636915651645,0.879636915651645,rdeg_proxy_quick,0.9552321094629489,0.7613089547527091,0.09704655812033314,-0.3135498984880686,0.7613089547527091,0.7523741847328391,off_manifold_collapse
Eya4,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.852032501023594,0.852032501023594,rdeg_proxy_quick,0.9497087983985474,0.763442462050713,0.10759749854389322,-0.23168789473102114,0.763442462050713,0.7523741847328391,off_manifold_collapse
