stage,stage_num,response_recovery_class,n_cases,mean_response_amplitude,mean_recovery_cost,mean_off_manifold_score,stage_cases,class_fraction
Theiler stage 12,12,off_manifold_collapse,16,1.114363564315296,1.114363564315296,1.114363564315296,16,1.0
Theiler stage 13,13,off_manifold_collapse,7,1.0099577296237332,0.8214802977524579,0.8214802977524579,16,0.4375
Theiler stage 13,13,reversible_response,9,0.8942275802310162,0.7116731375292196,0.7116731375292196,16,0.5625
Theiler stage 14,14,off_manifold_collapse,16,1.0687137699046023,1.043730144877026,1.043730144877026,16,1.0
Theiler stage 15,15,off_manifold_collapse,16,1.1288470478040984,1.1288470478040984,1.1288470478040984,16,1.0
Theiler stage 16,16,developmental_delay,2,0.8823851985442378,0.8823851985442378,0.7153468112193607,16,0.125
Theiler stage 16,16,off_manifold_collapse,14,1.0047013133884246,1.0047013133884246,0.8406036447911029,16,0.875
Theiler stage 17,17,developmental_delay,14,0.8842268710130149,0.8842268710130151,0.6256519586263887,16,0.875
Theiler stage 17,17,off_manifold_collapse,2,1.0781508816671406,1.0781508816671406,0.8275720022466554,16,0.125
Theiler stage 18,18,developmental_delay,16,0.7504301468300357,0.7408623438540578,0.506155833285135,16,1.0
Theiler stage 19,19,off_manifold_collapse,16,1.0034592475228719,1.0034592475228719,1.0034592475228719,16,1.0
Theiler stage 20,20,developmental_delay,6,0.7200974529234068,0.7162299261674341,0.6259957827157526,16,0.375
Theiler stage 20,20,reversible_response,10,0.6044459251648938,0.6044459251648938,0.5727966172220896,16,0.625
Theiler stage 21,21,developmental_delay,15,0.8427247558441718,0.7064980429964332,0.6231441519655713,16,0.9375
Theiler stage 21,21,off_manifold_collapse,1,1.0895557287850912,0.9119778438814438,0.8459874994639414,16,0.0625
Theiler stage 22,22,developmental_delay,16,0.6496884172746548,0.5267577845702436,0.3745078672542971,16,1.0
Theiler stage 23,23,reversible_response,16,0.631940987358815,0.38886743922867906,0.38886743922867906,16,1.0
Theiler stage 24,24,off_manifold_collapse,2,1.040366974718883,0.7727386404583884,0.7727386404583884,16,0.125
Theiler stage 24,24,reversible_response,14,0.9184202493039914,0.6435134216094978,0.6435134216094978,16,0.875
Theiler stage 25,25,off_manifold_collapse,9,1.1360016527114698,0.8310452968720421,0.8310452968720421,16,0.5625
Theiler stage 25,25,reversible_response,7,1.0139018619663471,0.7103561727834496,0.7103561727834496,16,0.4375
Theiler stage 26,26,off_manifold_collapse,16,1.321608466241155,1.321608466241155,1.321608466241155,16,1.0
Theiler stage 27,27,developmental_delay,11,0.828233809999415,0.828233809999415,0.6910494014609577,16,0.6875
Theiler stage 27,27,off_manifold_collapse,4,0.9170837510612883,0.9170837510612883,0.7907157473035937,16,0.25
Theiler stage 27,27,reversible_response,1,0.693005102572294,0.693005102572294,0.693005102572294,16,0.0625
