stage,stage_num,response_recovery_class,n_cases,mean_response_amplitude,mean_recovery_cost,mean_off_manifold_score,stage_cases,class_fraction
Theiler stage 12,12,fate_deflection,2,1.623943188189443,1.623943188189443,1.52200506952513,30,0.06666666666666667
Theiler stage 12,12,reversible_response,28,1.2848054252655916,1.2848054252655916,1.2833828499471343,30,0.9333333333333333
Theiler stage 13,13,fate_deflection,6,1.580894156993506,1.5789162187771166,1.4376780247868064,30,0.2
Theiler stage 13,13,reversible_response,24,1.2390447225772672,1.228654746601214,1.2214727382015604,30,0.8
Theiler stage 14,14,fate_deflection,4,1.623943188189443,1.623943188189443,1.4441724671043328,54,0.07407407407407407
Theiler stage 14,14,reversible_response,50,1.2820923231622006,1.2781437755337304,1.273212602203282,54,0.9259259259259259
Theiler stage 15,15,developmental_delay,3,1.623943188189443,1.623943188189443,1.5216878890265537,75,0.04
Theiler stage 15,15,fate_deflection,6,1.580894156993506,1.5807159206335493,1.45346913693006,75,0.08
Theiler stage 15,15,reversible_response,66,1.2681651697425644,1.265994505049143,1.2628219027574947,75,0.88
Theiler stage 16,16,developmental_delay,1,1.623943188189443,1.5682645653193665,1.5488221255126773,99,0.010101010101010102
Theiler stage 16,16,fate_deflection,2,1.4947960946016319,1.4947960946016319,1.3884476850738512,99,0.020202020202020204
Theiler stage 16,16,reversible_response,96,1.300213655824982,1.2945578888509777,1.292157673902739,99,0.9696969696969697
Theiler stage 17,17,developmental_delay,5,1.4856848783872105,1.4670661883735034,1.3941406489375123,114,0.043859649122807015
Theiler stage 17,17,fate_deflection,3,1.537845125797569,1.537544688156314,1.425553774769629,114,0.02631578947368421
Theiler stage 17,17,reversible_response,106,1.2924840161242448,1.2888371948367576,1.2856242109056455,114,0.9298245614035088
Theiler stage 18,18,developmental_delay,3,1.3935126718523891,1.3935126718523891,1.3133908776700185,114,0.02631578947368421
Theiler stage 18,18,fate_deflection,1,0.9326516391782811,0.9326516391782811,0.8664757156200456,114,0.008771929824561403
Theiler stage 18,18,reversible_response,110,1.3084734165796659,1.3030264689818034,1.299582470611829,114,0.9649122807017544
Theiler stage 19,19,developmental_delay,4,1.4511203009366525,1.445816590859186,1.3723918793337502,117,0.03418803418803419
Theiler stage 19,19,fate_deflection,1,0.9326516391782811,0.9326516391782811,0.8749871564969656,117,0.008547008547008548
Theiler stage 19,19,reversible_response,112,1.3056283612853157,1.302852118077682,1.2985211753029038,117,0.9572649572649573
Theiler stage 20,20,developmental_delay,8,1.4947960946016319,1.4557698550118974,1.3852339558988607,141,0.05673758865248227
Theiler stage 20,20,fate_deflection,1,1.3656490010138207,1.3656490010138207,1.2418748502051187,141,0.0070921985815602835
Theiler stage 20,20,reversible_response,132,1.295616986182619,1.294403965154238,1.291649187545763,141,0.9361702127659575
Theiler stage 21,21,developmental_delay,4,1.623943188189443,1.623943188189443,1.5272408686943812,147,0.027210884353741496
Theiler stage 21,21,reversible_response,143,1.2985606632023632,1.2967841480570965,1.2925195632726925,147,0.9727891156462585
Theiler stage 22,22,developmental_delay,7,1.4513889134233848,1.4509466108427183,1.368407503673611,162,0.043209876543209874
Theiler stage 22,22,fate_deflection,1,1.3656490010138207,1.3656490010138207,1.3023267141558765,162,0.006172839506172839
Theiler stage 22,22,reversible_response,154,1.3004921775170513,1.2987442860007339,1.29554991283565,162,0.9506172839506173
Theiler stage 23,23,developmental_delay,5,1.4689666758840696,1.4385356120701671,1.3655247021766248,165,0.030303030303030304
Theiler stage 23,23,fate_deflection,1,1.3656490010138207,1.3383712519640047,1.2388602804067463,165,0.006060606060606061
Theiler stage 23,23,reversible_response,159,1.3019681017644704,1.2991792128107653,1.2979459509917968,165,0.9636363636363636
Theiler stage 24,24,developmental_delay,7,1.37759057423035,1.3337413266966482,1.2824654570448661,165,0.04242424242424243
Theiler stage 24,24,fate_deflection,1,1.3656490010138207,1.3018180778515098,1.203716616684391,165,0.006060606060606061
Theiler stage 24,24,reversible_response,157,1.303914825097826,1.3023832903887784,1.3005562338868601,165,0.9515151515151515
Theiler stage 25,25,developmental_delay,4,1.3656490010138207,1.3374916416457006,1.2792267857781714,156,0.02564102564102564
Theiler stage 25,25,fate_deflection,1,1.3656490010138207,1.3656490010138207,1.222587680407066,156,0.00641025641025641
Theiler stage 25,25,reversible_response,151,1.3054863183494783,1.3046269908393724,1.3028430106228126,156,0.967948717948718
Theiler stage 26,26,fate_deflection,1,1.3656490010138207,1.3004060444717687,1.222913219951557,159,0.006289308176100629
Theiler stage 26,26,reversible_response,158,1.3070460373620763,1.3047444108941981,1.3028830662146662,159,0.9937106918238994
Theiler stage 27,27,fate_deflection,3,1.3656490010138207,1.3656490010138207,1.2582551444705903,168,0.017857142857142856
Theiler stage 27,27,reversible_response,165,1.306355802341364,1.306355802341364,1.302805860886408,168,0.9821428571428571
