stage,stage_num,response_recovery_class,n_cases,mean_response_amplitude,mean_recovery_cost,mean_off_manifold_score,stage_cases,class_fraction
Theiler stage 12,12,fate_deflection,23,2.294190523935734,2.294190523935734,2.1352881814994595,330,0.0696969696969697
Theiler stage 12,12,off_manifold_collapse,5,3.745461933728057,3.745461933728057,3.7050301139480633,330,0.015151515151515152
Theiler stage 12,12,reversible_response,302,1.1840498491509448,1.1834955588801943,1.183111408948576,330,0.9151515151515152
Theiler stage 13,13,fate_deflection,54,2.1171133273893905,2.107033494091814,1.9837479089864147,330,0.16363636363636364
Theiler stage 13,13,reversible_response,276,1.0940133788138668,1.0871883180176751,1.084630854001342,330,0.8363636363636363
Theiler stage 14,14,developmental_delay,9,2.2762239098343846,2.255158446881017,2.148816013600672,594,0.015151515151515152
Theiler stage 14,14,fate_deflection,53,2.259970224575426,2.2571225746017283,2.140191834879034,594,0.08922558922558922
Theiler stage 14,14,off_manifold_collapse,2,3.7593622828527833,3.7162828674253774,3.7162828674253774,594,0.003367003367003367
Theiler stage 14,14,reversible_response,530,1.236120164740512,1.2324552324989457,1.229275016727243,594,0.8922558922558923
Theiler stage 15,15,developmental_delay,21,1.9371298237362817,1.937113133936516,1.8399339802571741,825,0.025454545454545455
Theiler stage 15,15,fate_deflection,60,2.1663434861162787,2.1612299007295275,2.027875806856356,825,0.07272727272727272
Theiler stage 15,15,off_manifold_collapse,9,3.807663758210503,3.7896526712268286,3.7386226423925333,825,0.01090909090909091
Theiler stage 15,15,reversible_response,735,1.2105235435817794,1.2071259590655496,1.2022805030555617,825,0.8909090909090909
Theiler stage 16,16,developmental_delay,18,2.5486109465760762,2.5187516965578824,2.3651209058901532,1089,0.01652892561983471
Theiler stage 16,16,fate_deflection,24,2.7363381419273796,2.728212553856301,2.611804986490062,1089,0.02203856749311295
Theiler stage 16,16,off_manifold_collapse,8,3.783991119993205,3.782610277040397,3.7453975080271813,1089,0.0073461891643709825
Theiler stage 16,16,reversible_response,1039,1.2683383954951444,1.2639662369864368,1.262172627980755,1089,0.9540863177226814
Theiler stage 17,17,developmental_delay,33,2.2516006386540233,2.232578607790444,2.123867195600589,1254,0.02631578947368421
Theiler stage 17,17,fate_deflection,26,2.3043053244547766,2.296351441681648,2.182745508715824,1254,0.02073365231259968
Theiler stage 17,17,off_manifold_collapse,10,3.7609175335850997,3.7469438283135865,3.7138487473468906,1254,0.007974481658692184
Theiler stage 17,17,reversible_response,1185,1.255725810288542,1.2526008480598954,1.2498118965821963,1254,0.9449760765550239
Theiler stage 18,18,developmental_delay,42,2.31644968018191,2.279208301472109,2.212331157646112,1254,0.03349282296650718
Theiler stage 18,18,fate_deflection,5,2.527435056660254,2.5162209905976063,2.403621328112032,1254,0.003987240829346092
Theiler stage 18,18,off_manifold_collapse,17,3.8220424999139464,3.815274441102363,3.803527467660956,1254,0.013556618819776715
Theiler stage 18,18,reversible_response,1190,1.3092254950365938,1.3048510159002205,1.3032799256150083,1254,0.94896331738437
Theiler stage 19,19,developmental_delay,47,2.210923968038204,2.1951663585364245,2.1107998785608886,1287,0.03651903651903652
Theiler stage 19,19,fate_deflection,18,2.6383232740844793,2.6185632809612986,2.492000133365455,1287,0.013986013986013986
Theiler stage 19,19,off_manifold_collapse,15,3.766832953379251,3.7331570296264256,3.7067045841930546,1287,0.011655011655011656
Theiler stage 19,19,reversible_response,1207,1.293570706494007,1.2912631273703556,1.2877150610694694,1287,0.9378399378399378
Theiler stage 20,20,developmental_delay,43,2.0561571070455313,2.017708872080785,1.9362824824545954,1551,0.027724049000644745
Theiler stage 20,20,fate_deflection,21,2.510051469320406,2.496638489354667,2.3441113557068527,1551,0.013539651837524178
Theiler stage 20,20,off_manifold_collapse,23,3.7393260463596154,3.700085806556091,3.6893640530443905,1551,0.014829142488716958
Theiler stage 20,20,reversible_response,1464,1.307468241163573,1.3044615792388046,1.302724373515013,1551,0.9439071566731141
Theiler stage 21,21,developmental_delay,61,2.0511262936768855,2.039250080551829,1.9577413768481584,1617,0.03772418058132344
Theiler stage 21,21,fate_deflection,26,2.6763512574413943,2.6643039897350467,2.5279672606549926,1617,0.016079158936301793
Theiler stage 21,21,off_manifold_collapse,16,3.7237335378053507,3.7148348613636415,3.6928291523993693,1617,0.009894867037724181
Theiler stage 21,21,reversible_response,1514,1.2756010255193193,1.2737682406987256,1.2713448576905702,1617,0.9363017934446506
Theiler stage 22,22,developmental_delay,60,2.029365462400891,1.9987650822447272,1.9224070752632616,1782,0.03367003367003367
Theiler stage 22,22,fate_deflection,12,2.607691570137059,2.5924975733704905,2.449456906154168,1782,0.006734006734006734
Theiler stage 22,22,off_manifold_collapse,22,3.8061143656625034,3.80113129951855,3.771472493349853,1782,0.012345679012345678
Theiler stage 22,22,reversible_response,1688,1.2752377222514537,1.273444355163573,1.2711577685126219,1782,0.9472502805836139
Theiler stage 23,23,developmental_delay,44,2.1687856276682123,2.1371968316723957,2.0687855033913967,1815,0.024242424242424242
Theiler stage 23,23,fate_deflection,7,2.556086836409566,2.542957426507409,2.401756601438502,1815,0.003856749311294766
Theiler stage 23,23,off_manifold_collapse,15,3.760093398075509,3.7543433385795444,3.7543433385795444,1815,0.008264462809917356
Theiler stage 23,23,reversible_response,1749,1.2946803030080554,1.2913967551113021,1.289950541840681,1815,0.9636363636363636
Theiler stage 24,24,developmental_delay,54,2.0817287086141545,2.0497157519884706,1.9680789380132824,1815,0.02975206611570248
Theiler stage 24,24,fate_deflection,4,2.3752579543853303,2.358973643309367,2.26685326765195,1815,0.0022038567493112946
Theiler stage 24,24,off_manifold_collapse,23,3.7330087382609505,3.723985470777554,3.706697393014374,1815,0.012672176308539946
Theiler stage 24,24,reversible_response,1734,1.2865087517297498,1.2852305824316297,1.283335756970647,1815,0.9553719008264463
Theiler stage 25,25,developmental_delay,49,2.3439187771727683,2.3123286126785416,2.2366247736304636,1716,0.028554778554778556
Theiler stage 25,25,fate_deflection,9,2.3907089837141666,2.389857002408478,2.2551532381132544,1716,0.005244755244755245
Theiler stage 25,25,off_manifold_collapse,12,3.744160664453443,3.744160664453443,3.7309138718614308,1716,0.006993006993006993
Theiler stage 25,25,reversible_response,1646,1.2854526077789858,1.285225491835593,1.2837572212557886,1716,0.9592074592074592
Theiler stage 26,26,developmental_delay,18,2.691276048517826,2.68650126081057,2.5779320263237384,1749,0.010291595197255575
Theiler stage 26,26,fate_deflection,13,2.5422370880640788,2.5052344651312803,2.376809880621202,1749,0.007432818753573471
