stage,stage_num,cell_type,devvcell_system,perturbation,rescuer_perturbation,source_response_norm,rescuer_response_norm,optimal_rescuer_dose,minimal_rescue_cost,rescue_fraction,source_transfer_confidence,rescuer_transfer_confidence,response_recovery_class,recovery_cost,off_manifold_score
Theiler stage 25,25.0,small bistratified retinal ganglion cell,neural,KO_PAX3,RA_hGas_120h,0.05604988304242518,0.09759466658500354,0.028812970768806213,0.05597930053610926,0.001259280171244992,0.06009734040869568,0.06009734040869568,reversible_response,0.10007302171093295,0.10007302171093295
Theiler stage 25,25.0,small bistratified retinal ganglion cell,neural,KO_TBX6,RA_hGas_120h,0.08207187289272277,0.09759466658500354,0.09108557695184478,0.08158902931906865,0.005883179664795124,0.06009734040869568,0.06009734040869568,reversible_response,0.1571844712625707,0.1571844712625707
Theiler stage 25,25.0,small bistratified retinal ganglion cell,neural,RA_hGas_120h,KO_TBX6,0.09759466658500354,0.08207187289272277,0.12879917896139398,0.09702049962715815,0.005883179664795457,0.06009734040869568,0.06009734040869568,reversible_response,0.1666981331948789,0.1666981331948789
Theiler stage 23,23.0,enteric neuron,neural,KO_PAX3,RA_hGas_120h,0.13094405241882115,0.22800120969799498,0.028812970768806217,0.13077915717006766,0.001259280171244992,0.1403997451118944,0.1403997451118944,reversible_response,0.23379115690049893,0.23379115690049898
Theiler stage 24,24.0,myofibroblast cell,mesoderm,KO_PAX3,RA_hGas_120h,0.14496351903457116,0.25241205760338803,0.028812970768806245,0.14478096934949702,0.001259280171245103,0.15543158125180828,0.15543158125180828,reversible_response,0.2588219029227826,0.2588219029227826
Theiler stage 25,25.0,Purkinje cell,neural,KO_PAX3,RA_hGas_120h,0.1475656049219609,0.25694283788018407,0.028812970768806203,0.1473797784817249,0.001259280171245103,0.15822156818592478,0.15822156818592478,reversible_response,0.26346773951276026,0.26346773951276026
Theiler stage 25,25.0,myofibroblast cell,mesoderm,KO_PAX3,RA_hGas_120h,0.15089446893619318,0.26273909214408514,0.02881297076880622,0.15070445052351128,0.001259280171245103,0.1617908151312957,0.1617908151312957,reversible_response,0.2694111860051795,0.2694111860051795
Theiler stage 23,23.0,small bistratified retinal ganglion cell,neural,KO_PAX3,RA_hGas_120h,0.1576609697723003,0.2745209970687961,0.028812970768806227,0.15746243043928676,0.001259280171245103,0.16904593649908614,0.16904593649908614,reversible_response,0.2814922849892086,0.28149228498920864
Theiler stage 25,25.0,sensory neuron of dorsal root ganglion,neural,KO_PAX3,RA_hGas_120h,0.16647905938476268,0.2898751507071462,0.02881297076880623,0.16626941560635192,0.001259280171245103,0.17850079535746077,0.17850079535746077,reversible_response,0.29723634769436996,0.29723634769437
Theiler stage 25,25.0,retinal pigment epithelial cell,neural,KO_PAX3,RA_hGas_120h,0.16796717384146526,0.29246627180069573,0.028812970768806234,0.16775565611002663,0.001259280171244992,0.18009636908959262,0.18009636908959262,reversible_response,0.2998932686770816,0.2998932686770816
