tf,n_implicated_systems,total_system_edges,total_abs_system_weight,best_system_or_cell_type,best_system_process,best_system_evidence_score,top_systems,process_summary,top_grn_targets,global_effect_score,developmental_delay_score,peak_sensitivity_stage,mutual_information,fate_mi_significant
Eya1,8,57,4.134230520576236,erythroid progenitor cell,definitive erythroid differentiation,0.7566422273350041,erythroid progenitor cell; primitive erythroid progenitor; neural cell; myoblast,definitive erythroid differentiation; neural regionalization; primitive erythroid differentiation; neural patterning / neuronal differentiation; hematopoietic / erythroid regulation; metabolic or stress response,"Slc24a3(activator,0.097); Opcml(activator,0.097); Clstn2(activator,0.094); Cdh8(repressor,0.093); Il19(activator,0.089); Myo15b(activator,0.088); Stk33(repressor,0.083); Edil3(repressor,0.083)",0.016723396256566,0.0019017064478248,Theiler stage 25,0.0425331380828705,True
Lef1,8,49,3.52538472600281,erythroid progenitor cell,definitive erythroid differentiation,0.6438521468228774,erythroid progenitor cell; primitive erythroid progenitor; myoblast; myotube,definitive erythroid differentiation; neural regionalization; primitive erythroid differentiation; Wnt/FGF signaling; myogenic / mesoderm morphogenesis; hematopoietic / erythroid regulation,"Fgf15(activator,0.327); Asic2(activator,0.267); Sulf1(activator,0.101); Colec12(activator,0.100); Lrp2(activator,0.099); Parn(activator,0.093); Crabp1(activator,0.090); Spib(activator,0.090)",0.0168749690055847,0.00218011229299,Theiler stage 12,0.0351342233096294,False
Prdm16,7,62,4.752473967149851,erythroid progenitor cell,definitive erythroid differentiation,0.6288764269786244,erythroid progenitor cell; neural cell; cardiac muscle cell; hematopoietic stem cell,definitive erythroid differentiation; neural patterning / neuronal differentiation; cardiac muscle differentiation; myogenic / mesoderm morphogenesis; hematopoietic progenitor maintenance and lineage choice,"Rhbdl3(activator,0.139); Cadm2(activator,0.130); 9430076C15Rik(activator,0.126); Plcl1(activator,0.119); Mylk(repressor,0.111); Pcdh17(activator,0.107); Rorb(activator,0.106); Spon1(repressor,0.105)",0.011954647488892,0.0019283622968941,Theiler stage 12,0.0284487725490222,False
Satb2,8,57,4.064792981371282,cardiac muscle cell,cardiac muscle differentiation,0.5973669378989759,cardiac muscle cell; myotube; hematopoietic stem cell; neural cell,cardiac muscle differentiation; neural adhesion and axon guidance; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; muscle fiber maturation; neural regionalization,"Rfx4(activator,0.111); Dach2(activator,0.103); Ntn1(activator,0.092); Arhgef37(repressor,0.086); Chl1(repressor,0.085); Pld5(activator,0.084); Slc1a3(repressor,0.084); H2-K1(activator,0.084)",0.0280801113694906,0.0039700246416032,Theiler stage 23,0.0308701394129292,False
Zbtb16,8,58,4.438621297478674,primitive erythroid progenitor,primitive erythroid differentiation,0.5826620727554638,primitive erythroid progenitor; muscle precursor cell; neural cell; cardiac muscle cell,primitive erythroid differentiation; neural regionalization; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; mesoderm-to-muscle precursor specification; neural patterning / neuronal differentiation,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,0.0282783685474151,False
Dach2,8,43,2.8541789632290584,myoblast,myogenic commitment and skeletal muscle differentiation,0.5745403618063268,myoblast; primitive erythroid progenitor; muscle precursor cell; myotube,myogenic commitment and skeletal muscle differentiation; Wnt/FGF signaling; neural regionalization; primitive erythroid differentiation; mesoderm-to-muscle precursor specification; muscle fiber maturation,"Pax3(activator,0.135); Rfx4(activator,0.128); Satb2(activator,0.108); Ntn1(activator,0.107); Pip5k1b(activator,0.099); Gm44905(activator,0.099); Hoxd4(activator,0.098); Casz1(activator,0.094)",0.0171716455370187,0.0028559644706547,Theiler stage 19,0.0550714129332959,True
Pax3,8,42,2.9167742244899255,primitive erythroid progenitor,primitive erythroid differentiation,0.5512874069021517,primitive erythroid progenitor; cardiac muscle cell; neural cell; muscle precursor cell,primitive erythroid differentiation; neural regionalization; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; cardiac muscle differentiation; neural patterning / neuronal differentiation,"Nrg1(activator,0.351); Lef1(activator,0.278); Dach2(activator,0.115); Veph1(repressor,0.092); Gm28175(repressor,0.090); Scml4(repressor,0.089); Rgcc(repressor,0.087); Fam46c(repressor,0.087)",0.0159425660967826,0.0035873651504516,,0.0451183692546634,True
Satb1,8,54,3.8655770737677786,primitive erythroid progenitor,primitive erythroid differentiation,0.5396480333394269,primitive erythroid progenitor; cardiac muscle cell; myoblast; neural cell,primitive erythroid differentiation; cardiac muscle differentiation; myogenic commitment and skeletal muscle differentiation; neural regionalization; myogenic / mesoderm morphogenesis; neural patterning / neuronal differentiation,"Lef1(activator,0.104); Cntn3(activator,0.097); Smpd3(activator,0.089); Parn(activator,0.089); Clec4a1(activator,0.089); Satb2(activator,0.088); Itga8(activator,0.087); Atp6v0a4(activator,0.086)",0.0173074267804622,0.0025597573257982,Theiler stage 14,0.0447578900494776,True
Eya4,8,44,3.2742804400622822,erythroid progenitor cell,definitive erythroid differentiation,0.5347443522611315,erythroid progenitor cell; myotube; muscle precursor cell; cardiac muscle cell,definitive erythroid differentiation; neural regionalization; muscle fiber maturation; mesoderm-to-muscle precursor specification; Wnt/FGF signaling; cardiac muscle differentiation,"Gm45009(activator,0.126); Mecom(activator,0.122); Casz1(activator,0.112); Rfx4(activator,0.108); Bmp6(activator,0.105); Dach2(activator,0.103); Glra1(activator,0.100); Arhgap6(activator,0.097)",0.0195053871721029,0.0025683373678475,,0.0550714129332962,True
Nrg1,8,34,2.600421361625193,primitive erythroid progenitor,primitive erythroid differentiation,0.43304897448699226,primitive erythroid progenitor; erythroid progenitor cell; myoblast; myotube,primitive erythroid differentiation; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis; definitive erythroid differentiation; neural adhesion and axon guidance; myogenic commitment and skeletal muscle differentiation,"Epha3(activator,0.306); Nkain2(activator,0.138); March1(activator,0.131); Csmd1(activator,0.130); Rgs20(activator,0.128); Nrxn3(activator,0.127); Pcdh15(activator,0.125); Dgkb(activator,0.124)",0.0195853877812623,0.002594020217657,,0.0358542270159847,False
