tf,system_or_cell_type,system_process,ot_grn_evidence_score,n_system_specific_edges,sum_abs_system_weight,mean_abs_system_weight,max_abs_system_weight,n_positive_edges,n_negative_edges,top_system_targets,biological_process_proxy,grn_n_direct_targets,grn_mean_abs_weight,top_grn_targets,global_effect_score,developmental_delay_score,mean_temporal_sensitivity,peak_sensitivity_stage,peak_sensitivity,mutual_information,p_value,significant,mean_out_degree,mass_shift_mean
Eya1,erythroid progenitor cell,definitive erythroid differentiation,0.7566422273350041,12,1.0349474400281902,0.08624562000234919,0.0895126163959503,12,0,Elavl4(+0.090); Hoxd4(+0.089); Ets1(+0.088); Gata4(+0.087); Cpm(+0.087); Cyyr1(+0.087); Prdm6(+0.086); Stab1(+0.086),definitive erythroid differentiation; neural regionalization,10,0.08827310000000001,"Slc24a3(activator,0.097); Opcml(activator,0.097); Clstn2(activator,0.094); Cdh8(repressor,0.093); Il19(activator,0.089); Myo15b(activator,0.088); Stk33(repressor,0.083); Edil3(repressor,0.083)",0.016723396256566,0.0019017064478248,0.0002842319527189375,Theiler stage 25,0.0003200397768523,0.0425331380828705,0.038,True,12.75,8555.63938331604
Eya1,primitive erythroid progenitor,primitive erythroid differentiation,0.7269631471516761,11,0.9335855990648265,0.08487141809680242,0.0864768177270889,11,0,Pcsk5(+0.086); Hnf1aos1(+0.086); Eya4(+0.085); Eng(+0.085); Galnt18(+0.085); Ism1(+0.085); 9130410C08Rik(+0.085); Mef2c(+0.085),primitive erythroid differentiation,10,0.08827310000000001,"Slc24a3(activator,0.097); Opcml(activator,0.097); Clstn2(activator,0.094); Cdh8(repressor,0.093); Il19(activator,0.089); Myo15b(activator,0.088); Stk33(repressor,0.083); Edil3(repressor,0.083)",0.016723396256566,0.0019017064478248,0.0002842319527189375,Theiler stage 25,0.0003200397768523,0.0425331380828705,0.038,True,12.75,8555.63938331604
Lef1,erythroid progenitor cell,definitive erythroid differentiation,0.6438521468228774,11,0.9324619397521017,0.08476926725019106,0.087884172797203,11,0,Hoxd4(+0.088); Elavl4(+0.088); Ets1(+0.086); Gata4(+0.086); Ccbe1(+0.085); Cyyr1(+0.085); Stab1(+0.084); Cpm(+0.084),definitive erythroid differentiation; neural regionalization,10,0.13481620000000002,"Fgf15(activator,0.327); Asic2(activator,0.267); Sulf1(activator,0.101); Colec12(activator,0.100); Lrp2(activator,0.099); Parn(activator,0.093); Crabp1(activator,0.090); Spib(activator,0.090)",0.0168749690055847,0.00218011229299,0.00016182873741850287,Theiler stage 12,0.0002397117350483,0.0351342233096294,0.174,False,11.5,10696.433334350586
Prdm16,erythroid progenitor cell,definitive erythroid differentiation,0.6288764269786244,15,1.218014262616634,0.08120095084110893,0.0866904854774475,15,0,Aim1(+0.087); Phyhipl(+0.084); Igsf6(+0.083); Kcnip1(+0.083); Atp6v0a4(+0.083); Gm42906(+0.082); Etv1(+0.081); Prox1(+0.081),definitive erythroid differentiation,10,0.11481159999999999,"Rhbdl3(activator,0.139); Cadm2(activator,0.130); 9430076C15Rik(activator,0.126); Plcl1(activator,0.119); Mylk(repressor,0.111); Pcdh17(activator,0.107); Rorb(activator,0.106); Spon1(repressor,0.105)",0.011954647488892,0.0019283622968941,0.00010277086698803641,Theiler stage 12,0.0001556045172037,0.0284487725490222,0.388,False,11.625,9957.618392944336
Eya1,neural cell,neural patterning / neuronal differentiation,0.6105949905844773,8,0.536157831549644,0.0670197289437055,0.0766507685184478,3,5,Six3os1(-0.077); Bcl11b(-0.075); Foxn4(-0.070); Nkx2-1(-0.068); Gm26740(-0.066); Gm16188(+0.064); Foxo3(+0.062); Klf9(+0.055),neural patterning / neuronal differentiation; hematopoietic / erythroid regulation; metabolic or stress response,10,0.08827310000000001,"Slc24a3(activator,0.097); Opcml(activator,0.097); Clstn2(activator,0.094); Cdh8(repressor,0.093); Il19(activator,0.089); Myo15b(activator,0.088); Stk33(repressor,0.083); Edil3(repressor,0.083)",0.016723396256566,0.0019017064478248,0.0002842319527189375,Theiler stage 25,0.0003200397768523,0.0425331380828705,0.038,True,12.75,8555.63938331604
Satb2,cardiac muscle cell,cardiac muscle differentiation,0.5973669378989759,11,0.7421573437750334,0.06746884943409394,0.0814090594649314,5,6,1700019B21Rik(-0.081); Trim30a(-0.081); Aim1(+0.081); B630019A10Rik(-0.073); Tspan11(+0.068); 1700007G11Rik(-0.065); Smoc1(+0.062); H2-T24(-0.061),cardiac muscle differentiation; neural adhesion and axon guidance; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.0895955,"Rfx4(activator,0.111); Dach2(activator,0.103); Ntn1(activator,0.092); Arhgef37(repressor,0.086); Chl1(repressor,0.085); Pld5(activator,0.084); Slc1a3(repressor,0.084); H2-K1(activator,0.084)",0.0280801113694906,0.0039700246416032,0.0001543990080108112,Theiler stage 23,0.0002020103129325,0.0308701394129292,0.3,False,9.5,1343450.046127319
Eya1,myoblast,myogenic commitment and skeletal muscle differentiation,0.586730716264896,7,0.4546550773084162,0.06495072532977374,0.0745344161987304,7,0,2310008N11Rik(+0.075); Mecom(+0.070); Barhl1(+0.068); 1700007G11Rik(+0.066); Wnt8b(+0.062); Acoxl(+0.058); Tbx20(+0.056),myogenic commitment and skeletal muscle differentiation; Wnt/FGF signaling; myogenic / mesoderm morphogenesis; metabolic or stress response,10,0.08827310000000001,"Slc24a3(activator,0.097); Opcml(activator,0.097); Clstn2(activator,0.094); Cdh8(repressor,0.093); Il19(activator,0.089); Myo15b(activator,0.088); Stk33(repressor,0.083); Edil3(repressor,0.083)",0.016723396256566,0.0019017064478248,0.0002842319527189375,Theiler stage 25,0.0003200397768523,0.0425331380828705,0.038,True,12.75,8555.63938331604
Zbtb16,primitive erythroid progenitor,primitive erythroid differentiation,0.5826620727554638,16,1.2596699818968764,0.07872937386855478,0.082949474453926,16,0,Pax3(+0.083); Eya1(+0.083); Smoc1(+0.082); Gm42906(+0.081); Mef2c(+0.081); Slc44a5(+0.081); Hnf1aos1(+0.081); Prdm6(+0.079),primitive erythroid differentiation; neural regionalization; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.1201146,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,,,0.0282783685474151,0.396,False,9.125,25665.518112182617
Satb2,myotube,muscle fiber maturation,0.5821607406723761,10,0.6902241930365558,0.06902241930365557,0.0998028591275215,10,0,Ebf1(+0.100); Pde3a(+0.091); Gpc5(+0.082); Gata4(+0.073); Nr5a2(+0.066); Elavl4(+0.064); Fam189a1(+0.061); Cped1(+0.054),muscle fiber maturation; neural regionalization; metabolic or stress response,10,0.0895955,"Rfx4(activator,0.111); Dach2(activator,0.103); Ntn1(activator,0.092); Arhgef37(repressor,0.086); Chl1(repressor,0.085); Pld5(activator,0.084); Slc1a3(repressor,0.084); H2-K1(activator,0.084)",0.0280801113694906,0.0039700246416032,0.0001543990080108112,Theiler stage 23,0.0002020103129325,0.0308701394129292,0.3,False,9.5,1343450.046127319
Dach2,myoblast,myogenic commitment and skeletal muscle differentiation,0.5745403618063268,10,0.6042276583611961,0.06042276583611961,0.0705090537667274,10,0,St6galnac5(+0.071); Tbx18(+0.070); Gata2(+0.065); Wnt8b(+0.063); Cyyr1(+0.062); Lef1(+0.060); Lmx1b(+0.058); Satb1(+0.056),myogenic commitment and skeletal muscle differentiation; Wnt/FGF signaling; neural regionalization,10,0.1050761,"Pax3(activator,0.135); Rfx4(activator,0.128); Satb2(activator,0.108); Ntn1(activator,0.107); Pip5k1b(activator,0.099); Gm44905(activator,0.099); Hoxd4(activator,0.098); Casz1(activator,0.094)",0.0171716455370187,0.0028559644706547,0.00013989555463918125,Theiler stage 19,0.0001459881605114,0.0550714129332959,0.006,True,10.25,11747.649154663086
