tf_name,devvcell_priority_score,response_amplitude_proxy,fate_displacement_proxy,feedback_cost,recovery_probability_proxy,global_effect_score,developmental_delay_score,mass_shift_mean,window_sensitivity,peak_stage,peak_sensitivity,best_rescuer_tf,best_rescue_fraction,n_affected_genes
Satb2,0.8485568526711808,1.0,0.9348120673961704,0.8786047234975314,0.15954607099193716,0.0280801113694906,0.0039700246416032,1343450.046127319,0.00015191371494434837,Theiler stage 23,0.0002020103129325,Zbtb16,0.1213952765024686,755
Rfx4,0.7101176189887484,0.6799596678627393,0.8402752237603893,0.790797646074521,0.25801864602373015,0.0191422719508409,0.0045591727830469,27218.65641784668,0.00016089110128324189,Theiler stage 14,0.0002036691876128,Satb1,0.209202353925479,596
Eya1,0.6874957220103752,0.5933461425649844,0.4988265116619639,0.9661089354201343,0.09881917201921643,0.016723396256566,0.0019017064478248,8555.63938331604,0.00024453378622028333,Theiler stage 25,0.0003200397768523,Eya2,0.0338910645798657,542
Lef1,0.6669700902954203,0.5987735608331716,0.5387788266613659,1.0,0.0820849986238988,0.0168749690055847,0.00218011229299,10696.433334350586,0.0001928478935344833,Theiler stage 12,0.0002397117350483,not_observed,0.0,574
Prox1,0.6226286711254221,0.47747641505777744,0.4714108557739812,1.0,0.0820849986238988,0.0134874759241938,0.0017405138351023,6771.348430633545,0.0002159389526544,Theiler stage 17,0.0002182828029617,not_observed,0.0,491
Eya4,0.5801603409284204,0.6929618611863627,0.6583999620816807,1.0,0.0820849986238988,0.0195053871721029,0.0025683373678475,69509.53227233887,,,,not_observed,0.0,571
Glis3,0.5658900407020623,0.5544339379778265,0.5139518213821033,1.0,0.0820849986238988,0.0156366862356662,0.0019990105647593,9516.300468444824,0.00010987541342420724,Theiler stage 16,0.0001191234259749,not_observed,0.0,572
Pax3,0.5626863715216118,0.5653866848062744,0.6815335141236871,1.0,0.0820849986238988,0.0159425660967826,0.0035873651504516,7796.202456474304,,,,not_observed,0.0,524
Nrg1,0.562445635633383,0.6958264708898145,0.5619716183682872,1.0,0.0820849986238988,0.0195853877812623,0.002594020217657,6159.672926902771,,,,not_observed,0.0,535
Zbtb16,0.532417423355394,0.5690301081885955,0.6270764380578314,1.0,0.0820849986238988,0.0160443168133497,0.0026541005354374,25665.518112182617,,,,not_observed,0.0,541
Satb1,0.5203752443922943,0.6142587271495793,0.6278058047824027,0.8007209149273125,0.24437574994996542,0.0173074267804622,0.0025597573257982,33709.73094177246,7.068351078487467e-05,Theiler stage 14,7.832341361790895e-05,Glis3,0.1992790850726875,538
Otx2,0.5197067146592651,0.5741734665562692,0.5875736748619727,1.0,0.0820849986238988,0.0161879565566778,0.0023553899955004,21925.780685424805,2.78617392268643e-05,Theiler stage 12,9.181226050714032e-05,not_observed,0.0,507
Prdm16,0.5131189660961731,0.42258989287213505,0.5079915708951266,1.0,0.0820849986238988,0.011954647488892,0.0019283622968941,9957.618392944336,0.00010568259919330323,Theiler stage 12,0.0001556045172037,not_observed,0.0,410
