stage,stage_num,tf_name,virtual_cell_response_proxy,feedback_cost_proxy,recovery_probability_proxy,baseline_dev_step_norm,stage_vulnerability_score,tf_priority_score
Theiler stage 12,12,Satb2,0.34661769672124176,0.30453994558711783,0.025874965854109568,0.1332543624548394,0.6011733524950248,0.8485568526711808
Theiler stage 12,12,Rfx4,0.30397092630245603,0.2403794929950739,0.055879711025848273,0.1332543624548394,0.6011733524950248,0.7101176189887484
Theiler stage 12,12,Lef1,0.29315252337004066,0.29315252337004066,0.029663727364121862,0.1332543624548394,0.6011733524950248,0.6669700902954203
Theiler stage 12,12,Eya1,0.2924292962089376,0.28251855604607584,0.033701171738059706,0.1332543624548394,0.6011733524950248,0.6874957220103752
Theiler stage 25,25,Satb2,0.2896106344625652,0.2544532714139267,0.04719632465189212,0.11878535661564314,0.43810047563072785,0.8485568526711808
Theiler stage 12,12,Prox1,0.27698914954214876,0.27698914954214876,0.03601319807543196,0.1332543624548394,0.6011733524950248,0.6226286711254221
Theiler stage 21,21,Satb2,0.25480120052542576,0.22386953833448076,0.06812340357643076,0.10693505527628824,0.3827658747367325,0.8485568526711808
Theiler stage 25,25,Rfx4,0.2515945294782518,0.19896036167662817,0.09185680883581138,0.11878535661564314,0.43810047563072785,0.7101176189887484
Theiler stage 26,26,Satb2,0.24754427170218238,0.21749356639229372,0.07354022109109763,0.09886857154291283,0.5037710956988845,0.8485568526711808
Theiler stage 25,25,Lef1,0.24195080880250883,0.24195080880250883,0.054835926562492275,0.11878535661564314,0.43810047563072785,0.6669700902954203
Theiler stage 25,25,Eya1,0.24130611098801993,0.2331279899970087,0.06096009068658001,0.11878535661564314,0.43810047563072785,0.6874957220103752
Theiler stage 19,19,Satb2,0.23023244174201374,0.20228331081690348,0.08826605001887047,0.09148151103964572,0.5167100884706306,0.8485568526711808
Theiler stage 25,25,Prox1,0.22754248408511896,0.22754248408511896,0.06518604875986105,0.11878535661564314,0.43810047563072785,0.6226286711254221
Theiler stage 21,21,Rfx4,0.22057766991768618,0.1744323021475089,0.12329349523863274,0.10693505527628824,0.3827658747367325,0.7101176189887484
Theiler stage 22,22,Satb2,0.22049254266788723,0.1937257894839867,0.09781185683013491,0.09845596818727763,0.2395040821545547,0.8485568526711808
Theiler stage 26,26,Rfx4,0.21590234122765206,0.17073506322480525,0.12888680264838764,0.09886857154291283,0.5037710956988845,0.7101176189887484
Theiler stage 21,21,Lef1,0.21189602907481267,0.21189602907481267,0.07864963039149318,0.10693505527628824,0.3827658747367325,0.6669700902954203
Theiler stage 21,21,Eya1,0.21131564780229659,0.2041539355358928,0.08630677088567376,0.10693505527628824,0.3827658747367325,0.6874957220103752
Theiler stage 26,26,Lef1,0.20787558679650864,0.20787558679650864,0.08253712873918222,0.09886857154291283,0.5037710956988845,0.6669700902954203
Theiler stage 26,26,Eya1,0.2073389857051671,0.20031204675070943,0.09037888959728174,0.09886857154291283,0.5037710956988845,0.6874957220103752
Theiler stage 19,19,Rfx4,0.20095466856446706,0.15891447886846607,0.14852919415550841,0.09148151103964572,0.5167100884706306,0.7101176189887484
Theiler stage 21,21,Prox1,0.19892511208646496,0.19892511208646496,0.09189567203308452,0.10693505527628824,0.3827658747367325,0.6226286711254221
Theiler stage 26,26,Prox1,0.195883111261463,0.195883111261463,0.09531221187483217,0.09886857154291283,0.5037710956988845,0.6226286711254221
Theiler stage 19,19,Lef1,0.19352764081797577,0.19352764081797577,0.09804470902394634,0.09148151103964572,0.5167100884706306,0.6669700902954203
Theiler stage 19,19,Eya1,0.19303113239375783,0.18648910181987638,0.10668558567950959,0.09148151103964572,0.5167100884706306,0.6874957220103752
Theiler stage 22,22,Rfx4,0.18898266190833532,0.1494470441860086,0.16639937106957942,0.09845596818727763,0.2395040821545547,0.7101176189887484
Theiler stage 19,19,Prox1,0.18243119463764657,0.18243119463764657,0.11200919244516797,0.09148151103964572,0.5167100884706306,0.6226286711254221
Theiler stage 22,22,Lef1,0.18098940513738326,0.18098940513738326,0.11396397815136217,0.09845596818727763,0.2395040821545547,0.6669700902954203
Theiler stage 22,22,Eya1,0.18045504341703159,0.1743392298868225,0.12343127461689739,0.09845596818727763,0.2395040821545547,0.6874957220103752
Theiler stage 22,22,Prox1,0.1690469772117135,0.1690469772117135,0.13152429040148342,0.09845596818727763,0.2395040821545547,0.6226286711254221
Theiler stage 15,15,Satb2,0.15511221541477668,0.13628232513558938,0.19487676362227235,0.0595456505419047,0.6049293945595217,0.8485568526711808
Theiler stage 15,15,Rfx4,0.1360552056380162,0.10759213635472811,0.2749666019193998,0.0595456505419047,0.6049293945595217,0.7101176189887484
Theiler stage 13,13,Satb2,0.13274151409239465,0.11662732128579206,0.24671342084931708,0.05335064067613364,0.48809597054710635,0.8485568526711808
Theiler stage 15,15,Lef1,0.1312209260799759,0.1312209260799759,0.20707978753369433,0.0595456505419047,0.6049293945595217,0.6669700902954203
Theiler stage 15,15,Eya1,0.13089774692843367,0.1264614829339232,0.21925106391819785,0.0595456505419047,0.6049293945595217,0.6874957220103752
Theiler stage 27,27,Satb2,0.12548544133042538,0.11025210148308409,0.26632838066787756,0.05419335040756281,0.3155136264266399,0.8485568526711808
Theiler stage 14,14,Satb2,0.12477197322826955,0.10962524503846516,0.2683393305886623,0.04822758621980281,0.5871494513452701,0.8485568526711808
