method,shuffle_time,lineage,module_name,feature_type,mse,mae,n_predictions,bias,pearson,spearman
dct,False,mesodermal,apoptosis,module_score,0.0010337618468739933,0.02195554563878052,4,0.018040021693931124,0.5682505499130179,0.7999999999999999
dct,True,mesodermal,apoptosis,module_score,0.0037358385758047147,0.05884050580208419,4,0.011890564342169035,0.038152873339615534,0.39999999999999997
dct,False,mesodermal,cardiac,module_score,0.0010886241907738007,0.03151131674770626,4,0.002565056639898748,-0.7754098284963971,-0.7999999999999999
dct,True,mesodermal,cardiac,module_score,0.001150043076327834,0.03303414282273283,4,-0.004687805636311486,-0.81612368623298,-0.7999999999999999
dct,False,mesodermal,cell_cycle,module_score,0.004134407351354214,0.05798505724822667,4,-0.00218092395169861,-0.5359942870758913,-0.39999999999999997
dct,True,mesodermal,cell_cycle,module_score,0.00396769796668095,0.05674093712780806,4,0.024808174566142344,0.38892571920108876,0.39999999999999997
dct,False,mesodermal,endothelial,module_score,7.830179911451781e-05,0.0075730626225542046,4,-0.00014396775306026177,-0.6828431881274214,-0.39999999999999997
dct,True,mesodermal,endothelial,module_score,9.062207263094634e-05,0.008340155618136696,4,0.0004975566678650511,-0.47643170928971745,-0.7999999999999999
dct,False,mesodermal,erythroid,module_score,1.4417595333605685e-06,0.001009363241064544,4,-0.0002810385805886228,-0.21715532802979096,-0.39999999999999997
dct,True,mesodermal,erythroid,module_score,2.5649173482287536e-06,0.0015435348519112135,4,0.0003143107245950918,0.04086260077463161,0.39999999999999997
dct,False,mesodermal,extraembryonic_mesoderm,module_score,0.006834422420916128,0.059810642788395325,4,0.02597148878957383,-0.4666646006493597,-0.39999999999999997
dct,True,mesodermal,extraembryonic_mesoderm,module_score,0.010660226289297461,0.09203751398132058,4,-0.015229198391932083,-0.4680777714774786,-0.7999999999999999
dct,False,mesodermal,haematoendothelial,module_score,9.090970172821081e-05,0.006499950523256096,4,-0.0033933536728393138,-0.593423962524446,-0.7999999999999999
dct,True,mesodermal,haematoendothelial,module_score,0.00014884036485323618,0.010012616489173641,4,-0.0027280440100282896,-0.4313973689466045,-0.39999999999999997
dct,False,mesodermal,intermediate,module_score,0.00452945381978133,0.05981794337323028,4,0.010194707473527229,-0.4609168459106291,-0.7999999999999999
dct,True,mesodermal,intermediate,module_score,0.0029088700398997636,0.03918986164860744,4,-0.01707073471506826,-0.45779267657383865,-0.39999999999999997
dct,False,mesodermal,latent_1,latent_dimension,0.42131618619569833,0.6188962844545074,4,-0.13358687757183318,0.06351271790238774,0.39999999999999997
dct,True,mesodermal,latent_1,latent_dimension,0.26521985296558154,0.44247368567897816,4,0.1056764550505509,-0.25777475549605167,-0.7999999999999999
dct,False,mesodermal,latent_2,latent_dimension,30.51841875835243,4.753326132185912,4,1.0830248283613342,-0.43716587133514395,-0.39999999999999997
dct,True,mesodermal,latent_2,latent_dimension,27.807502026712324,4.344668123423498,4,-1.2192441646154721,-0.12227185119321257,-0.39999999999999997
dct,False,mesodermal,latent_3,latent_dimension,2.2306303416404507,1.3350813466203773,4,-1.099622284328914,0.7859787243880108,0.7999999999999999
dct,True,mesodermal,latent_3,latent_dimension,8.74606468818533,2.5134819904346593,4,-0.4713630074326899,-0.4961407557384108,-0.39999999999999997
dct,False,mesodermal,latent_4,latent_dimension,4.977492950611312,1.9674696744777531,4,-0.3108881956937094,-0.5381453003095957,-0.7999999999999999
dct,True,mesodermal,latent_4,latent_dimension,2.6554109712017473,1.086976078445814,4,0.6043860610376895,-0.41637963383530696,0.0
dct,False,mesodermal,latent_5,latent_dimension,3.9865464234351173,1.8547760279440983,4,-0.7273937103973704,-0.2930406389675703,-0.6000000000000001
dct,True,mesodermal,latent_5,latent_dimension,10.712322204854189,2.839209312168725,4,0.9205558884443973,0.05833337902573967,0.0
dct,False,mesodermal,mesoderm,module_score,0.02181821691428856,0.09607112670424311,4,0.04341876835179502,-0.581599281767436,-0.39999999999999997
dct,True,mesodermal,mesoderm,module_score,0.02181821691428856,0.09607112670424311,4,0.04341876835179502,-0.581599281767436,-0.39999999999999997
dct,False,mesodermal,neural,module_score,0.0009918089988818436,0.01839022677139189,4,0.014909636721061471,0.06607707919412303,0.39999999999999997
dct,True,mesodermal,neural,module_score,0.0048897004462011605,0.04772420635131776,4,-0.016458230253014915,-0.30359136895878636,0.39999999999999997
dct,False,mesodermal,paraxial_mesoderm,module_score,0.016427047055524162,0.09180333270783061,4,-0.025038065828515855,-0.5521827658299181,-0.39999999999999997
dct,True,mesodermal,paraxial_mesoderm,module_score,0.009368679812480987,0.07185016280648768,4,0.05152960580176451,0.45405024975408526,0.39999999999999997
dct,False,mesodermal,stress,module_score,8.961565012039169e-05,0.008390822772277887,4,0.002594445864638098,0.0628844201038575,0.0
dct,True,mesodermal,stress,module_score,3.44842520211895e-05,0.0047256189293888445,4,0.002070845315653977,0.29848013917482874,0.39999999999999997
dct,False,mesodermal,wnt_response,module_score,0.025757450174879706,0.10496877761130764,4,0.045436125437054345,-0.5864333100384771,-0.39999999999999997
dct,True,mesodermal,wnt_response,module_score,0.08595633651631396,0.27819894768259135,4,0.02352239599267554,-0.2958168054351717,-0.7999999999999999
dct,False,neural,apoptosis,module_score,0.0028969563875205022,0.05255870304201608,4,-0.008201773968870937,0.07380362897813603,0.39999999999999997
dct,True,neural,apoptosis,module_score,0.012716319077397717,0.09008145923672077,4,-0.0788837883005437,-0.984727080959418,-1.0
dct,False,neural,cardiac,module_score,0.00016812813689604357,0.012171229456512991,4,0.007253393867202814,0.20532844028587977,0.7999999999999999
dct,True,neural,cardiac,module_score,0.00016812813689604357,0.012171229456512991,4,0.007253393867202814,0.20532844028587977,0.7999999999999999
dct,False,neural,cell_cycle,module_score,0.005111376476088447,0.05138127329812389,4,-0.0505454313750445,-0.9953213832100813,-0.6000000000000001
dct,True,neural,cell_cycle,module_score,0.006579107708068559,0.058500011593942,4,-0.001157912306988279,-0.3666434037316935,-0.39999999999999997
dct,False,neural,endothelial,module_score,8.060647546115353e-05,0.008494931602798971,4,0.004674312102613862,0.24662439760969795,0.7999999999999999
dct,True,neural,endothelial,module_score,8.063759900996185e-05,0.008537230343146084,4,0.004367957524761921,0.25786661788321985,0.6000000000000001
dct,False,neural,erythroid,module_score,2.7681429249821494e-07,0.00041703442989607516,4,-0.0002972427775308203,0.11391354923913344,-0.39999999999999997
dct,True,neural,erythroid,module_score,1.0086626310470767e-06,0.000802252515862267,4,-8.000040508701514e-06,-0.745435290773615,-0.7999999999999999
dct,False,neural,extraembryonic_mesoderm,module_score,0.005110953479276234,0.06416833579996402,4,-0.015314073042278897,0.6962141015958515,0.7999999999999999
dct,True,neural,extraembryonic_mesoderm,module_score,0.005110953479276245,0.06416833579996407,4,-0.015314073042278959,0.6962141015958504,0.7999999999999999
dct,False,neural,haematoendothelial,module_score,1.3965655465124717e-05,0.003330875605985903,4,-0.0011534285251141806,-0.8056989241268175,-1.0
dct,True,neural,haematoendothelial,module_score,4.578377549483101e-05,0.005603925341675293,4,0.0009255197326287117,-0.15430510679443069,0.0
dct,False,neural,intermediate,module_score,0.017298870116725686,0.12207195632012685,4,-0.06439819178147432,-0.9591193539266138,-1.0
dct,True,neural,intermediate,module_score,0.02334144732894987,0.12789109269722804,4,0.1028805304137489,-0.17020627740405356,0.0
dct,False,neural,latent_1,latent_dimension,3.5583804932357275,1.4155577670384254,4,-1.3085358524882231,-0.6939510774336299,-0.6000000000000001
dct,True,neural,latent_1,latent_dimension,4.700898849890375,2.1073482253883977,4,-1.3085358524882178,-0.5409113182231856,-0.39999999999999997
dct,False,neural,latent_2,latent_dimension,16.987411466346042,3.9707910444648573,4,-0.6928231377529036,0.5441064520793809,0.6000000000000001
dct,True,neural,latent_2,latent_dimension,83.1000500459158,8.631731885057503,4,-2.8592785629820985,-0.2992558964404948,-0.39999999999999997
dct,False,neural,latent_3,latent_dimension,1.0999182119749191,0.8217787129293541,4,-0.08685414119779139,-0.19529410574489128,0.0
dct,True,neural,latent_3,latent_dimension,1.2598548934548206,0.9239021874721498,4,0.1439167887527324,-0.4919431771892834,-0.39999999999999997
dct,False,neural,latent_4,latent_dimension,10.382327587757263,3.0586474055541086,4,-1.2585864595758576,-0.9382393081149278,-0.7999999999999999
dct,True,neural,latent_4,latent_dimension,10.382327587757267,3.0586474055541095,4,-1.2585864595758585,-0.9382393081149281,-0.7999999999999999
dct,False,neural,latent_5,latent_dimension,8.502859470671659,2.6148645694935544,4,-1.5777310748156905,-0.7504288314788475,-0.7999999999999999
dct,True,neural,latent_5,latent_dimension,14.38966008137108,3.3455790973234922,4,-2.485746677766329,-0.9722101892204369,-1.0
dct,False,neural,mesoderm,module_score,0.008432206775873854,0.06714223435503797,4,0.04467798215406631,0.5561366180425462,0.7999999999999999
dct,True,neural,mesoderm,module_score,0.03995178720699377,0.17806642189323052,4,0.044677982154066306,-0.11705754652472117,-0.39999999999999997
dct,False,neural,neural,module_score,0.0004283930170646341,0.01756085784647885,4,0.003145247924639903,0.6969104877273616,0.6000000000000001
dct,True,neural,neural,module_score,0.0041002224096538635,0.04850615289436019,4,0.0031452479246398615,-0.16108450957516984,0.0
dct,False,neural,paraxial_mesoderm,module_score,0.000830864094604508,0.026311453058400453,4,0.008091922193765158,0.5326896259487948,0.6000000000000001
dct,True,neural,paraxial_mesoderm,module_score,0.0028784857863141545,0.04462072446475003,4,0.008091922193765158,0.05423025800040633,0.0
dct,False,neural,stress,module_score,0.00016812252581617127,0.008578188292179392,4,0.0056595977730163755,0.622742269065552,0.7999999999999999
dct,True,neural,stress,module_score,0.0012670966333216285,0.030173616753486815,4,-0.005659597773016695,-0.4755633326273935,-0.39999999999999997
dct,False,neural,wnt_response,module_score,0.033836710581212244,0.16252403424572281,4,-0.059528897590658617,0.38470118186230384,-0.19999999999999998
dct,True,neural,wnt_response,module_score,0.017353395669893905,0.10520015414987677,4,0.016819389835045766,0.7110333663643916,0.6000000000000001
dct_wavelet,False,mesodermal,apoptosis,module_score,0.001045826706339324,0.02113508486179759,4,0.015619053102391381,0.6171208975862124,0.39999999999999997
dct_wavelet,True,mesodermal,apoptosis,module_score,0.0017548501500178947,0.037008010915480186,4,0.010985912263030986,0.0026288853023061776,0.19999999999999998
dct_wavelet,False,mesodermal,cardiac,module_score,0.00048601695975099035,0.021308075309672603,4,0.001576128351309096,-0.5981004041830599,-0.7999999999999999
dct_wavelet,True,mesodermal,cardiac,module_score,0.0005482351012835674,0.022185358314276343,4,-0.003448592619148672,-0.4772764870995727,-0.39999999999999997
dct_wavelet,False,mesodermal,cell_cycle,module_score,0.0018311139633922595,0.03903047187117642,4,-0.003280789126891559,-0.6949561806867413,-0.7999999999999999
dct_wavelet,True,mesodermal,cell_cycle,module_score,0.0023143312719479114,0.03795156555689294,4,0.02244203053013427,0.20404223239967137,0.19999999999999998
dct_wavelet,False,mesodermal,endothelial,module_score,5.774182009418021e-05,0.006756315600693754,4,-0.00021819994205674043,-0.9115567659957531,-1.0
dct_wavelet,True,mesodermal,endothelial,module_score,5.887301008599801e-05,0.007432294229538221,4,0.0003949943994591386,-0.6708093273420587,-0.6000000000000001
dct_wavelet,False,mesodermal,erythroid,module_score,1.0478733456856687e-06,0.0009658354558392968,4,-0.0002733679116375356,-0.9728182756325585,-1.0
dct_wavelet,True,mesodermal,erythroid,module_score,1.2097316868357875e-06,0.000974224987301391,4,0.0002900039836407701,4.3672782845616265e-05,0.19999999999999998
dct_wavelet,False,mesodermal,extraembryonic_mesoderm,module_score,0.0051293571476156725,0.04967149631056354,4,0.02218025807164825,-0.16229922194145746,0.0
dct_wavelet,True,mesodermal,extraembryonic_mesoderm,module_score,0.006980852439010699,0.077331225717388,4,-0.015630721448409893,-0.9870882678694856,-0.7999999999999999
dct_wavelet,False,mesodermal,haematoendothelial,module_score,6.26292799883379e-05,0.00510252354527462,4,-0.0028719421495202995,0.12465302282162044,0.0
