method,shuffle_time,mean_mse,median_mse,mean_mae,median_mae,mean_pearson,mean_spearman,n_groups
linear,False,1.3652914193476036,0.003376728630902457,0.5072654866596609,0.04300980134080935,0.15591145197108525,0.28888888888888886,36
wavelet,False,1.3652914193476038,0.0033767286309024547,0.5072654866596609,0.04300980134080936,0.15591145197108502,0.28888888888888886,36
dct_wavelet,False,1.6267102203462072,0.00339901559006576,0.5572290423581246,0.04900766275295695,-0.02204356121034804,0.05555555555555558,36
mean,False,2.0760535351812597,0.00588894390159169,0.5806354445062731,0.06967182499423846,-1.0,-1.0,36
spline,False,2.101837959812922,0.0025691377318652854,0.6128949874045764,0.04664498656832472,0.3146067918076212,0.4111111111111111,36
dct,False,2.3006265217344635,0.005111164977682341,0.6548246455907349,0.059814293080812805,-0.1621987208100514,-0.10555555555555556,36
mean,True,2.0760535351812597,0.00588894390159169,0.5806354445062731,0.06967182499423846,-1.0,-1.0,36
linear,True,3.1951842347951995,0.0044385202012266044,0.7076586052031912,0.05924250550325147,-0.4187756253040756,-0.3111111111111111,36
wavelet,True,3.1951842347952,0.004438520201226601,0.7076586052031912,0.05924250550325148,-0.41877562530407536,-0.3111111111111111,36
dct_wavelet,True,3.2060834232087183,0.0058431586422070195,0.7185176539770413,0.0656045257998851,-0.3713175203891113,-0.2722222222222222,36
dct,True,4.563267713806294,0.007973893760274773,0.8574069424695524,0.06800924930322588,-0.23159728769789117,-0.18888888888888886,36
spline,True,7.144310892955308,0.006022568026917681,0.9602459731312495,0.07457654743091585,-0.2723515592481258,-0.16666666666666666,36
