basis_method,low_frequency_energy,high_frequency_energy,spectral_entropy,dominant_basis_index,phase_shift_proxy,amplitude,transient_burst_score,reconstruction_error,c0,c1,c2,c3,dataset_id,condition,lineage,module_name,feature_type,n_time_points,n_cells,wavelet_low_energy,wavelet_high_energy,dominant_time_localization,spline_reconstruction_error
dct,0.0016077179077076988,3.066265552537824e-05,0.496974338850768,1,3.4155217329523633,0.07730933997163669,0.0,7.703719777548943e-33,0.49908785810630657,0.03644912844730025,0.016708648752664184,-0.005537387066602645,GSE212050_strict_sample_13285,control,mesodermal,apoptosis,module_score,4,6000,,,,
wavelet,0.000349725379864349,0.0010945092543839594,0.028875665002018745,0,3.4155217329523633,0.07730933997163669,0.03216451944301302,7.703719777548943e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,apoptosis,module_score,4,6000,0.000349725379864349,0.0010945092543839594,0.0,
spline,0.0,0.0,0.0,0,3.4155217329523624,0.07730933997163686,0.0,3.0814879110195774e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,apoptosis,module_score,4,6000,,,,3.0814879110195774e-33
dct,0.0010086466062639323,0.0001251676043526767,0.6449447686622388,1,3.552661565678321,0.042070535235678025,0.0,8.907425992790966e-34,0.052030779897344656,0.02944222127881317,-0.011908073414005021,-0.011187832871145185,GSE212050_strict_sample_13285,control,mesodermal,cardiac,module_score,4,6000,,,,
wavelet,0.00037197522539932017,8.246428604250504e-06,0.35217412755571315,1,3.5526615656783207,0.04207053523567801,0.019286659259688293,1.8055593228630336e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,cardiac,module_score,4,6000,0.00037197522539932017,8.246428604250504e-06,0.0,
spline,0.0,0.0,0.0,0,3.5526615656783207,0.04207053523567802,0.0,5.115751414778595e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,cardiac,module_score,4,6000,,,,5.115751414778595e-35
dct,0.0034628143269379748,0.00025325549915312235,0.7450721880291249,1,3.6909693611151546,0.09782616318484261,0.0,4.0059342843254506e-32,0.8631597811022819,0.0492123373224751,-0.03226391455166127,-0.015914003240954877,GSE212050_strict_sample_13285,control,mesodermal,cell_cycle,module_score,4,6000,,,,
wavelet,0.0013124654437113993,0.00033898984289555044,0.012854239532127078,1,3.6909693611151555,0.09782616318484294,0.03622796494024194,6.162975822039155e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,cell_cycle,module_score,4,6000,0.0013124654437113993,0.00033898984289555044,0.0,
spline,0.0,0.0,0.0,0,3.6909693611151533,0.09782616318484272,0.0,4.930380657631324e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,cell_cycle,module_score,4,6000,,,,4.930380657631324e-32
dct,1.2729006152061546e-05,2.75957252899707e-05,0.7662152514216691,3,4.409017683522076,0.008041710652793237,0.0,3.611118645726067e-35,0.05335930455151606,0.002444905457681592,-0.002598353989559604,-0.005253163360297365,GSE212050_strict_sample_13285,control,mesodermal,endothelial,module_score,4,6000,,,,
wavelet,3.6759812803998225e-07,2.4009708477793345e-05,0.04224503884612933,0,4.409017683522076,0.008041710652793216,0.004002482940867486,2.407412430484045e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,endothelial,module_score,4,6000,3.6759812803998225e-07,2.4009708477793345e-05,0.0,
spline,0.0,0.0,0.0,0,4.409017683522075,0.008041710652793223,0.0,3.611118645726067e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,endothelial,module_score,4,6000,,,,3.611118645726067e-35
dct,1.1739699496345059e-06,1.608812902931089e-07,0.8012303552081607,2,3.9565714906507248,0.002013562441888262,0.0,1.1754943508222875e-37,0.001641710110105775,0.0005621835591489723,-0.0009262394914152062,-0.00040110010009112304,GSE212050_strict_sample_13285,control,mesodermal,erythroid,module_score,4,6000,,,,
wavelet,2.326978972563915e-07,7.564499566209438e-07,0.6826706140046152,0,3.9565714906507248,0.002013562441888262,0.0008456977618862818,2.938735877055719e-39,,,,,GSE212050_strict_sample_13285,control,mesodermal,erythroid,module_score,4,6000,2.326978972563915e-07,7.564499566209438e-07,0.0,
spline,0.0,0.0,0.0,0,3.9565714906507248,0.002013562441888261,0.0,2.174664549021232e-37,,,,,GSE212050_strict_sample_13285,control,mesodermal,erythroid,module_score,4,6000,,,,2.174664549021232e-37
dct,0.005109345618155018,9.982610544018698e-05,0.3253545219843956,1,3.306559395351744,0.1574344290847124,0.0,9.437056727497456e-33,0.20909592783493092,0.0687259130535517,0.019649287343582462,0.009991301488804498,GSE212050_strict_sample_13285,control,mesodermal,extraembryonic_mesoderm,module_score,4,6000,,,,
wavelet,0.002009656811068322,0.0035588119503893938,0.3239075653820267,0,3.306559395351743,0.15743442908471245,0.059007894614760636,3.851859888774472e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,extraembryonic_mesoderm,module_score,4,6000,0.002009656811068322,0.0035588119503893938,0.0,
spline,0.0,0.0,0.0,0,3.3065593953517425,0.15743442908471264,0.0,7.125940794232773e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,extraembryonic_mesoderm,module_score,4,6000,,,,7.125940794232773e-33
dct,9.671057297141481e-05,3.1595680194505035e-07,0.15761087408771318,1,4.555128481337925,0.018196748519258482,0.0,2.407412430484045e-35,0.03298968730131685,-0.009660474608272657,-0.001840055247630915,0.0005621003486434165,GSE212050_strict_sample_13285,control,mesodermal,haematoendothelial,module_score,4,6000,,,,
wavelet,3.4766192558608285e-05,4.0822641166253794e-05,0.19420323159748587,0,4.555128481337925,0.01819674851925848,0.006389242377445533,1.504632769052528e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,haematoendothelial,module_score,4,6000,3.4766192558608285e-05,4.0822641166253794e-05,0.0,
spline,0.0,0.0,0.0,0,4.555128481337925,0.01819674851925846,0.0,7.222237291452134e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,haematoendothelial,module_score,4,6000,,,,7.222237291452134e-35
dct,0.0035402249374021314,0.0006964158553466515,0.9248846300587834,2,4.258121858603606,0.10270464105234606,0.0,1.232595164407831e-32,0.28722757611549843,-0.038692267476266515,0.04520103289690602,0.026389692217732505,GSE212050_strict_sample_13285,control,mesodermal,intermediate,module_score,4,6000,,,,
wavelet,0.000838480028018572,0.001557851522239784,0.09506617448213603,0,4.258121858603606,0.10270464105234609,0.03904974526763902,2.5037089277034066e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,intermediate,module_score,4,6000,0.000838480028018572,0.001557851522239784,0.0,
spline,0.0,0.0,0.0,0,4.258121858603605,0.10270464105234606,0.0,1.3096323621833204e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,intermediate,module_score,4,6000,,,,1.3096323621833204e-32
dct,0.08335218000930843,0.05083574735636082,0.8124808069346774,2,3.8596806476454644,0.8672469666148572,0.0,1.262177448353619e-29,44.16910104570951,0.1004117264541178,-0.27068369954582017,0.22546784106909976,GSE212050_strict_sample_13285,control,mesodermal,latent_1,latent_dimension,4,6000,,,,
wavelet,0.04347379373927716,0.1289120195141469,0.0007103839923559944,0,3.859680647645464,0.8672469666148714,0.34249564687106826,3.7865323450608567e-29,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_1,latent_dimension,4,6000,0.04347379373927716,0.1289120195141469,1.0,
spline,0.0,0.0,0.0,0,3.8596806476454613,0.8672469666148572,0.0,5.048709793414476e-29,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_1,latent_dimension,4,6000,,,,5.048709793414476e-29
dct,10.534959106055334,2.559566733945957,0.6622060784794279,1,3.4596906149843165,9.410151707752938,0.0,4.9611955367415196e-31,0.19645785790914277,3.1052112552475863,0.9447868364552094,1.599864598628883,GSE212050_strict_sample_13285,control,mesodermal,latent_2,latent_dimension,4,6000,,,,
wavelet,5.676074792757691,12.689249959133402,0.6579141244404618,0,3.459690614984316,9.410151707752938,3.2973247633934446,4.0059342843254506e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_2,latent_dimension,4,6000,5.676074792757691,12.689249959133402,0.0,
spline,0.0,0.0,0.0,0,3.459690614984316,9.41015170775294,0.0,3.5745259767827097e-31,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_2,latent_dimension,4,6000,,,,3.5745259767827097e-31
dct,4.043780652696826,0.11088194003035022,0.7260593390105813,1,4.41190156458064,3.9275710127327286,0.0,1.627025617018337e-30,1.9125811720165193,-1.427129054548684,-1.4167156787301414,0.33298939927623855,GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,4,6000,,,,
wavelet,0.25405514371178456,4.470457178981516,0.7357300199785166,0,4.411901564580639,3.927571012732729,1.9637855063663647,1.232595164407831e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,4,6000,0.25405514371178456,4.470457178981516,0.0,
spline,0.0,0.0,0.0,0,4.411901564580639,3.92757101273273,0.0,2.7733391199176196e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,4,6000,,,,2.7733391199176196e-32
dct,3.6725147198144583,0.9496773956962298,0.9559505129434523,2,3.876542895582877,3.178544926767029,0.0,9.375426969277064e-31,0.8874494563933849,1.2529245931210444,-1.4500671307794422,-0.9745139279129005,GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,4,6000,,,,
wavelet,0.801886823166865,1.7242446823679094,0.4881296223787854,0,3.876542895582877,3.178544926767027,1.3108617981753694,6.933347799794049e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,4,6000,0.801886823166865,1.7242446823679094,0.0,
spline,0.0,0.0,0.0,0,3.876542895582877,3.1785449267670263,0.0,2.0029671421627253e-31,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,4,6000,,,,2.0029671421627253e-31
dct,4.860810321751476,0.8573389931490519,0.41109994478817186,1,4.560663839729044,3.645816002857975,0.0,1.6505219623398611e-31,-0.8708714165556326,-2.1986386234084185,-0.1637025516240056,0.9259260192634463,GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,4,6000,,,,
wavelet,1.3174009391706876,0.9428091445706598,0.7939300218136669,1,4.560663839729044,3.645816002857975,1.147780875938734,3.274080905458301e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,4,6000,1.3174009391706876,0.9428091445706598,0.0,
spline,0.0,0.0,0.0,0,4.560663839729044,3.6458160028579765,0.0,4.468157470978387e-31,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,4,6000,,,,4.468157470978387e-31
dct,0.019223225929164898,1.463470593963807e-06,0.08119190568395605,1,3.3418408339265153,0.2772689595570744,0.0,1.1603727914933096e-32,0.22316358963429317,0.13742473989163434,0.018375712091822302,0.0012097398869028858,GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,4,6000,,,,
wavelet,0.00788596382515486,0.007833337330453752,0.5705455032456022,1,3.341840833926515,0.27726895955707453,0.08880294941698086,2.407412430484045e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,4,6000,0.00788596382515486,0.007833337330453752,0.0,
spline,0.0,0.0,0.0,0,3.3418408339265144,0.2772689595570747,0.0,7.125940794232773e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,4,6000,,,,7.125940794232773e-33
dct,0.0010827134930514097,6.057253549229459e-06,0.5243619169955136,1,3.1293322158090904,0.06580121226206484,0.0,3.0333396624098965e-33,0.11106330885882393,0.028788972896186416,0.015934507605635438,0.0024611488271190467,GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,4,6000,,,,
wavelet,0.00026554591754802,0.0009987304606216014,0.2606872926653664,0,3.12933221580909,0.06580121226206488,0.0315595684672882,4.81482486096809e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,4,6000,0.00026554591754802,0.0009987304606216014,0.0,
spline,0.0,0.0,0.0,0,3.12933221580909,0.06580121226206492,0.0,8.185202263645752e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,4,6000,,,,8.185202263645752e-34
dct,0.011693512526191241,2.6236441357213757e-05,0.01988775103533857,1,4.615138036162059,0.22643898021178133,0.0,1.1555579666323415e-33,0.1381098950524528,-0.10809733808186661,0.002911704965457909,-0.005122152024024058,GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,4,6000,,,,
