dataset_id,condition,lineage,module_name,feature_type,basis_method,reconstruction_error,n_time_points
GSE212050_strict_sample_13285,control,mesodermal,apoptosis,module_score,dct,7.703719777548943e-33,4
GSE212050_strict_sample_13285,control,mesodermal,apoptosis,module_score,wavelet,7.703719777548943e-34,4
GSE212050_strict_sample_13285,control,mesodermal,apoptosis,module_score,spline,3.0814879110195774e-33,4
GSE212050_strict_sample_13285,control,mesodermal,cardiac,module_score,dct,8.907425992790966e-34,4
GSE212050_strict_sample_13285,control,mesodermal,cardiac,module_score,wavelet,1.8055593228630336e-35,4
GSE212050_strict_sample_13285,control,mesodermal,cardiac,module_score,spline,5.115751414778595e-35,4
GSE212050_strict_sample_13285,control,mesodermal,cell_cycle,module_score,dct,4.0059342843254506e-32,4
GSE212050_strict_sample_13285,control,mesodermal,cell_cycle,module_score,wavelet,6.162975822039155e-33,4
GSE212050_strict_sample_13285,control,mesodermal,cell_cycle,module_score,spline,4.930380657631324e-32,4
GSE212050_strict_sample_13285,control,mesodermal,endothelial,module_score,dct,3.611118645726067e-35,4
GSE212050_strict_sample_13285,control,mesodermal,endothelial,module_score,wavelet,2.407412430484045e-35,4
GSE212050_strict_sample_13285,control,mesodermal,endothelial,module_score,spline,3.611118645726067e-35,4
GSE212050_strict_sample_13285,control,mesodermal,erythroid,module_score,dct,1.1754943508222875e-37,4
GSE212050_strict_sample_13285,control,mesodermal,erythroid,module_score,wavelet,2.938735877055719e-39,4
GSE212050_strict_sample_13285,control,mesodermal,erythroid,module_score,spline,2.174664549021232e-37,4
GSE212050_strict_sample_13285,control,mesodermal,extraembryonic_mesoderm,module_score,dct,9.437056727497456e-33,4
GSE212050_strict_sample_13285,control,mesodermal,extraembryonic_mesoderm,module_score,wavelet,3.851859888774472e-34,4
GSE212050_strict_sample_13285,control,mesodermal,extraembryonic_mesoderm,module_score,spline,7.125940794232773e-33,4
GSE212050_strict_sample_13285,control,mesodermal,haematoendothelial,module_score,dct,2.407412430484045e-35,4
GSE212050_strict_sample_13285,control,mesodermal,haematoendothelial,module_score,wavelet,1.504632769052528e-35,4
GSE212050_strict_sample_13285,control,mesodermal,haematoendothelial,module_score,spline,7.222237291452134e-35,4
GSE212050_strict_sample_13285,control,mesodermal,intermediate,module_score,dct,1.232595164407831e-32,4
GSE212050_strict_sample_13285,control,mesodermal,intermediate,module_score,wavelet,2.5037089277034066e-33,4
GSE212050_strict_sample_13285,control,mesodermal,intermediate,module_score,spline,1.3096323621833204e-32,4
GSE212050_strict_sample_13285,control,mesodermal,latent_1,latent_dimension,dct,1.262177448353619e-29,4
GSE212050_strict_sample_13285,control,mesodermal,latent_1,latent_dimension,wavelet,3.7865323450608567e-29,4
GSE212050_strict_sample_13285,control,mesodermal,latent_1,latent_dimension,spline,5.048709793414476e-29,4
GSE212050_strict_sample_13285,control,mesodermal,latent_2,latent_dimension,dct,4.9611955367415196e-31,4
GSE212050_strict_sample_13285,control,mesodermal,latent_2,latent_dimension,wavelet,4.0059342843254506e-32,4
GSE212050_strict_sample_13285,control,mesodermal,latent_2,latent_dimension,spline,3.5745259767827097e-31,4
GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,dct,1.627025617018337e-30,4
GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,wavelet,1.232595164407831e-32,4
GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,spline,2.7733391199176196e-32,4
GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,dct,9.375426969277064e-31,4
GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,wavelet,6.933347799794049e-33,4
GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,spline,2.0029671421627253e-31,4
GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,dct,1.6505219623398611e-31,4
GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,wavelet,3.274080905458301e-33,4
GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,spline,4.468157470978387e-31,4
GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,dct,1.1603727914933096e-32,4
GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,wavelet,2.407412430484045e-34,4
GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,spline,7.125940794232773e-33,4
GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,dct,3.0333396624098965e-33,4
GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,wavelet,4.81482486096809e-35,4
GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,spline,8.185202263645752e-34,4
GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,dct,1.1555579666323415e-33,4
GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,wavelet,4.333342374871281e-34,4
GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,spline,4.604176273300736e-34,4
GSE212050_strict_sample_13285,control,mesodermal,stress,module_score,dct,1.9259299443872359e-32,4
GSE212050_strict_sample_13285,control,mesodermal,stress,module_score,wavelet,2.311115933264683e-33,4
GSE212050_strict_sample_13285,control,mesodermal,stress,module_score,spline,1.0785207688568521e-32,4
GSE212050_strict_sample_13285,control,mesodermal,wnt_response,module_score,dct,1.3866695599588098e-32,4
