module_name,requested_genes,available_genes,resolved_var_names,n_requested_genes,n_genes_in_module,module_gene_coverage,feature_type
mesoderm,T;Eomes;Mixl1;Mesp1;Msgn1;Tbx6;Mesp2;Pdgfra,T;Eomes;Mixl1;Mesp1;Msgn1;Tbx6;Mesp2;Pdgfra,ENSMUSG00000062327;ENSMUSG00000032446;ENSMUSG00000026497;ENSMUSG00000030544;ENSMUSG00000047002;ENSMUSG00000030699;ENSMUSG00000030543;ENSMUSG00000029231,8,8,1.0,module_score
neural,Sox2;Sox1;Pax6;Pou3f1;Nes;Otx2;Six3;Zic2,Sox2;Sox1;Pax6;Pou3f1;Nes;Otx2;Six3;Zic2,ENSMUSG00000074637;ENSMUSG00000096014;ENSMUSG00000027168;ENSMUSG00000090125;ENSMUSG00000004891;ENSMUSG00000021848;ENSMUSG00000038805;ENSMUSG00000061524,8,8,1.0,module_score
intermediate,Cdx2;Fgf8;Wnt3a;Tbx6;Pax3;Meox1;Nkx1-2,Cdx2;Fgf8;Wnt3a;Tbx6;Pax3;Meox1;Nkx1-2,ENSMUSG00000029646;ENSMUSG00000025219;ENSMUSG00000009900;ENSMUSG00000030699;ENSMUSG00000004872;ENSMUSG00000001493;ENSMUSG00000048528,7,7,1.0,module_score
stress,Fos;Jun;Atf3;Ddit3;Hspa1a;Hspa1b;Hsp90aa1,Fos;Jun;Atf3;Ddit3;Hspa1a;Hspa1b;Hsp90aa1,ENSMUSG00000021250;ENSMUSG00000052684;ENSMUSG00000026628;ENSMUSG00000025408;ENSMUSG00000091971;ENSMUSG00000090877;ENSMUSG00000021270,7,7,1.0,module_score
cell_cycle,Mki67;Top2a;Pcna;Cdk1;Ccnb1;Ccnb2;Mcm5,Mki67;Top2a;Pcna;Cdk1;Ccnb1;Ccnb2;Mcm5,ENSMUSG00000031004;ENSMUSG00000020914;ENSMUSG00000027342;ENSMUSG00000019942;ENSMUSG00000041431;ENSMUSG00000032218;ENSMUSG00000005410,7,7,1.0,module_score
apoptosis,Bax;Bcl2l11;Casp3;Casp7;Trp53;Pmaip1;Bbc3,Bax;Bcl2l11;Casp3;Casp7;Trp53;Pmaip1;Bbc3,ENSMUSG00000003873;ENSMUSG00000027381;ENSMUSG00000031628;ENSMUSG00000025076;ENSMUSG00000059552;ENSMUSG00000024521;ENSMUSG00000002083,7,7,1.0,module_score
haematoendothelial,Tal1;Lmo2;Kdr;Etv2;Pecam1;Cdh5;Runx1;Gata2,Tal1;Lmo2;Kdr;Etv2;Pecam1;Cdh5;Runx1;Gata2,ENSMUSG00000028717;ENSMUSG00000032698;ENSMUSG00000062960;ENSMUSG00000006311;ENSMUSG00000020717;ENSMUSG00000031871;ENSMUSG00000022952;ENSMUSG00000015053,8,8,1.0,module_score
erythroid,Gata1;Klf1;Hba-x;Hbb-bh1;Hbb-y;Alas2;Nfe2,Gata1;Klf1;Hba-x;Hbb-bh1;Hbb-y;Alas2;Nfe2,ENSMUSG00000031162;ENSMUSG00000054191;ENSMUSG00000055609;ENSMUSG00000052217;ENSMUSG00000052187;ENSMUSG00000025270;ENSMUSG00000058794,7,7,1.0,module_score
endothelial,Kdr;Pecam1;Cdh5;Sox7;Sox17;Tek;Egfl7;Flt1,Kdr;Pecam1;Cdh5;Sox7;Sox17;Tek;Egfl7;Flt1,ENSMUSG00000062960;ENSMUSG00000020717;ENSMUSG00000031871;ENSMUSG00000063060;ENSMUSG00000025902;ENSMUSG00000006386;ENSMUSG00000026921;ENSMUSG00000029648,8,8,1.0,module_score
cardiac,Mesp1;Nkx2-5;Tbx5;Tnnt2;Myh6;Hand2;Isl1,Mesp1;Nkx2-5;Tbx5;Tnnt2;Myh6;Hand2;Isl1,ENSMUSG00000030544;ENSMUSG00000015579;ENSMUSG00000018263;ENSMUSG00000026414;ENSMUSG00000040752;ENSMUSG00000038193;ENSMUSG00000042258,7,7,1.0,module_score
extraembryonic_mesoderm,Tbx4;Hand1;Cdx2;Bmp4;Pdgfra;T;Prdm1,Tbx4;Hand1;Cdx2;Bmp4;Pdgfra;T;Prdm1,ENSMUSG00000000094;ENSMUSG00000037335;ENSMUSG00000029646;ENSMUSG00000021835;ENSMUSG00000029231;ENSMUSG00000062327;ENSMUSG00000038151,7,7,1.0,module_score
paraxial_mesoderm,Msgn1;Tbx6;Meox1;Mesp2;Uncx;Pax3,Msgn1;Tbx6;Meox1;Mesp2;Uncx;Pax3,ENSMUSG00000047002;ENSMUSG00000030699;ENSMUSG00000001493;ENSMUSG00000030543;ENSMUSG00000029546;ENSMUSG00000004872,6,6,1.0,module_score
wnt_response,Axin2;Sp5;Lef1;Tcf7;Wnt3;Cdx2;T,Axin2;Sp5;Lef1;Tcf7;Wnt3;Cdx2;T,ENSMUSG00000000142;ENSMUSG00000075304;ENSMUSG00000027985;ENSMUSG00000000782;ENSMUSG00000000125;ENSMUSG00000029646;ENSMUSG00000062327,7,7,1.0,module_score
latent_1,,,,0,0,1.0,latent_dimension
latent_2,,,,0,0,1.0,latent_dimension
latent_3,,,,0,0,1.0,latent_dimension
latent_4,,,,0,0,1.0,latent_dimension
latent_5,,,,0,0,1.0,latent_dimension
