seed,model,holdout_time,source_time,next_time,n_pred,n_true,simulation_file,sinkhorn,mmd_rbf,energy,knn_two_sample_accuracy,celltype_composition_rmse
7,M0_ot_interpolation,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M0_ot_interpolation_seed7.npz,0.2809902613863538,0.0099133575383523,0.36021510636753,0.5581947743467933,0.0005518394231759
7,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M1_intrinsic_neural_seed7.npz,0.2962437537201861,0.0242469152283987,0.8271351330356396,0.5534441805225653,0.0032292388482573
7,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M2_ot_teacher_force_seed7.npz,0.2962437537201861,0.0242469152283987,0.8271351330356396,0.5534441805225653,0.0032292388482573
7,M3_ot_birth_death,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M3_ot_birth_death_seed7.npz,0.3041405382510495,0.0214933515660521,0.7874773783137492,0.5439429928741093,0.0019394114757905
7,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M4_ot_adaptive_diffusion_seed7.npz,0.2962608943849097,0.0241944552938605,0.8244136562858166,0.5534441805225653,0.0032292388482573
7,M5_ot_swarm,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M5_ot_swarm_seed7.npz,0.2991413683803171,0.0266195500010444,0.927641686070956,0.5534441805225653,0.0032292388482573
7,M6_ot_swarm_birth_death,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M6_ot_swarm_birth_death_seed7.npz,0.3071310711394948,0.0238217213260732,0.8874974001661613,0.5463182897862233,0.0014258056707348
7,M7_ot_swarm_birth_death_diffusion,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M7_ot_swarm_birth_death_diffusion_seed7.npz,0.3072467803363645,0.0237573760828135,0.88388674865692,0.5439429928741093,0.0043385533611435
7,M8_ot_swarm_birth_death_diffusion_cci,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M8_ot_swarm_birth_death_diffusion_cci_seed7.npz,0.3072701808736763,0.023820696528622,0.8861793341346065,0.5439429928741093,0.0043385533611435
7,M9_full_pheromone,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M9_full_pheromone_seed7.npz,0.3133077213472982,0.0261376395967747,0.9891648590091542,0.5463182897862233,0.0043385533611435
7,M10_shuffled_time_ot,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M10_shuffled_time_ot_seed7.npz,0.3206282090837918,0.0044741187151833,0.1959944941400131,0.6460807600950119,0.0077814806000669
7,M11_random_lr_labels,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M11_random_lr_labels_seed7.npz,0.3070675468402105,0.0238027567522212,0.8847283173500706,0.5439429928741093,0.0014258056707348
17,M0_ot_interpolation,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M0_ot_interpolation_seed17.npz,0.3022635828480511,0.0094655897222166,0.3433445128542054,0.5439429928741093,0.0073686020584841
17,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M1_intrinsic_neural_seed17.npz,0.3072437840435619,0.0231876945908114,0.771290016283082,0.5534441805225653,0.0044969125210773
17,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M2_ot_teacher_force_seed17.npz,0.3072437840435619,0.0231876945908114,0.771290016283082,0.5534441805225653,0.0044969125210773
17,M3_ot_birth_death,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M3_ot_birth_death_seed17.npz,0.2919164506460263,0.0255857134923699,0.8031762664639785,0.5368171021377672,0.0115494998377443
17,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M4_ot_adaptive_diffusion_seed17.npz,0.307274179286479,0.0231393708234729,0.7681151776515129,0.5534441805225653,0.0044969125210773
17,M5_ot_swarm,15.0,14.0,16.0,900,1000,results\swarmlineage\simulations\M5_ot_swarm_seed17.npz,0.3109681142805652,0.0256740975009481,0.868090607228261,0.5486935866983373,0.0044969125210773
