permutation,density_effect_null
0,-2.4663272421788216e-05
1,-1.8451226810371757e-05
2,4.752812339744647e-05
3,-1.6859779164663056e-06
4,-3.487342228753636e-05
5,-6.474217835225702e-05
6,-5.576953782899098e-06
7,-7.285903514563726e-06
8,-8.607692542543489e-06
9,4.054374364508538e-05
10,-4.145491197463471e-05
11,1.0831509381624546e-05
12,3.1922329173165705e-06
13,1.5107073558416509e-05
14,1.2450494427555543e-05
15,-2.363534997074611e-05
16,-2.192323697402653e-05
17,5.0869636243535007e-05
18,5.052043622155158e-05
19,4.7436474285538995e-05
20,-4.78582424708751e-05
21,-8.90453971094695e-06
22,3.7681539850401165e-05
23,6.07219348305486e-06
24,2.6591545074230072e-05
25,1.3816391279378084e-06
26,3.160868442190221e-05
27,-2.9410841517795772e-05
28,5.200703006108531e-05
29,-3.669870736925252e-06
30,3.821002685186134e-05
31,-9.626603538090374e-07
32,1.8585156584208923e-05
33,-1.391153546072678e-05
34,8.463820849597173e-06
35,2.4013352924311766e-05
36,3.6320723286888015e-05
37,5.182042626294904e-05
38,-3.582320811962238e-05
39,-1.883236872782918e-05
40,-3.8356281034512634e-05
41,-4.592625197764747e-06
42,-3.273668065649103e-05
43,2.0144608536370643e-05
44,-3.604419069546858e-05
45,1.945224794067395e-05
46,-1.7266714732908973e-05
47,-1.477604046764289e-05
48,-3.7788635293819475e-05
49,-4.757672597155557e-05
50,-2.9449401727491627e-05
51,5.066860391763012e-06
52,3.952211436552254e-05
53,-1.1300332407180669e-05
54,3.3965333022433148e-06
55,1.3055661847493033e-05
56,-8.525296589234187e-06
57,3.949039517057431e-05
58,-4.2625922861306165e-06
59,-2.8617673707088584e-05
60,1.4797219022856046e-05
61,4.121937384401336e-05
62,4.441514733766563e-06
63,-3.876373719060395e-05
64,2.4316413997568244e-05
65,5.0923594864499375e-05
66,-2.211481140420733e-05
67,-1.132447556598617e-05
68,-5.4707000054279365e-05
69,9.827768182700579e-05
70,-2.8431758686732565e-05
71,-1.4409483368344649e-05
72,-7.74915627512943e-05
73,-4.168249302073234e-05
74,-2.8989304558097264e-05
75,-3.160016254453622e-05
76,-4.632659172356811e-05
77,-2.3509854922372378e-05
78,3.413009378748369e-05
79,3.567833271630907e-05
80,-1.0601563503172349e-05
81,3.467519655739868e-05
82,2.20139725330081e-05
83,2.8348808847482245e-05
84,-4.868070467889721e-05
85,-1.0798597524418413e-05
86,2.3513659018997214e-05
87,4.315258248323468e-05
88,-5.003300311141683e-06
89,7.883425234272144e-06
90,3.8457431886163755e-05
91,-2.8328479011761887e-05
92,3.0085628201109087e-05
93,-3.3897254336288755e-05
94,-2.4944226947756104e-05
95,2.2810248112923714e-05
96,-4.469544923782064e-05
97,4.31578585254487e-05
98,-1.4972888620848703e-05
99,2.8516058964324223e-05
