seed,variant,branch_event_step,event_definition,local_velocity_alignment_A_pre_mean,local_velocity_alignment_A_post_mean,local_velocity_alignment_A_effect,branch_cohesion_C_pre_mean,branch_cohesion_C_post_mean,branch_cohesion_C_effect,lineage_separation_S_pre_mean,lineage_separation_S_post_mean,lineage_separation_S_effect,fate_entropy_H_pre_mean,fate_entropy_H_post_mean,fate_entropy_H_effect,branch_imbalance_B_pre_mean,branch_imbalance_B_post_mean,branch_imbalance_B_effect,local_density_mean_pre_mean,local_density_mean_post_mean,local_density_mean_effect,n_agents_pre_mean,n_agents_post_mean,n_agents_effect
7,M5_ot_swarm,2,max_ranked_separation_entropy_imbalance_change,0.7425119578838348,0.7753239870071411,0.032812029123306274,0.8997588624971525,0.897510129747603,-0.002248732749549509,17.305463945819852,17.05997184128347,-0.24549210453638182,0.1644650854255684,0.1644650854255684,0.0,0.0,0.0,0.0,0.33038031949230356,0.3290897767176093,-0.0012905427746942588,900.0,900.0,0.0
7,M7_ot_swarm_birth_death_diffusion,1,max_ranked_separation_entropy_imbalance_change,0.733897864818573,0.7781713008880615,0.044273436069488525,0.9000533434973828,0.8943321909923758,-0.005721152505006932,17.354738726236942,17.051379502531944,-0.303359223704998,0.1644650854255684,0.17851497464741775,0.014049889221849354,0.0,0.04254825538233105,0.04254825538233105,0.3309445233968714,0.3355996715667049,0.0046551481698334785,900.0,893.0,-7.0
7,M8_ot_swarm_birth_death_diffusion_cci,1,max_ranked_separation_entropy_imbalance_change,0.7338832020759583,0.7781558930873871,0.04427269101142883,0.9000533434973828,0.8943337383917377,-0.005719605105645065,17.354738726236942,17.05132519771354,-0.30341352852340364,0.1644650854255684,0.17851497464741775,0.014049889221849354,0.0,0.04254825538233105,0.04254825538233105,0.3309445233968714,0.33561012001787793,0.004665596621006518,900.0,893.0,-7.0
7,M9_full_memory,1,max_ranked_separation_entropy_imbalance_change,0.7276831269264221,0.7746572494506836,0.046974122524261475,0.9000533434973828,0.8943067454902698,-0.0057465980071129685,17.354738726236942,17.060238953569186,-0.2944997726677556,0.1644650854255684,0.17851497464741775,0.014049889221849354,0.0,0.04254825538233105,0.04254825538233105,0.3309445233968714,0.33568871305488995,0.004744189658018538,900.0,893.0,-7.0
17,M5_ot_swarm,1,max_ranked_separation_entropy_imbalance_change,0.7254937291145325,0.7630128860473633,0.03751915693283081,0.9003016187855816,0.8978318451374401,-0.0024697736481414934,17.38347384005787,17.106903270940123,-0.276570569117748,0.1651945005571927,0.1651945005571927,0.0,0.0166666666666666,0.0166666666666666,0.0,0.3278601367469131,0.3279116314269893,5.149468007620284e-05,900.0,900.0,0.0
17,M7_ot_swarm_birth_death_diffusion,2,max_ranked_separation_entropy_imbalance_change,0.7346380650997162,0.7787337303161621,0.04409566521644592,0.8997580996464039,0.8889794107478897,-0.010778688898514188,17.308573746060688,17.038042416155033,-0.27053132990565487,0.1673836136721974,0.1798313222770014,0.012447708604804014,0.01116138763197585,0.0034802784222738,-0.00768110920970205,0.33172684568380517,0.3410996924718111,0.009372846788005929,892.0,862.0,-30.0
17,M8_ot_swarm_birth_death_diffusion_cci,2,max_ranked_separation_entropy_imbalance_change,0.7346375286579132,0.7787322402000427,0.04409471154212952,0.899757921847507,0.8889770897862886,-0.010780832061218382,17.30856841518327,17.03797480203934,-0.27059361314393016,0.1673836136721974,0.1798313222770014,0.012447708604804014,0.01116138763197585,0.0034802784222738,-0.00768110920970205,0.3317273141706525,0.3410473735230422,0.00932005935238972,892.0,862.0,-30.0
17,M9_full_memory,2,max_ranked_separation_entropy_imbalance_change,0.7288554906845093,0.7751851677894592,0.04632967710494995,0.8997392293004656,0.8888773161810677,-0.010861913119397881,17.310865099829307,17.048057413299407,-0.26280768652990005,0.1673836136721974,0.1798313222770014,0.012447708604804014,0.01116138763197585,0.0034802784222738,-0.00768110920970205,0.3321038282561459,0.3406859678060453,0.008582139549899392,892.0,862.0,-30.0
23,M5_ot_swarm,1,max_ranked_separation_entropy_imbalance_change,0.7274378538131714,0.7660364806652069,0.03859862685203552,0.9010405907451552,0.8988608489715364,-0.002179741773618793,17.27945550070031,17.041893219250227,-0.2375622814500815,0.1658309676350971,0.1658309676350971,0.0,0.0088888888888888,0.0088888888888888,0.0,0.3349597890618296,0.33162442767178285,-0.003335361390046754,900.0,900.0,0.0
23,M7_ot_swarm_birth_death_diffusion,1,max_ranked_separation_entropy_imbalance_change,0.7274378538131714,0.7740701138973236,0.04663226008415222,0.9010405907451552,0.8947608348625409,-0.006279755882614313,17.27945550070031,17.127334794883502,-0.15212070581680592,0.1658309676350971,0.17594007461679634,0.010109106981699229,0.0088888888888888,0.05986975254906585,0.050980863660177046,0.3349597890618296,0.3514317376442794,0.01647194858244977,900.0,853.5,-46.5
