dataset,time,correlation_length_xi,susceptibility_chi,integrated_alignment_susceptibility
internal,12.0,2.0,0.5209652035602852,0.5209652035602852
internal,13.0,2.0,0.013484587075798977,0.013484587075798977
internal,14.0,2.0,0.015380420774125958,0.015380420774125958
internal,15.0,2.0,0.33485684961415285,0.33485684961415285
internal,16.0,2.0,0.7359800027121162,0.7359800027121162
internal,17.0,2.0,0.7505773359992793,0.7505773359992793
internal,18.0,2.0,0.12764079055796632,0.12764079055796632
internal,19.0,2.0,0.17485816557577427,0.17485816557577427
E1,7.0,2.0,1.4527637602358556,1.4527637602358556
E1,7.25,2.0,1.1947579532025638,1.1947579532025638
E1,7.5,2.0,1.439444722031372,1.439444722031372
E1,7.75,2.0,1.4401595679637023,1.4401595679637023
E1,8.0,2.0,1.6118223747559792,1.6118223747559792
E1,8.25,2.0,1.9999999999999998,1.9999999999999998
L2,6.0,2.0,1.5916774615143896,1.5916774615143896
L2,9.0,2.0,1.4516722879054367,1.4516722879054367
L2,12.0,2.0,1.6568919562462212,1.6568919562462212
L2,15.0,2.0,1.7977252844382956,1.7977252844382956
L2,21.0,2.0,1.6154757410874825,1.6154757410874825
L2,28.0,2.0,1.9999999999999998,1.9999999999999998
E2,3.0,2.0,1.9999999999999998,1.9999999999999998
E2,3.5,2.0,2.0,2.0
E2,4.0,2.0,2.0000000000000004,2.0000000000000004
E2,4.5,2.0,1.9999999999999998,1.9999999999999998
E2,5.0,2.0,2.0000000000000004,2.0000000000000004
