seed,perturbation,sender,receiver,branch_probability_shift,fate_entropy_shift,birth_hazard_shift,death_hazard_shift,diffusion_shift,branch_composition_shift,event_count_shift,sender_receiver_specificity,rerollout_type
7,remove_lr_edge,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0003791705634803577,0.0,0,0.6458333333333334,full_population_simulator_rerollout
7,remove_receiver,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0003791705634803577,0.0,0,0.6458333333333334,full_population_simulator_rerollout
17,remove_lr_edge,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6458333333333334,full_population_simulator_rerollout
17,remove_receiver,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6458333333333334,full_population_simulator_rerollout
23,remove_lr_edge,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6458333333333334,full_population_simulator_rerollout
23,remove_receiver,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6458333333333334,full_population_simulator_rerollout
42,remove_lr_edge,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,3.7557688195022365e-05,0.0,0,0.6458333333333334,full_population_simulator_rerollout
42,remove_receiver,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,3.7557688195022365e-05,0.0,0,0.6458333333333334,full_population_simulator_rerollout
99,remove_lr_edge,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0006264045638779692,0.0,0,0.6458333333333334,full_population_simulator_rerollout
99,remove_receiver,neural,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0005557840955816573,0.0,0,0.6458333333333334,full_population_simulator_rerollout
7,remove_lr_edge,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0003791705634803577,0.0,0,0.3102051282051282,full_population_simulator_rerollout
7,remove_receiver,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0003791705634803577,0.0,0,0.3102051282051282,full_population_simulator_rerollout
17,remove_lr_edge,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3102051282051282,full_population_simulator_rerollout
17,remove_receiver,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3102051282051282,full_population_simulator_rerollout
23,remove_lr_edge,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3102051282051282,full_population_simulator_rerollout
23,remove_receiver,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3102051282051282,full_population_simulator_rerollout
42,remove_lr_edge,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,3.7557688195022365e-05,0.0,0,0.3102051282051282,full_population_simulator_rerollout
42,remove_receiver,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,3.7557688195022365e-05,0.0,0,0.3102051282051282,full_population_simulator_rerollout
99,remove_lr_edge,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0005557840955816573,0.0,0,0.3102051282051282,full_population_simulator_rerollout
99,remove_receiver,mesoderm_muscle,mesoderm_muscle,0.0,0.0,0.0,0.0,0.0005557840955816573,0.0,0,0.3102051282051282,full_population_simulator_rerollout
7,remove_lr_edge,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0003791705634803577,0.0,0,0.23333333333333334,full_population_simulator_rerollout
7,remove_receiver,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23333333333333334,full_population_simulator_rerollout
17,remove_lr_edge,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23333333333333334,full_population_simulator_rerollout
17,remove_receiver,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23333333333333334,full_population_simulator_rerollout
23,remove_lr_edge,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23333333333333334,full_population_simulator_rerollout
23,remove_receiver,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23333333333333334,full_population_simulator_rerollout
42,remove_lr_edge,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,3.7557688195022365e-05,0.0,0,0.23333333333333334,full_population_simulator_rerollout
42,remove_receiver,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0,0.0,0,0.23333333333333334,full_population_simulator_rerollout
99,remove_lr_edge,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,0.0006264045638779692,0.0,0,0.23333333333333334,full_population_simulator_rerollout
99,remove_receiver,mesoderm_muscle,neural,0.0,0.0,0.0,0.0,7.064082614505196e-05,0.0,0,0.23333333333333334,full_population_simulator_rerollout
