clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
10,8,5.0,5.0,0.0,Unk_2,0.9528195311118978,0.9528195311118978,4,4,0.625,,0.9528195311118978,8,2.5,8,-0.4603944988788172,-3.7793019312090808,-1.9039574645482216,1.0000000000000002,1.0,17.19929838133789,3.7793019312090808,0.702045061042693
1001,6,5.0,5.0,0.0,MEP,0.6500224216454689,0.6500224216454689,2,2,0.16666666666666663,,0.6500224216454689,6,2.5,6,-0.05876621046481073,-7.303014111116307,-1.1581524011414215,1.0000000000000002,1.0,17.02780323987075,7.303014111116307,0.9970728302736527
1002,10,5.0,5.0,0.0,Unk_3,0.7627069065346593,0.7627069065346593,5,5,0.4,,0.7627069065346593,10,2.5,10,-0.40519886037107355,-4.551760986257676,-2.063387053249841,1.0000000000000002,1.0,13.734785640855216,4.551760986257676,0.5830639861537875
1003,20,5.0,5.0,0.0,Unk_3,0.8534739433928806,0.8534739433928806,3,3,0.4,,0.8534739433928806,20,2.5,20,-1.567301736462154,-5.954317152067465,-2.1374863604398504,1.0000000000000002,1.0,23.2764829276852,5.954317152067465,-0.27111630613269905
1008,7,2.5,5.0,2.5,MPP,0.0,0.0,1,1,0.0,,0.591672778579442,6,2.5,7,-1.7278963085036272,-2.951205470337842,-2.141529516318828,1.0000000000000002,1.0,17.053943415444305,3.49698539475144,-0.5188159080786764
101,5,5.0,5.0,0.0,MPP/GMP,0.9602297178580305,0.9602297178580305,3,3,0.6,,0.9602297178580305,5,2.5,5,-0.39886034612138904,-4.1052201648025255,-1.68396086597898,1.0000000000000002,1.0,15.00983804277665,4.1052201648025255,0.2642504137044637
1010,8,5.0,5.0,0.0,Mono,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,8,2.5,8,-1.0791173024897787,-3.2553430965792867,-1.8428322136137332,1.0000000000000002,1.0,17.03108271193988,3.2553430965792867,-0.32767171131935297
1015,18,2.5,5.0,2.5,MPP,0.9035580910881891,0.9035580910881891,7,7,0.7058823529411764,,0.9091047508826824,17,2.5,18,-0.48484186757547726,-6.194415588897677,-2.3915352598136446,1.0000000000000002,1.0,17.778520190226104,6.323959606231291,0.07908128934624986
102,9,5.0,5.0,0.0,Mono,0.5032583347727604,0.5032583347727604,2,2,0.11111111111111116,,0.5032583347727604,9,2.5,9,-2.393872170483549,-5.900517528981506,-2.875470039145535,1.0000000000000002,1.0,23.366063166914362,5.900517528981506,-0.767908491393691
1021,14,5.0,5.0,0.0,Mono,0.8052886216629357,0.8052886216629357,4,4,0.4285714285714286,,0.8052886216629357,14,2.5,14,-0.8699164927169715,-5.172109864801615,-4.147773240844958,1.0000000000000002,1.0,22.16287957483224,5.172109864801615,-0.5192327805291648
1023,8,2.5,5.0,2.5,MPP/GMP,0.8631205685637457,0.8631205685637457,2,2,0.2857142857142857,,0.8194483718700727,7,2.5,8,-0.8151348519333563,-4.898211317731629,-1.2997227712888362,1.0000000000000002,1.0,27.036956742444627,5.364537074076244,-0.4092787490858181
