dataset_id,exposure,clone_splitting_score,control,permutation_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.009900990099009901,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.006622516556291391,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.004975124378109453,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.19607843137254902,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.1485148514851485,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.1390728476821192,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.10945273631840796,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.13725490196078433,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.1485148514851485,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.13245033112582782,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.12437810945273632,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,clone_label_shuffle,0.0392156862745098,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,time_label_shuffle,0.039603960396039604,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,branch_label_shuffle,0.052980132450331126,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.05472636815920398,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,clone_label_shuffle,0.0392156862745098,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,time_label_shuffle,0.019801980198019802,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,branch_label_shuffle,0.019867549668874173,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.014925373134328358,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,time_label_shuffle,0.009900990099009901,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,branch_label_shuffle,0.006622516556291391,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.004975124378109453,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,time_label_shuffle,0.009900990099009901,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,branch_label_shuffle,0.006622516556291391,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.004975124378109453,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0784313725490196,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,time_label_shuffle,0.07920792079207921,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,branch_label_shuffle,0.0728476821192053,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.07462686567164178,True
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,clone_label_shuffle,0.11764705882352941,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,time_label_shuffle,0.12871287128712872,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,branch_label_shuffle,0.11920529801324503,False
