clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
0,5,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,3,2,5,-1.2132897923633632,-2.239287343975364,-1.2132897923633632,1.0,0.26961312150931815,338.0941211267735,2.2668315300282367,0.45540201458809487
1,20,4.0,6.0,2.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,7,2,20,-1.5417723826240015,-4.257659766215473,-1.5417723826240015,0.9999999999999998,0.3642826113231015,2997.6425112998645,4.601027066905209,0.11260330443715436
10,15,2.0,6.0,4.0,undiff,0.6840384356361563,0.6840384356361563,2,2,0.18181818181818177,,0.56650950655002,11,2,15,-1.4539839468036633,-2.470330947869692,-1.4539839468036633,1.0,0.30233601988865905,1442.584487645523,2.7288587776988376,0.2651072597359366
1003,7,4.0,6.0,2.0,undiff,0.6500224216454689,0.6500224216454689,2,2,0.16666666666666663,,0.7248340915030292,6,2,7,-0.4244204378527012,-2.333742093846222,-0.4244204378527012,1.0,0.29861118464561665,5867.553496336927,2.607143039816176,-0.00843780483352092
1004,20,4.0,6.0,2.0,Neutrophil,0.6500224216454689,0.6500224216454689,2,2,0.16666666666666663,,0.46899559358639586,12,2,20,-1.26426809640705,-3.49710523489102,-1.26426809640705,1.0,0.32472451670594416,3704.278598738274,3.7771157633917953,0.06634123389380157
101,10,4.0,6.0,2.0,Neutrophil,0.0,0.0,1,1,0.0,,0.46899559358639586,1,2,10,-1.259908522088091,-6.164390402468382,-1.259908522088091,0.9999999999999998,0.39893994413067524,31.400510807361105,6.569540547677539,0.195831360174902
1011,7,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.591672778579442,6,2,7,-1.1927806248318533,-2.6737912161478072,-1.1927806248318533,1.0,0.2857019149730157,1485.6060283998918,2.839097507268909,0.045651016145684564
1013,6,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,2,2,6,-1.7269995322551492,-2.2391023340742193,-1.7269995322551492,0.9999999999999999,0.41981336863981134,1433.3110151478297,3.009813111569421,0.5884582887325865
1014,5,2.0,4.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,5,2,5,-2.462627900308786,-2.708264775145007,-2.462627900308786,0.9999999999999998,0.419637571489832,3.765736358742102,3.37769236238445,0.587158614216504
1015,7,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.8631205685637457,3,2,7,-1.9365808682785794,-3.761444079673759,-1.9365808682785794,0.9999999999999999,0.2258580522431237,2557.4130784607833,4.134194181536608,0.10129276742152811
1017,10,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,9,2,10,-1.0660718601776737,-2.5193361595836135,-1.0660718601776737,1.0,0.27250900478380086,1112.557556386711,2.628415590036913,0.32782033068275135
1019,6,2.0,4.0,2.0,undiff,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9182958340516042,6,2,6,-2.262028814114655,-4.756633641571208,-2.262028814114655,0.9999999999999999,0.28353078328889336,12.641549614542376,5.261811480329676,0.19985285835313946
102,5,4.0,6.0,2.0,undiff,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9709505944517833,3,2,5,-1.0959812800693804,-5.8384859839377645,-1.0959812800693804,1.0,0.2626495351628339,418.77582042568093,5.824901813031828,0.2940870924806741
1028,8,2.0,6.0,4.0,undiff,0.8699155297708953,0.8699155297708953,3,3,0.4285714285714286,,0.8194483718700727,7,2,8,-0.7219054860848019,-3.5812758088080683,-0.7219054860848019,1.0,0.2867833718773988,1784.4753812782512,3.6967464709912363,0.1654512638407512
1029,24,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9182958340516042,16,2,3,-2.3723972788361483,-2.474093378032397,-2.3723972788361483,0.9999999999999997,0.48377605656261685,2.1237884532891305,4.0527716615660845,0.34947809393095247
1030,5,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9709505944517833,1,2,2,-22.82677724651231,-22.86315696589248,-22.82677724651231,0.9999999999999998,0.5498616018148259,1.1522740129710285,23.48559903430216,0.30845815376858965
1031,7,2.0,4.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,7,2,4,-1.865396907163233,-1.816073157431863,-1.865396907163233,0.9999999999999998,0.49618410295183857,3.0870504973613064,3.063930198826428,0.30479388738372654
1036,7,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.0,3,2,7,-2.604905334931833,-3.486535741394772,-2.604905334931833,0.9999999999999999,0.3523543472725755,429.43626568396496,3.94450859314563,0.4423295588706015
1038,7,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.0,6,2,7,-1.4352265152443437,-2.596772118402734,-1.4352265152443437,1.0,0.27852494976433695,903.0282147585161,2.665795495501547,0.2955927981213781
1041,33,2.0,6.0,4.0,undiff,0.9878171319063513,0.9878171319063513,3,3,0.5882352941176471,,0.8097981851448647,17,2,2,-3.5065925779576226,-3.540932474545011,-3.5065925779576226,0.9999999999999998,0.5061495800109412,1.1448321838311657,4.98900835589673,0.06928093975154997
1043,13,4.0,6.0,2.0,undiff,0.7219280948844771,0.7219280948844771,2,2,0.19999999999999996,,0.9612366047199904,10,2,13,-1.0467524151918144,-2.5583253455238215,-1.0467524151918144,1.0,0.3023058840611624,1517.3228700382415,2.7831067830022294,0.11603847326426106
1046,16,6.0,6.0,0.0,Monocyte,0.886859507140184,0.886859507140184,3,3,0.5,,0.886859507140184,16,2,16,-0.5414114684197568,-2.0241655664894376,-0.5414114684197568,1.0,0.2626495351628339,1629.1091286591848,2.0241655664894376,0.08703704828757144
1050,5,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,4,2,5,-0.5612790060569597,-1.9724793572004906,-0.5612790060569597,1.0,0.30508080655315806,1363.8499648297027,2.2423864385747776,0.39117338099297694
1051,8,6.0,6.0,0.0,Monocyte,0.9544340029220796,0.9544340029220796,2,2,0.375,,0.9544340029220796,8,2,8,-0.36718552199034504,-2.3072491182442523,-0.36718552199034504,1.0,0.2626495351628339,5482.730270388282,2.3072491182442523,-0.09470788748953754
1053,7,6.0,6.0,0.0,Monocyte,0.0,0.0,1,1,0.0,,0.0,7,2,7,-0.32296300220866697,-2.290758314358341,-0.32296300220866697,1.0,0.2626495351628339,3101.715805298394,2.290758314358341,-0.10675648812006486
