dataset_id,exposure,clone_splitting_score,control,permutation_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.0099009900990099,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.0066225165562913,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.0049751243781094,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.196078431372549,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.1485148514851485,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.1390728476821192,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.1094527363184079,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.1372549019607843,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.1485148514851485,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.1324503311258278,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.1243781094527363,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,clone_label_shuffle,0.0392156862745098,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,time_label_shuffle,0.0396039603960396,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,branch_label_shuffle,0.0529801324503311,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.0547263681592039,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,clone_label_shuffle,0.0392156862745098,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,time_label_shuffle,0.0198019801980198,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,branch_label_shuffle,0.0198675496688741,True
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.0149253731343283,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,time_label_shuffle,0.0099009900990099,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,branch_label_shuffle,0.0066225165562913,True
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.0049751243781094,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,time_label_shuffle,0.0099009900990099,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,branch_label_shuffle,0.0066225165562913,True
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.0049751243781094,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0784313725490196,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,time_label_shuffle,0.0792079207920792,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,branch_label_shuffle,0.0728476821192053,True
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.0746268656716417,True
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,clone_label_shuffle,0.1176470588235294,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,time_label_shuffle,0.1287128712871287,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,branch_label_shuffle,0.119205298013245,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,teacher_velocity_shuffle,0.1293532338308457,False
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,clone_label_shuffle,0.0196078431372549,True
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,time_label_shuffle,0.0099009900990099,True
