clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
177,2,5.0,5.0,0.0,MPP,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.8584155678065113,-2.2087500427441182,-1.213450999935164,0.0,1.0,1.2021835833290544,2.2087500427441182,0.0,0.713,0.47525000000000006,0.5425,0.0
259,2,2.5,5.0,2.5,Unk_2,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-1.0092611418787294,-2.901352844676509,-1.5822512455440272,0.47205675560712745,0.893593430519104,1.1467249167010225,3.512089520267472,0.41224010482330564,0.548,0.6950000000000001,0.5874999999999999,0.9441135112142549
263,2,2.5,2.5,0.0,Unk_2,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.624322379685808,-2.0427763882319536,-1.2002310207776046,0.9633919091130789,0.7862132787704468,1.6384402212257254,3.3096961337608217,0.8587140989250774,0.629,0.79575,0.6072500000000001,0.9633919091130789
325,2,5.0,5.0,0.0,Unk_3,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-1.5749925234168671,-5.071978601506576,-3.854226195643619,0.0,1.0,0.6973260826862029,5.071978601506576,0.0,0.4505,0.5075,0.5425,0.0
374,2,2.5,5.0,2.5,Ery/Meg,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-0.8646690648166713,-1.9759542463683717,-1.5411762165128347,0.4774933796216372,0.8445969521999359,1.2301906476749567,1.9080268870446484,0.22738422743773426,0.4555,0.5885,0.44199999999999995,0.9549867592432744
393,2,2.5,2.5,0.0,Neutro,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.8755337001926631,-1.3937416216371976,-1.9569491419342815,0.9619543698488958,0.7745944261550903,1.2175182504395035,2.371921754028161,0.8230319465641616,0.502,0.483,0.593,0.9619543698488958
429,2,2.5,2.5,0.0,MPP/GMP,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.8969903583788383,-2.142388232884406,-2.7392734131415715,0.9705163212749437,0.7438415586948395,1.2232158134125783,3.1595788699027985,0.8677786540025901,0.462,0.57275,0.574,0.9705163212749437
449,6,2.5,5.0,2.5,Ery/Meg,0.0,0.0,1,1,0.0,,0.6500224216454689,1.0,4,2.5,2,-1.0236925895781273,-2.6648650159685165,-1.9648786702073884,0.9558729581699806,0.5670969486236572,1.1044933144983118,2.915364761488087,0.2529275409732893,0.29325,0.52675,0.364,0.9558729581699806
584,2,2.5,2.5,0.0,Unk_1,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.7150312806769061,-2.1252861733616015,-1.332645876850035,0.9000715061165292,0.773838996887207,1.2503789153266986,1.1932408504067058,-0.234744797197873,0.573,0.4265,0.176,0.9000715061165292
703,2,2.5,5.0,2.5,pDC,0.0,0.0,1,1,0.0,,0.0,0.0,1,2.5,2,-1.1489536392541388,-3.7558229883288687,-1.3881987405074332,0.48308448271714943,0.8056756556034088,0.9197748181707209,3.441945561352771,-0.08921263305168485,0.3275,0.464,0.07150000000000001,0.9661689654342989
776,2,2.5,2.5,0.0,Mono,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.7499756832216347,-3.057497398325678,-1.1519009663544373,0.9045838376923382,0.683413565158844,1.3160688638069953,2.279185408199611,-0.16826475612730185,0.488,0.53175,0.24325,0.9045838376923382
883,2,2.5,2.5,0.0,Mono,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.5011465306985545,-2.5867583219309447,-0.5011465306985545,0.9426248244301156,0.7209856510162354,1.2895038992167918,2.105792714995145,0.07118175495889872,0.61275,0.59275,0.42374999999999996,0.9426248244301156
908,4,2.5,5.0,2.5,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,3,2.5,4,-1.3571284747946868,-3.677967636983362,-1.6435264906673406,0.24194015610523464,0.8880021572113037,0.7887277059690312,3.811592371194279,0.09542694367483269,0.5315,0.7675000000000001,0.372,0.9677606244209386
1059,2,2.5,2.5,0.0,Unk_1,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.8093233374387886,-1.7822893769000403,-1.0500068912018503,0.9422988463619919,0.793536901473999,1.3931769312206845,1.1940283130864309,0.20064134507438747,0.54375,0.379,0.4995,0.9422988463619919
1062,2,2.5,2.5,0.0,Unk_3,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.9172259875910056,-2.96092280838679,-0.5026463904170868,0.9291808473924574,0.6892666518688202,1.3750517843642225,2.2491554029780114,-0.047411096187190735,0.39825,0.43124999999999997,0.25425,0.9291808473924574
1066,2,2.5,5.0,2.5,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,1,2.5,2,-1.416420900738417,-3.7176434455651806,-1.416420900738417,0.48266927343153854,0.7728710174560547,0.9699482609238769,3.7676730607314974,-0.023891281621675465,0.516,0.7895,0.0685,0.9653385468630771
1081,2,2.5,2.5,0.0,Unk_3,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.9772579242304489,-2.780387642934399,-0.9266474754628284,0.9349717689186798,0.6297505497932434,1.1463691490726031,1.996904384168198,-0.16358962230073007,0.3725,0.406,0.2525,0.9349717689186798
1087,2,5.0,5.0,0.0,Ery/Meg,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-1.0735637762215058,-2.857420172951721,-1.7928343262670365,0.0,1.0,0.9534373919216341,2.857420172951721,0.0,0.6024999999999999,0.4885,0.5425,0.0
1089,2,2.5,2.5,0.0,Lym,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-1.4175744466814817,-4.189858014406072,-2.2678528949734886,0.706840872725635,0.5504481494426727,0.7366854909868621,3.242879628243414,-0.21822633325423293,0.143,0.42250000000000004,0.05025,0.706840872725635
1108,2,2.5,2.5,0.0,Unk_3,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.9388952781437908,-3.1578315754703152,-1.0046876555095274,0.8726381381078018,0.6671757996082306,1.0995350019191197,2.582687233653484,0.17186328376411641,0.3785,0.49924999999999997,0.39475,0.8726381381078018
1116,2,5.0,5.0,0.0,MEP,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-1.784343866371332,-5.087481578157763,-4.62753233925786,0.0,1.0,0.7399717366123353,5.087481578157763,0.0,0.53575,0.46249999999999997,0.5425,0.0
1119,2,2.5,2.5,0.0,Mono,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.9241074034490182,-2.751563271567631,-1.053041560355067,0.950330617641152,0.7115764915943146,1.2687167420463425,2.307619678947792,0.2994285162617096,0.425,0.476,0.44200000000000006,0.950330617641152
1123,4,2.5,2.5,0.0,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,4,2.5,4,-0.7497955059524942,-3.4700865405470895,-0.7497955059524942,0.9383809342217423,0.5019429922103882,1.3640491107723298,3.347533492550287,-0.09802005144900691,0.401875,0.726,0.049,0.9383809342217423
1148,2,2.5,2.5,0.0,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.0826547416855719,-3.456509092442309,-1.0826547416855719,0.9220937227350958,0.5149698555469513,1.1524232393095257,3.1059485095494432,-0.03615871167190654,0.24600000000000002,0.531,0.05925,0.9220937227350958
