dataset_id,exposure,clone_splitting_score,score_primary,expected_direction,observed_direction,effect_size,ci_low,ci_high,p_value,whether_supports_original_hypothesis,whether_supports_revised_hypothesis,permutation_q
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,True,positive,positive,0.05247335927807384,-0.1096575473675915,0.1946937689732725,0.7413765399002209,False,False,0.9617857814921785
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,True,positive,positive,0.02173582664656615,-0.16619849137626613,0.20317601106970537,0.8913238977918202,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,True,positive,positive,0.24633936866108305,0.04975614681552426,0.42691687805808437,0.11580531879813881,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_fate_entropy,True,positive,positive,0.010319028812006154,-0.3325083450152356,0.3867571009180565,0.948286728776941,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,terminal_fate_entropy,True,positive,negative,-0.11504619356364308,-0.3779349633010584,0.12927310105620668,0.4681465186207786,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_fate_entropy,True,context_dependent,positive,0.09792099681180307,-0.08382751094172267,0.2828614107905902,0.5372777835350971,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_fate_entropy,True,positive,negative,-0.23865498550320613,-0.4200367295446156,-0.12042992976178264,0.12799051579972592,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_fate_entropy,True,positive,negative,-0.2931043290218769,-0.4902211444155575,-0.12833714683587877,0.05958985062890216,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_lineage_entropy,False,positive,positive,0.05247335927807384,-0.1096575473675915,0.1946937689732725,0.7413765399002209,False,False,0.9617857814921785
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_lineage_entropy,False,positive,positive,0.02173582664656615,-0.16619849137626613,0.20317601106970537,0.8913238977918202,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_lineage_entropy,False,positive,positive,0.24633936866108305,0.04975614681552426,0.42691687805808437,0.11580531879813881,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_lineage_entropy,False,positive,positive,0.010319028812006154,-0.3325083450152356,0.3867571009180565,0.948286728776941,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,terminal_lineage_entropy,False,positive,negative,-0.11504619356364308,-0.3779349633010584,0.12927310105620668,0.4681465186207786,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,terminal_lineage_entropy,False,context_dependent,positive,0.09792099681180307,-0.08382751094172267,0.2828614107905902,0.5372777835350971,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,terminal_lineage_entropy,False,positive,negative,-0.23865498550320613,-0.4200367295446156,-0.12042992976178264,0.12799051579972592,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,terminal_lineage_entropy,False,positive,negative,-0.2931043290218769,-0.4902211444155575,-0.12833714683587877,0.05958985062890216,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,clone_multilineage_score,False,positive,positive,0.05534402282240389,-0.1096575473675915,0.1946937689732725,0.7277552591187735,False,False,0.9617857814921785
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,clone_multilineage_score,False,positive,positive,0.01844800760746796,-0.16619849137626613,0.20317601106970537,0.9076854634088504,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,clone_multilineage_score,False,positive,positive,0.24904810270081748,0.04975614681552426,0.4374100649070371,0.11172606788589724,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,clone_multilineage_score,False,positive,positive,0.01844800760746796,-0.3325083450152356,0.3886021223413208,0.9076854634088504,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,clone_multilineage_score,False,positive,negative,-0.11991204944854175,-0.3779349633010584,0.12927310105620668,0.4494081934942501,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,clone_multilineage_score,False,context_dependent,positive,0.1014640418410738,-0.08382751094172267,0.28723725692074675,0.5225814986011459,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,post_event_divergence_exposure,clone_multilineage_score,False,positive,negative,-0.2398240988970835,-0.425313773953675,-0.12117504367958683,0.12607725356987243,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,teacher_velocity_bias_exposure,clone_multilineage_score,False,positive,negative,-0.29516812171948736,-0.49560426269516344,-0.12833714683587877,0.0577352659226705,False,False,0.2600284391079367
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,clone_branch_count,False,positive,positive,0.05534402282240389,-0.1096575473675915,0.1946937689732725,0.7277552591187735,False,False,0.9617857814921785
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,clone_branch_count,False,positive,positive,0.01844800760746796,-0.16619849137626613,0.20317601106970537,0.9076854634088504,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,clone_branch_count,False,positive,positive,0.24904810270081748,0.04975614681552426,0.4374100649070371,0.11172606788589724,False,False,0.29254975039937353
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,clone_branch_count,False,positive,positive,0.01844800760746796,-0.3325083450152356,0.3886021223413208,0.9076854634088504,False,False,0.9684630421551738
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_exposure,clone_branch_count,False,positive,negative,-0.11991204944854175,-0.3779349633010584,0.12927310105620668,0.4494081934942501,False,False,0.8319139874091827
Jindal_2023_NatureBiotechnology_LSK_RNA,density_exposure,clone_branch_count,False,context_dependent,positive,0.1014640418410738,-0.08382751094172267,0.28723725692074675,0.5225814986011459,False,False,0.8319139874091827
