dataset_id,exposure,clone_splitting_score,control,permutation_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.7450980392156863,False
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.7920792079207921,False
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.7880794701986755,False
Jindal_2023_NatureBiotechnology_LSK_RNA,branch_window_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.7810945273631841,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.9607843137254902,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.9603960396039604,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.9470198675496688,False
Jindal_2023_NatureBiotechnology_LSK_RNA,global_centroid_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.9402985074626866,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,clone_label_shuffle,0.19607843137254902,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,time_label_shuffle,0.15841584158415842,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,branch_label_shuffle,0.15894039735099338,False
Jindal_2023_NatureBiotechnology_LSK_RNA,same_lineage_centroid_condensation_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.13930348258706468,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_fate_entropy,clone_label_shuffle,0.9215686274509803,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_fate_entropy,time_label_shuffle,0.9306930693069307,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_fate_entropy,branch_label_shuffle,0.9337748344370861,False
Jindal_2023_NatureBiotechnology_LSK_RNA,alignment_exposure,terminal_fate_entropy,teacher_velocity_shuffle,0.9253731343283582,False
