clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
41,4,4.0,4.0,0.0,pDC,0.0,0.0,1,1,0.0,,0.0,0.0,4,2,4,-0.46555212828825754,-5.523792210035493,-0.46555212828825754,0.9952826912014603,0.7074873894453049,3.97979480267718,5.570597232247732,0.876816573570945,0.667,0.7540833333333333,0.714,0.9952826912014603
90,3,2.0,2.0,0.0,Baso,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9182958340516042,1.0,3,2,3,-2.347270524774834,-7.2861765065136845,-5.5404077788550845,0.9104687546144749,0.8046172857284546,1.9064584492681018,7.3770464550504,0.7364083578803141,0.5766666666666667,0.4178888888888889,0.7365555555555555,0.9104687546144749
209,2,2.0,2.0,0.0,Monocyte,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-2.9515766541371575,-5.767327538289297,-2.9515766541371575,0.17916190695812736,0.5679921209812164,0.5411515404159177,5.940414213206229,0.2545039571448365,0.2455,0.523,0.39066666666666666,0.17916190695812736
238,2,4.0,4.0,0.0,Erythroid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.348375705150071,-4.057490834636026,-1.348375705150071,0.9144842088121405,0.6583228707313538,2.6342029913863927,3.9885452502713177,0.6717574245989893,0.43283333333333335,0.4375,0.53,0.9144842088121405
257,2,2.0,2.0,0.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.8417461276251776,-3.832043185374636,-1.8417461276251776,0.9425285818625946,0.8456070423126221,1.6301358408085762,3.496116277099919,0.7681889877610355,0.5725,0.26383333333333336,0.7645,0.9425285818625946
292,5,6.0,6.0,0.0,Monocyte,0.8649735207151964,0.8649735207151964,3,3,0.4,,0.8649735207151964,1.0,5,2,5,-0.14859019092041265,-5.011232150375304,-0.14859019092041265,0.0,0.2626495351628339,43.122035859452915,5.011232150375304,0.0,0.5245666666666666,0.7815333333333333,0.18466666666666667,0.0
303,2,2.0,2.0,0.0,undiff,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-2.701380753244772,-2.387765165717428,-2.701380753244772,0.9691521729435886,0.9257532358169556,1.1729093125175243,3.1922688981477463,0.9209298977592997,0.5455,0.14483333333333334,0.8941666666666667,0.9691521729435886
323,2,6.0,6.0,0.0,Ccr7_DC,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.08113020658493042,-4.695965166650723,-0.08113020658493042,0.0,0.2626495351628339,32.41550605827038,4.695965166650723,0.0,0.5509999999999999,0.8089999999999999,0.18466666666666667,0.0
346,5,4.0,6.0,2.0,Eos,0.0,0.0,1,1,0.0,,0.0,0.0,4,2,5,-0.5992817459420783,-4.392372520918483,-0.5992817459420783,0.19563602519276144,0.32963703793175025,15.39320236517438,4.454862012433733,0.10355171366057488,0.45053333333333334,0.6554,0.23313333333333333,0.19563602519276144
353,2,4.0,4.0,0.0,Baso,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.086520626573747,-3.4376331484981693,-1.086520626573747,0.9432882460512673,0.6925700604915619,3.684252074828361,3.3072883184628123,0.7282072097636998,0.5483333333333333,0.3181666666666667,0.6265000000000001,0.9432882460512673
423,2,4.0,4.0,0.0,Lymphoid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.3341613929779574,-3.8790970828139644,-0.3341613929779574,0.9591892969632214,0.6613231301307678,3.859467082712137,3.9255178595935143,0.6001724132342666,0.6173333333333333,0.6013333333333333,0.49033333333333334,0.9591892969632214
453,3,4.0,6.0,2.0,pDC,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,3,-0.21808049726986237,-5.533939655473596,-0.21808049726986237,0.3327286857086063,0.41029554540818775,7.38705668598072,5.56595758521468,0.29249089146509794,0.5817777777777778,0.8352222222222222,0.36200000000000004,0.3327286857086063
467,3,2.0,2.0,0.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,0.0,3,2,3,-0.9003021823894676,-3.920620812600593,-0.9003021823894676,0.9559652575988687,0.745322585105896,2.6429751617919823,4.033283187073256,0.24294630945137288,0.6341111111111112,0.5242222222222223,0.5812222222222222,0.9559652575988687
544,2,4.0,6.0,2.0,Erythroid,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-0.6265107158369296,-3.924811370466026,-0.6265107158369296,0.48954536055789866,0.46996557664056005,11.926511762382205,3.9317983794798623,0.34577536738613995,0.49275,0.5351666666666667,0.3888333333333333,0.48954536055789866
561,2,2.0,2.0,0.0,Erythroid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-2.323916930096738,-4.479127717356967,-2.323916930096738,0.6724824240782137,0.6109091639518738,1.8627530588749355,3.920425188051568,0.060988312042659414,0.303,0.31716666666666665,0.3183333333333333,0.6724824240782137
593,2,4.0,6.0,2.0,Monocyte,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-0.6493219674207509,-5.419437250960577,-0.6493219674207509,0.4988308172464675,0.4643012578405875,21.698206502473703,5.575689160212389,0.419510624372849,0.5020833333333333,0.7553333333333333,0.3995,0.4988308172464675
609,2,4.0,4.0,0.0,Baso,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.19724582948250524,-3.340843342426227,-0.19724582948250524,0.9921869086144788,0.6926474273204803,5.556756189422305,3.464522201821891,0.6415644886085148,0.7358333333333333,0.5338333333333334,0.5873333333333333,0.9921869086144788
621,2,6.0,6.0,0.0,Ccr7_DC,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.06563026085495949,-4.706266931056591,-0.06563026085495949,0.0,0.2626495351628339,73.7832259576048,4.706266931056591,0.0,0.5576666666666668,0.8223333333333334,0.18466666666666667,0.0
648,3,6.0,6.0,0.0,Lymphoid,0.0,0.0,1,1,0.0,,0.0,0.0,3,2,3,-0.4229888992187211,-3.920644339946995,-0.4229888992187211,0.0,0.2626495351628339,16.688187830007166,3.920644339946995,0.0,0.4580555555555555,0.587111111111111,0.18466666666666667,0.0
651,2,4.0,4.0,0.0,Meg,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.32657222941991526,-3.946392176691095,-0.32657222941991526,0.9924204307388397,0.6733357608318329,6.421053931194385,3.9463657411250006,0.6600710439959054,0.659,0.6140000000000001,0.5668333333333333,0.9924204307388397
673,2,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-1.297433504035776,-3.6280608774007357,-1.297433504035776,0.4275985931435999,0.4663597936548728,10.13823688687649,3.9688980694279525,0.4429090422422795,0.42975,0.4573333333333333,0.4275,0.4275985931435999
691,2,2.0,2.0,0.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.9288397885847475,-4.040288566505936,-0.9288397885847475,0.9482699842408655,0.6979897916316986,2.4651420730564944,4.305719482350732,-0.13444289474497426,0.5871666666666667,0.5630000000000001,0.33316666666666667,0.9482699842408655
696,2,2.0,2.0,0.0,pDC,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-6.067428070197052,-5.993082680197974,-0.10752194420790742,0.25321853900275937,0.5466932356357574,0.18741047550652618,5.567403784651644,-0.002395798440128086,0.19233333333333333,0.44016666666666665,0.274,0.25321853900275937
700,2,2.0,2.0,0.0,Baso,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.0392705906388198,-3.6605541474226007,-1.0392705906388198,0.9857115775560217,0.7362976670265198,3.3265411943206837,3.5468152340870445,0.6073421116559417,0.604,0.36533333333333334,0.6081666666666666,0.9857115775560217
704,2,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-1.772246491343966,-5.031671053322323,-1.772246491343966,0.47141289418479343,0.5042120213427085,38.839709672383286,5.920133200523582,0.44802355069842337,0.41833333333333333,0.507,0.774,0.9428257883695869
755,6,4.0,6.0,2.0,Mast,0.0,0.0,1,1,0.0,,0.6500224216454689,1.0,4,2,6,-0.9386592629979505,-4.026360376899022,-0.9386592629979505,0.3298757959196906,0.39547259544239277,7.322357725207662,4.230688253642541,0.2580221639323831,0.44300000000000006,0.5266111111111111,0.3207777777777778,0.3298757959196906
766,4,4.0,6.0,2.0,Monocyte,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9463946303544555,1.0,2,2,4,-1.0897432485128913,-4.04254411456808,-1.0897432485128913,0.49659311044073934,0.4738014335550803,8.870968656779011,4.255205529415178,0.4337777693042095,0.420875,0.4666666666666667,0.4272083333333333,0.49659311044073934
784,2,6.0,6.0,0.0,Neu_Mon,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.08855052183314072,-5.749036598839952,-0.08855052183314072,0.0,0.2626495351628339,34.583505720763526,5.749036598839952,0.0,0.5471666666666666,0.8996666666666666,0.18466666666666667,0.0
801,3,4.0,6.0,2.0,Monocyte,0.0,0.0,1,1,0.0,,0.9182958340516042,1.0,1,2,3,-1.594239871765662,-4.594860219215247,-1.594239871765662,0.6354985648164725,0.5310545163100254,9.739875481954114,5.033246808463857,0.5808081607733648,0.40005555555555555,0.5231111111111111,0.4753333333333332,0.6354985648164725
836,2,2.0,2.0,0.0,Ccr7_DC,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-5.445407259427293,-5.3951191012115896,-0.22379449985600403,0.4541210793948759,0.45101793110370636,0.6148787644281403,4.692848635368548,-0.02389560778542362,0.194,0.3625,0.18383333333333335,0.4541210793948759
964,2,2.0,2.0,0.0,Erythroid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-2.3178134918874385,-4.54135171549024,-2.3178134918874385,0.7292303152306084,0.6100370585918427,2.084167882609679,3.8756010999534425,0.0009338352528502243,0.30133333333333334,0.2925,0.306,0.7292303152306084
971,2,6.0,6.0,0.0,Ccr7_DC,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.09249880909919739,-4.695422136402991,-0.09249880909919739,0.0,0.2626495351628339,31.431961475370905,4.695422136402991,0.0,0.5455,0.8033333333333332,0.18466666666666667,0.0
989,2,4.0,4.0,0.0,Erythroid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.194703105960606,-3.97981699323573,-1.194703105960606,0.9678270214848712,0.6805043816566467,5.118023172398647,3.8693061210978823,0.7855157867998006,0.5056666666666667,0.397,0.6325000000000001,0.9678270214848712
