dataset_id,sampling_strategy,clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_state,initial_lineage,terminal_sampling_depth,early_sampling_depth,number_of_observed_time_points,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_transition_entropy,outcome_estimable,branch_window_condensation_exposure,post_event_divergence_exposure,fate_entropy_exposure,teacher_velocity_bias_exposure,local_alignment_exposure,density_exposure,condensation_only,post_event_divergence_only,fate_entropy_only,teacher_bias_only,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,clone_size_bin,time_span_bin,start_time_bin
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,85,4,2.5,5.0,2.5,Neutro,Neutro,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9999999999971146,True,-0.368176534891765,0.368176534891765,0.7668941617012024,0.6336368126993966,0.9987034738080611,7.556121453103488,0.5808383233532934,0.4251497005988024,0.2215568862275449,0.09580838323353294,0.5029940119760479,0.15868263473053892,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,92,4,2.5,5.0,2.5,Neutro,Neutro,3,1,2,0.0,0.0,1.0,1.0,0.0,0.8112781244562475,True,-0.6652965319056812,0.6652965319056812,0.876878559589386,0.952939099654152,0.9999910222271042,14.683224317193272,0.25149700598802394,0.7544910179640718,0.6227544910179641,0.6407185628742516,0.5029940119760479,0.6317365269461078,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,115,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.0,0.0,1.0,1.0,0.0,0.0,True,-0.2903624579083522,0.2903624579083522,0.5973228216171265,-0.7590085363789341,0.9826246228024356,2.1211932354910976,0.6826347305389222,0.32335329341317365,0.08982035928143713,0.059880239520958084,0.5029940119760479,0.07485029940119761,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,135,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.32753868226925426,0.32753868226925426,0.863975465297699,0.9299870037299465,0.9995840555110379,9.299516865374926,0.6287425149700598,0.3772455089820359,0.5688622754491018,0.5568862275449101,0.5029940119760479,0.562874251497006,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,174,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9999999999971146,True,-0.580800324893235,0.580800324893235,0.8136735558509827,0.8609029443499833,0.9997198364316049,14.865701717260158,0.3712574850299401,0.6347305389221557,0.3712574850299401,0.25748502994011974,0.5029940119760479,0.3143712574850299,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,233,4,2.5,5.0,2.5,Unk_2,Unk_2,3,1,2,0.0,0.0,1.0,1.0,0.0,0.8112781244562475,True,-0.30892670241242837,0.30892670241242837,0.8457134366035461,0.858640985561268,0.9999518664268391,9.090434368720347,0.6706586826347305,0.33532934131736525,0.5029940119760479,0.2275449101796407,0.5029940119760479,0.3652694610778443,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,236,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9463946303544555,True,-1.9797698400724921,1.9797698400724921,0.9180406928062439,0.9964239558867767,0.9997518848396043,11.111281162325168,0.03592814371257485,0.9700598802395209,0.8383233532934131,0.9281437125748503,0.5029940119760479,0.8832335329341316,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,259,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.8033288320502715,0.8033288320502715,0.8879300355911255,0.9419390609314311,0.9999942728301399,16.78624180121367,0.1377245508982036,0.8682634730538922,0.6646706586826348,0.6107784431137725,0.5029940119760479,0.6377245508982037,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,263,4,2.5,5.0,2.5,Unk_2,Unk_2,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.11559548502567821,0.11559548502567821,0.9058529734611511,0.9616457518696572,0.9999663207182267,19.622441691560756,0.9341317365269461,0.0718562874251497,0.7604790419161677,0.6946107784431138,0.5029940119760479,0.7275449101796407,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,299,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.1414869089292081,0.1414869089292081,0.9093116521835327,0.9856181856810875,0.9987352862814547,14.390954775426396,0.8982035928143712,0.10778443113772455,0.7964071856287425,0.8263473053892215,0.5029940119760479,0.811377245508982,"(0.999, 42.5]","(0.999, 42.5]",2.5
