dataset_id,sampling_strategy,sampling_mode,strategy_description,prepared,input_path,config_path,n_cells,n_time_points,usable_clones,full_outcome_estimable_clones,outcome_estimable_clones,outcome_estimable_clone_ratio,median_terminal_cells_per_clone,median_early_cells_per_clone,median_clone_time_span,terminal_fate_entropy_missing_rate,terminal_fate_entropy_variance,outcome_distribution_ks,outcome_distribution_similarity
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,terminal_priority,prioritize clones with enough terminal cells to estimate terminal fate entropy,True,processed/external_l6_outcome_preserving/Jindal_2023_NatureBiotechnology_LSK_RNA/terminal_outcome_preserving_native/native_input.h5ad,configs/clone_outcome_preserving_native_Jindal_2023_NatureBiotechnology_LSK_RNA_terminal_outcome_preserving_native.yaml,1000,2,167,1094,167,0.1526508226691042,3.0,1.0,2.5,0.0,0.1277991136319294,0.5256160439632618,0.4743839560367382
Jindal_2023_NatureBiotechnology_LSK_RNA,early_terminal_balanced_native,early_terminal_balanced,retain early and terminal representatives for the same clones,True,processed/external_l6_outcome_preserving/Jindal_2023_NatureBiotechnology_LSK_RNA/early_terminal_balanced_native/native_input.h5ad,configs/clone_outcome_preserving_native_Jindal_2023_NatureBiotechnology_LSK_RNA_early_terminal_balanced_native.yaml,1000,2,250,1094,250,0.22851919561243145,2.0,2.0,2.5,0.0,0.24322891566124702,0.3169360146252285,0.6830639853747715
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_outcome_quality_native,outcome_quality,"rank clones by terminal-depth, time-span and terminal fate diversity",True,processed/external_l6_outcome_preserving/Jindal_2023_NatureBiotechnology_LSK_RNA/clone_outcome_quality_native/native_input.h5ad,configs/clone_outcome_preserving_native_Jindal_2023_NatureBiotechnology_LSK_RNA_clone_outcome_quality_native.yaml,1000,2,125,1094,125,0.11425959780621572,4.0,2.0,2.5,0.0,0.09706956276423952,0.382054844606947,0.6179451553930531
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_preserving_native,entropy_preserving,prioritize terminal fate entropy strata to preserve the full-data outcome distribution,True,processed/external_l6_outcome_preserving/Jindal_2023_NatureBiotechnology_LSK_RNA/fate_entropy_preserving_native/native_input.h5ad,configs/clone_outcome_preserving_native_Jindal_2023_NatureBiotechnology_LSK_RNA_fate_entropy_preserving_native.yaml,1000,2,167,1094,167,0.1526508226691042,3.0,1.0,2.5,0.0,0.06318077588529841,0.6274124511488905,0.37258754885110945
Jindal_2023_NatureBiotechnology_LSK_RNA,max_outcome_quality_feasible_native,outcome_quality,largest attempted native run while maximizing outcome-estimable clone count,True,processed/external_l6_outcome_preserving/Jindal_2023_NatureBiotechnology_LSK_RNA/max_outcome_quality_feasible_native/native_input.h5ad,configs/clone_outcome_preserving_native_Jindal_2023_NatureBiotechnology_LSK_RNA_max_outcome_quality_feasible_native.yaml,1300,2,163,1094,163,0.1489945155393053,4.0,2.0,2.5,0.0,0.13534940020901193,0.313735826202039,0.686264173797961
Weinreb_2020_Science,terminal_outcome_preserving_native,terminal_priority,prioritize clones with enough terminal cells to estimate terminal fate entropy,True,processed/external_l6_outcome_preserving/Weinreb_2020_Science/terminal_outcome_preserving_native/native_input.h5ad,configs/clone_outcome_preserving_native_Weinreb_2020_Science_terminal_outcome_preserving_native.yaml,1500,3,276,2595,167,0.06435452793834297,3.0,1.0,2.0,0.39492753623188404,0.21612508732696092,0.3589306935262423,0.6410693064737577
Weinreb_2020_Science,early_terminal_balanced_native,early_terminal_balanced,retain early and terminal representatives for the same clones,True,processed/external_l6_outcome_preserving/Weinreb_2020_Science/early_terminal_balanced_native/native_input.h5ad,configs/clone_outcome_preserving_native_Weinreb_2020_Science_early_terminal_balanced_native.yaml,1500,3,250,2595,250,0.09633911368015415,2.0,2.0,2.0,0.0,0.22530120481797694,0.2868208092485549,0.7131791907514451
Weinreb_2020_Science,clone_outcome_quality_native,outcome_quality,"rank clones by terminal-depth, time-span and terminal fate diversity",True,processed/external_l6_outcome_preserving/Weinreb_2020_Science/clone_outcome_quality_native/native_input.h5ad,configs/clone_outcome_preserving_native_Weinreb_2020_Science_clone_outcome_quality_native.yaml,1500,3,170,2595,125,0.04816955684007707,4.0,3.0,4.0,0.2647058823529411,0.10072357198706237,0.6108208092485549,0.38917919075144514
Weinreb_2020_Science,fate_entropy_preserving_native,entropy_preserving,prioritize terminal fate entropy strata to preserve the full-data outcome distribution,True,processed/external_l6_outcome_preserving/Weinreb_2020_Science/fate_entropy_preserving_native/native_input.h5ad,configs/clone_outcome_preserving_native_Weinreb_2020_Science_fate_entropy_preserving_native.yaml,1500,3,195,2595,167,0.06435452793834297,3.0,2.0,2.0,0.14358974358974363,0.09393552952952576,0.712224106699895,0.287775893300105
Weinreb_2020_Science,max_outcome_quality_feasible_native,outcome_quality,largest attempted native run while maximizing outcome-estimable clone count,True,processed/external_l6_outcome_preserving/Weinreb_2020_Science/max_outcome_quality_feasible_native/native_input.h5ad,configs/clone_outcome_preserving_native_Weinreb_2020_Science_max_outcome_quality_feasible_native.yaml,1950,3,215,2595,163,0.0628131021194605,4.0,3.0,4.0,0.24186046511627912,0.07494287891289618,0.6547962693712543,0.34520373062874565
