dataset_id,sampling_strategy,n_cells,usable_clones,outcome_estimable_clones,terminal_fate_entropy_missing_rate,terminal_fate_entropy_variance,outcome_distribution_similarity,teacher_backend,native_moscot_success,runtime_seconds,plan_shapes,best_model,best_model_tier,best_model_effect,condensation_only_tier,condensation_only_effect,uncertainty_plus_teacher_bias_tier
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1000,167,167,0.0,0.1277991136319294,0.4743839560367382,native_moscot,True,17.604583263397217,"(500, 500)",post_event_divergence_only,acceptable,0.178580347833523,fail,-0.178580347833523,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,early_terminal_balanced_native,1000,250,250,0.0,0.24322891566124702,0.6830639853747715,native_moscot,True,8.027997493743896,"(500, 500)",post_event_divergence_only,fail,0.0860903153717467,fail,-0.0860903153717467,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_outcome_quality_native,1000,125,125,0.0,0.09706956276423952,0.6179451553930531,native_moscot,True,8.398026466369629,"(500, 500)",post_event_divergence_only,fail,0.08341872320780362,fail,-0.08341872320780362,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,fate_entropy_preserving_native,1000,167,167,0.0,0.06318077588529841,0.37258754885110945,native_moscot,True,8.312909841537476,"(500, 500)",condensation_only,fail,0.05253493735154936,fail,0.05253493735154936,fail
Jindal_2023_NatureBiotechnology_LSK_RNA,max_outcome_quality_feasible_native,1300,163,163,0.0,0.13534940020901193,0.686264173797961,native_moscot,True,9.205740451812744,"(650, 650)",post_event_divergence_only,fail,0.04272340411701957,fail,-0.04272340411701957,fail
Weinreb_2020_Science,terminal_outcome_preserving_native,1500,276,167,0.39492753623188404,0.21612508732696092,0.6410693064737577,native_moscot,True,10.708931684494019,"(500, 500);(500, 500)",uncertainty_plus_teacher_bias,fail,0.0929168083057141,fail,-0.05960268152725759,fail
Weinreb_2020_Science,early_terminal_balanced_native,1500,250,250,0.0,0.22530120481797694,0.7131791907514451,native_moscot,True,10.052678108215332,"(500, 500);(500, 500)",uncertainty_plus_teacher_bias,acceptable,0.19358718138208278,fail,-0.0016965655965540062,acceptable
Weinreb_2020_Science,clone_outcome_quality_native,1500,170,125,0.2647058823529411,0.10072357198706237,0.38917919075144514,native_moscot,True,10.2345871925354,"(500, 500);(500, 500)",condensation_only,acceptable,0.21545412574456607,acceptable,0.21545412574456607,fail
Weinreb_2020_Science,fate_entropy_preserving_native,1500,195,167,0.14358974358974363,0.09393552952952576,0.287775893300105,native_moscot,True,10.799309015274048,"(500, 500);(500, 500)",condensation_only,weak,0.1425210266169739,weak,0.1425210266169739,fail
Weinreb_2020_Science,max_outcome_quality_feasible_native,1950,215,163,0.24186046511627912,0.07494287891289618,0.34520373062874565,native_moscot,True,12.395804405212402,"(650, 650);(650, 650)",two_phase_condensation_plus_divergence,fail,0.024760177106008203,fail,-0.022688797287034993,fail
