dataset_id,sampling_strategy,sampling_mode,strategy_description,prepared,input_path,config_path,n_cells,n_time_points,usable_clones,full_time_spanning_clones_ge2,clone_coverage_ratio,median_clone_size,median_time_coverage_per_clone,terminal_fate_coverage
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,cell_random,lineage-balanced cell downsample baseline,True,processed/external_l5_clone_stratified/Jindal_2023_NatureBiotechnology_LSK_RNA/cell_random_native/native_input.h5ad,configs/clone_stratified_native_Jindal_2023_NatureBiotechnology_LSK_RNA_cell_random_native.yaml,1000,2,42,1384,0.030346820809248554,2.0,2.0,14
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_stratified_native,clone_stratified,prioritize time-spanning clones,True,processed/external_l5_clone_stratified/Jindal_2023_NatureBiotechnology_LSK_RNA/clone_stratified_native/native_input.h5ad,configs/clone_stratified_native_Jindal_2023_NatureBiotechnology_LSK_RNA_clone_stratified_native.yaml,1000,2,500,1384,0.36127167630057805,2.0,2.0,14
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,clone_time_balanced,sample clone-time representatives,True,processed/external_l5_clone_stratified/Jindal_2023_NatureBiotechnology_LSK_RNA/clone_time_balanced_native/native_input.h5ad,configs/clone_stratified_native_Jindal_2023_NatureBiotechnology_LSK_RNA_clone_time_balanced_native.yaml,1000,2,250,1384,0.18063583815028902,3.0,2.0,13
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_fate_balanced_native,clone_fate_balanced,prioritize terminal-fate-diverse clones,True,processed/external_l5_clone_stratified/Jindal_2023_NatureBiotechnology_LSK_RNA/clone_fate_balanced_native/native_input.h5ad,configs/clone_stratified_native_Jindal_2023_NatureBiotechnology_LSK_RNA_clone_fate_balanced_native.yaml,1000,2,59,1384,0.04263005780346821,4.0,2.0,13
Jindal_2023_NatureBiotechnology_LSK_RNA,max_feasible_native,clone_time_balanced,largest attempted clone-time-balanced native run,True,processed/external_l5_clone_stratified/Jindal_2023_NatureBiotechnology_LSK_RNA/max_feasible_native/native_input.h5ad,configs/clone_stratified_native_Jindal_2023_NatureBiotechnology_LSK_RNA_max_feasible_native.yaml,1300,2,325,1384,0.23482658959537572,3.0,2.0,13
Weinreb_2020_Science,cell_random_native,cell_random,lineage-balanced cell downsample baseline,True,processed/external_l5_clone_stratified/Weinreb_2020_Science/cell_random_native/native_input.h5ad,configs/clone_stratified_native_Weinreb_2020_Science_cell_random_native.yaml,1500,3,95,3881,0.0244782272610152,2.0,2.0,12
Weinreb_2020_Science,clone_stratified_native,clone_stratified,prioritize time-spanning clones,True,processed/external_l5_clone_stratified/Weinreb_2020_Science/clone_stratified_native/native_input.h5ad,configs/clone_stratified_native_Weinreb_2020_Science_clone_stratified_native.yaml,1500,3,500,3881,0.12883277505797475,3.0,3.0,12
Weinreb_2020_Science,clone_time_balanced_native,clone_time_balanced,sample clone-time representatives,True,processed/external_l5_clone_stratified/Weinreb_2020_Science/clone_time_balanced_native/native_input.h5ad,configs/clone_stratified_native_Weinreb_2020_Science_clone_time_balanced_native.yaml,1500,3,258,3881,0.06647771192991497,5.0,3.0,11
Weinreb_2020_Science,clone_fate_balanced_native,clone_fate_balanced,prioritize terminal-fate-diverse clones,True,processed/external_l5_clone_stratified/Weinreb_2020_Science/clone_fate_balanced_native/native_input.h5ad,configs/clone_stratified_native_Weinreb_2020_Science_clone_fate_balanced_native.yaml,1500,3,181,3881,0.04663746457098686,6.0,2.0,12
Weinreb_2020_Science,max_feasible_native,clone_time_balanced,largest attempted clone-time-balanced native run,True,processed/external_l5_clone_stratified/Weinreb_2020_Science/max_feasible_native/native_input.h5ad,configs/clone_stratified_native_Weinreb_2020_Science_max_feasible_native.yaml,1950,3,337,3881,0.08683329038907497,5.0,3.0,11
