dataset,valid,pre_comm,event_comm,post_comm,communication_activation_effect,sender_neighbor_activity_effect,communication_relaxation_effect,receiver_priming_effect,pre_lineage_comm_divergence,event_lineage_comm_divergence,post_lineage_comm_divergence,post_event_comm_divergence_effect,communication_window_score,niche_priming_then_divergence,module,matched_ligand_genes,matched_receptor_genes,pre_time,event_time,post_time,module_activation,module_receiver_priming,module_post_divergence,module_activation_pass,module_receiver_priming_pass,module_pass
internal_native,True,0.13881449720989314,0.17644185269892335,0.17349843106064036,0.037627355489030206,,-0.0029434216382829836,0.09084880981188753,0.015330278727098636,0.023847052567086625,0.023022593500549828,-0.0008244590665367965,0.037215125955761805,False,ecm_adhesion_guidance,54,23,17.0,18.0,19.0,0.037627355489030206,0.09084880981188753,-0.0008244590665367965,True,True,False
internal_native,True,0.1312287309456803,0.14459355114833278,0.1175690471731474,0.013364820202652478,,-0.027024503975185382,0.009580492067684354,0.009889875786845703,0.011617828188041175,0.009258712425942282,-0.002359115762098893,0.012185262321603031,False,morphogen_patterning,13,5,17.0,18.0,19.0,0.013364820202652478,0.009580492067684354,-0.002359115762098893,True,True,False
internal_native,False,,,,,,,,,,,,,,notch_delta,0,0,,,,,,,,,
internal_native,True,0.05465448359766856,0.03862568621366974,0.03300163239331332,-0.016028797383998816,,-0.005624053820356419,-0.030468004377220304,0.0005917708644753897,0.000325124797023162,0.00036389882126769754,3.877402424453557e-05,-0.01600941037187655,False,chemokine_growth_factor,19,25,17.0,18.0,19.0,-0.016028797383998816,-0.030468004377220304,3.877402424453557e-05,False,False,False
E1_MouseGastrulationData,True,0.20679603224283968,0.20229573329068767,0.25179296096192033,-0.00450029895215201,,0.04949722767123266,-0.07471785177135765,0.017479562561708843,0.007831649746520166,0.010181481808532315,0.0023498320620121485,-0.0033253829211459356,False,ecm_adhesion_guidance,4,3,7.0,7.25,7.5,-0.00450029895215201,-0.07471785177135765,0.0023498320620121485,False,False,False
E1_MouseGastrulationData,True,0.14523863787746777,0.16270924214831567,0.18369523128725684,0.0174706042708479,,0.020985989138941175,-0.04806868049294494,0.005865824146772752,0.004844281086343109,0.008662220975373629,0.0038179398890305204,0.01937957421536316,True,morphogen_patterning,5,4,7.0,7.25,7.5,0.0174706042708479,-0.04806868049294494,0.0038179398890305204,True,False,True
E1_MouseGastrulationData,False,,,,,,,,,,,,,,notch_delta,2,0,,,,,,,,,
E1_MouseGastrulationData,True,0.2095148512749205,0.17617042911026146,0.26923918810270137,-0.03334442216465905,,0.09306875899243991,-0.05574183200645594,0.0033455195200220935,0.0039442023177916575,0.004673919272750184,0.0007297169549585264,-0.03297956368717979,False,chemokine_growth_factor,4,3,7.0,7.25,7.5,-0.03334442216465905,-0.05574183200645594,0.0007297169549585264,False,False,False
E3_MouseGastrulationData_full,True,0.1283486178273514,0.10921798553691603,0.1398978837379494,-0.01913063229043538,,0.030679898201033368,-0.06052847304485687,0.003924244871425684,0.0034322855286826894,0.008000971864941897,0.004568686336259207,-0.016846289122305777,False,ecm_adhesion_guidance,123,82,7.75,8.0,8.25,-0.01913063229043538,-0.06052847304485687,0.004568686336259207,False,False,False
E3_MouseGastrulationData_full,True,0.1339907157831686,0.10759512631343617,0.11618225998181943,-0.02639558946973243,,0.008587133668383262,-0.04229089157587035,0.0037336393811321818,0.0030366058437733922,0.004401351264353476,0.0013647454205800839,-0.025713216759442388,False,morphogen_patterning,79,45,7.75,8.0,8.25,-0.02639558946973243,-0.04229089157587035,0.0013647454205800839,False,False,False
E3_MouseGastrulationData_full,True,0.08188679245283018,0.06531455399061033,0.06843857072931962,-0.01657223846221985,,0.0031240167387092954,-0.01818363008238108,0.003991469545970864,0.003222566924461688,0.0028538475895719217,-0.0003687193348897661,-0.01675659812966473,False,notch_delta,6,4,7.75,8.0,8.25,-0.01657223846221985,-0.01818363008238108,-0.0003687193348897661,False,False,False
E3_MouseGastrulationData_full,True,0.16025305830662587,0.12287566180394417,0.12131941045303747,-0.037377396502681695,,-0.001556251350906701,-0.031632808732197426,0.006334946862059439,0.003492572217625608,0.003287324038058891,-0.00020524817956671685,-0.03748002059246505,False,chemokine_growth_factor,155,129,7.75,8.0,8.25,-0.037377396502681695,-0.031632808732197426,-0.00020524817956671685,False,False,False
