dataset,ligand,receptor,mean_pair_score
internal_native,NTN1,DCC,1.5070115643567128
internal_native,SEMA3A,NRP2,1.0275432233849835
internal_native,NRG1,ERBB4,1.0231457133660637
internal_native,ERBB4,DLK1,0.8513840050005711
internal_native,IGFBPL1,DCC,0.7927307379935739
internal_native,SEMA3A,PLXNA4,0.7618796754648227
internal_native,STOM,SLC2A1,0.7484542113005249
internal_native,UNC5D,DCC,0.7308545878481456
internal_native,EGFR,EPB41,0.7108275660311716
internal_native,COL4A1,CD47,0.6629811928135085
internal_native,DSCAM,DCC,0.6601067609220009
internal_native,DCC,DSCAM,0.6601067609220009
internal_native,SEMA3C,NRP2,0.6390157122179079
internal_native,LYN,SLC4A1,0.6227136492482537
internal_native,COL4A6,CD47,0.6163052842467087
internal_native,NRXN3,CLSTN2,0.5667271416652817
internal_native,EPB41,GRIA1,0.546575946572371
internal_native,RHAG,ICAM4,0.5021297641429339
internal_native,ICAM4,RHAG,0.5021297641429339
internal_native,COL2A1,ITGA2B,0.49037908353130033
E1_MouseGastrulationData,MDK,NCL,2.6248672598156766
E1_MouseGastrulationData,ARPC2,ACTB,2.0051861791771954
E1_MouseGastrulationData,CALM2,VAPA,1.8359264826622859
E1_MouseGastrulationData,PDIA6,CALR,1.8124764241766018
E1_MouseGastrulationData,CALM1,VAPA,1.747121173577889
E1_MouseGastrulationData,CALR,PDIA3,1.5950260052135807
E1_MouseGastrulationData,TAGLN2,ACTB,1.3788951026623812
E1_MouseGastrulationData,CALM2,NRAS,1.2852595849403927
E1_MouseGastrulationData,CALM1,NRAS,1.223090497140753
E1_MouseGastrulationData,CALM3,VAPA,1.2114807236191203
E1_MouseGastrulationData,CALM2,ATP2B1,1.1744370818115042
E1_MouseGastrulationData,CALM1,ATP2B1,1.117628571756566
E1_MouseGastrulationData,IFITM1,CD81,1.0275597730719828
E1_MouseGastrulationData,APOE,LSR,0.9957759661266656
E1_MouseGastrulationData,PDIA4,PDIA3,0.9918785727998418
E1_MouseGastrulationData,MDK,ITGB1,0.9631927614969936
E1_MouseGastrulationData,CALM1,HMMR,0.9198837434045317
E1_MouseGastrulationData,CKB,ACTB,0.9176307223939314
E1_MouseGastrulationData,CCND1,HDAC2,0.86374415736694
E1_MouseGastrulationData,PTN,NCL,0.8557684478823606
E3_MouseGastrulationData_full,HSP90AA1,RAF1,8.807634600557884
E3_MouseGastrulationData_full,HSP90AA1,SMYD2,8.212774337968193
E3_MouseGastrulationData_full,RPL11,MDM2,7.459218115582446
E3_MouseGastrulationData_full,CCND1,CDK4,6.845222976950179
E3_MouseGastrulationData_full,HMGN2,PBRM1,5.844458513198635
E3_MouseGastrulationData_full,RPL11,TRRAP,5.054303859088806
E3_MouseGastrulationData_full,HSP90AA1,DAPK1,4.483661252722675
E3_MouseGastrulationData_full,HNRNPK,MDM2,4.3071842237707925
E3_MouseGastrulationData_full,RACK1,TRPM7,4.1299490723588566
E3_MouseGastrulationData_full,SRC,HSP90AA1,3.069604061963403
E3_MouseGastrulationData_full,HSP90AA1,SRC,3.069604061963403
E3_MouseGastrulationData_full,HSP90AA1,BCL2,2.957944487355667
E3_MouseGastrulationData_full,CALM1,DAPK1,2.51631675271616
E3_MouseGastrulationData_full,PCNA,DNMT1,1.9455249577199236
E3_MouseGastrulationData_full,NCOR1,HDAC3,1.9191285819060924
E3_MouseGastrulationData_full,SRC,HNRNPK,1.860916272968776
E3_MouseGastrulationData_full,HNRNPK,SRC,1.860916272968776
E3_MouseGastrulationData_full,CFL1,LIMK1,1.8479143648989798
E3_MouseGastrulationData_full,CTNNB1,CREBBP,1.6131332197689756
E3_MouseGastrulationData_full,CDH1,CTNNB1,1.3190142573570276
E5_zebrafish_Farrell,TP53,HSP90AB1,7.679698944091797
E5_zebrafish_Farrell,TP53,ODC1,2.8344614505767822
E5_zebrafish_Farrell,TP53,CSNK2B,2.6190109252929688
E5_zebrafish_Farrell,CDH1,CTNNB1,2.5437307357788086
E5_zebrafish_Farrell,TP53,CTSD,1.9911471605300903
E5_zebrafish_Farrell,CDH2,CTNNB1,1.563815951347351
E5_zebrafish_Farrell,PCNA,DNMT1,1.4455446004867554
E5_zebrafish_Farrell,TP53,LGALS3,1.3816001415252686
E5_zebrafish_Farrell,APC,CTNNB1,1.3720132112503052
E5_zebrafish_Farrell,CTNND1,CDH1,1.2732219696044922
E5_zebrafish_Farrell,TP53,DNMT1,1.246351718902588
E5_zebrafish_Farrell,RPL11,MDM2,1.2461527585983276
E5_zebrafish_Farrell,CDH1,CTNNA1,1.2354727983474731
E5_zebrafish_Farrell,TP53,APC,1.0880727767944336
E5_zebrafish_Farrell,TP53,PLK3,1.0195246934890747
E5_zebrafish_Farrell,PSEN1,CTNNB1,0.9151692390441895
E5_zebrafish_Farrell,RPL11,TRRAP,0.805946409702301
E5_zebrafish_Farrell,FER,CTNNB1,0.721394419670105
E5_zebrafish_Farrell,TP53,MDM2,0.6793695688247681
E5_zebrafish_Farrell,TP53,RRM2B,0.6475740075111389
GSE154572_EB_WT,PCNA,DNMT1,1.4208611249923706
GSE154572_EB_WT,CDH1,CTNNB1,1.3603311777114868
GSE154572_EB_WT,CDH1,CTNNA1,1.2759133577346802
GSE154572_EB_WT,RACK1,TRPM7,1.274289608001709
GSE154572_EB_WT,PCNA,EP300,1.2146538496017456
GSE154572_EB_WT,HSP90AA1,RAF1,1.1067475080490112
GSE154572_EB_WT,HNRNPK,MDM2,1.0524730682373047
GSE154572_EB_WT,CTNNB1,EP300,0.9827809929847717
GSE154572_EB_WT,HSP90AA1,DAPK1,0.9712082147598267
GSE154572_EB_WT,CCND1,CDK4,0.9609995484352112
GSE154572_EB_WT,APC,CTNNB1,0.9598768949508667
GSE154572_EB_WT,CTNND1,CDH1,0.9075421094894409
GSE154572_EB_WT,CTNNB1,CREBBP,0.8875360488891602
GSE154572_EB_WT,CTNND1,CSNK1E,0.8497804403305054
GSE154572_EB_WT,HMGN2,PBRM1,0.7531886100769043
GSE154572_EB_WT,TLN1,ITGB1,0.7164227366447449
GSE154572_EB_WT,HSP90AA1,SMYD2,0.6878068447113037
GSE154572_EB_WT,CALM1,DAPK1,0.6295771598815918
GSE154572_EB_WT,HSP90AA1,BCL2,0.6137587428092957
GSE154572_EB_WT,F2R,GNA13,0.5987324118614197
