valid,pre_comm,event_comm,post_comm,communication_activation_effect,sender_neighbor_activity_effect,communication_relaxation_effect,receiver_priming_effect,pre_lineage_comm_divergence,event_lineage_comm_divergence,post_lineage_comm_divergence,post_event_comm_divergence_effect,communication_window_score,niche_priming_then_divergence,dataset,role,independence_tier,expected_window_type,pre_time,event_time,post_time,window_source,time_shuffle_score,time_shuffle_pass
True,0.16493891629819116,0.23187731881933027,0.2360385808930461,0.06693840252113911,0.07608136555471351,0.004161262073715838,0.07086824854670304,0.006721193281304391,0.013777783877743909,0.011409355685704123,-0.0023684281920397857,0.06575418842511922,False,internal_native,internal_reference,internal,condensation_before_divergence,17.0,18.0,19.0,scan,0.0060055356794514875,True
True,0.14267820087576616,0.17761844420779524,0.16493891629819116,0.03494024333202908,0.04638720234553084,-0.012679527909604082,0.06451555400422371,0.0048914198560671305,0.009218947727377176,0.006721193281304391,-0.002497754446072785,0.03369136610899269,False,internal_native,internal_reference,internal,condensation_before_divergence,15.0,16.0,17.0,scan,-0.00256359505167025,True
True,0.14061140823126003,0.14267820087576616,0.17761844420779524,0.002066792644506127,0.010194880913579285,0.03494024333202908,-0.002267463995720642,0.002847866887507985,0.0048914198560671305,0.009218947727377176,0.004327527871310045,0.00423055658016115,True,internal_native,internal_reference,internal,condensation_before_divergence,14.0,15.0,16.0,scan,-0.004617744338831379,True
True,0.17761844420779524,0.16493891629819116,0.23187731881933027,-0.012679527909604082,-0.0079078752036294,0.06693840252113911,-0.01673850193782528,0.009218947727377176,0.006721193281304391,0.013777783877743909,0.007056590596439518,-0.009151232611384324,False,internal_native,internal_reference,internal,condensation_before_divergence,16.0,17.0,18.0,scan,0.006779888291620252,False
True,0.19468115495272048,0.14061140823126003,0.14267820087576616,-0.05406974672146045,-0.05955692099706206,0.002066792644506127,-0.0650622788450283,0.005349231237207613,0.002847866887507985,0.0048914198560671305,0.0020435529685591453,-0.05304797023718088,False,internal_native,internal_reference,internal,condensation_before_divergence,13.0,14.0,15.0,scan,0.003693149539024663,False
True,0.45259391279828115,0.19468115495272048,0.14061140823126003,-0.25791275784556067,-0.23081768545751125,-0.05406974672146045,-0.2693187875664373,0.044190474110622206,0.005349231237207613,0.002847866887507985,-0.002501364349699628,-0.2591634400204105,False,internal_native,internal_reference,internal,condensation_before_divergence,12.0,13.0,14.0,scan,0.0012173565508182905,False
True,0.1383596361651854,0.16758643926285854,0.2600018779415688,0.029226803097673143,0.07405118742693817,0.09241543867871027,-0.021058225005710085,0.011235125740864752,0.007718936112477749,0.02672984840231918,0.01901091228984143,0.03873225924259386,True,E1_MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.0,7.25,7.5,pre_registered,-0.006854152829524821,True
True,0.16758643926285854,0.2600018779415688,0.2668129182159315,0.09241543867871027,0.0745146027506095,0.00681104027436269,0.10388423181522105,0.007718936112477749,0.02672984840231918,0.03654126015654916,0.009811411754229983,0.09732114455582526,True,E1_MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.25,7.5,7.75,scan,0.008716679363886485,True
True,0.2668129182159315,0.33745809399006205,0.33204291519326096,0.07064517577413054,0.06195879255723108,-0.00541517879680109,0.0674919741445057,0.03654126015654916,0.05841920442953788,0.016362553361424368,-0.042056651068113515,0.049616850240073784,False,E1_MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.75,8.0,8.25,scan,0.01670053224700941,True
True,0.1383596361651854,0.16758643926285854,0.2600018779415688,0.029226803097673143,0.07405118742693817,0.09241543867871027,-0.021058225005710085,0.011235125740864752,0.007718936112477749,0.02672984840231918,0.01901091228984143,0.03873225924259386,True,E1_MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.0,7.25,7.5,scan,-0.006854152829524821,True
