dataset,time,control,mean_correlation,control_pass
internal,12.0,velocity_shuffle,0.257646811061918,True
internal,13.0,velocity_shuffle,0.007760761074737044,True
internal,14.0,velocity_shuffle,0.01524024827517998,False
internal,15.0,velocity_shuffle,0.14221498245783554,True
internal,16.0,velocity_shuffle,0.3636309517564324,True
internal,17.0,velocity_shuffle,0.37525751244482425,False
internal,18.0,velocity_shuffle,0.09184930956292979,False
internal,19.0,velocity_shuffle,0.06471040418530585,True
E1,7.0,velocity_shuffle,0.22692657630347354,True
E1,7.25,velocity_shuffle,0.18030625026807198,True
E1,7.5,velocity_shuffle,0.07055659912076473,True
E1,7.75,velocity_shuffle,0.060295509299477835,True
E1,8.0,velocity_shuffle,0.09822689522841042,True
E1,8.25,velocity_shuffle,0.9999999999999999,False
L2,6.0,velocity_shuffle,0.6479250926160653,True
L2,9.0,velocity_shuffle,0.45104792998905596,True
L2,12.0,velocity_shuffle,0.6143902247627474,True
L2,15.0,velocity_shuffle,0.7337593174672654,True
L2,21.0,velocity_shuffle,0.5535346969917417,True
L2,28.0,velocity_shuffle,0.9999999999999999,False
E2,3.0,velocity_shuffle,0.9999999999999999,False
E2,3.5,velocity_shuffle,1.0,False
E2,4.0,velocity_shuffle,1.0000000000000002,False
E2,4.5,velocity_shuffle,0.9999999999999999,False
E2,5.0,velocity_shuffle,1.0000000000000002,False
