source_lineage,target_lineage,mass,source_time,target_time
Allantois,Allantois,0.010305892676115036,8.0,8.25
Allantois,Blood progenitors 1,0.00020862312521785498,8.0,8.25
Allantois,Blood progenitors 2,8.967766916612163e-06,8.0,8.25
Allantois,Cardiomyocytes,0.0022000521421432495,8.0,8.25
Allantois,Caudal Mesoderm,0.0038239052519202232,8.0,8.25
Allantois,Caudal epiblast,8.467216684948653e-05,8.0,8.25
Allantois,Caudal neurectoderm,0.0001033515582093969,8.0,8.25
Allantois,Def. endoderm,0.00016876356676220894,8.0,8.25
Allantois,Endothelium,0.001277726492844522,8.0,8.25
Allantois,Erythroid1,0.00030051940120756626,8.0,8.25
Allantois,Erythroid2,0.0017789705889299512,8.0,8.25
Allantois,Erythroid3,0.001020845491439104,8.0,8.25
Allantois,ExE ectoderm,0.0001581906690262258,8.0,8.25
Allantois,ExE mesoderm,0.002095933072268963,8.0,8.25
Allantois,Forebrain/Midbrain/Hindbrain,0.002164233708754182,8.0,8.25
Allantois,Gut,0.00028367742197588086,8.0,8.25
Allantois,Haematoendothelial progenitors,0.003469665301963687,8.0,8.25
Allantois,Intermediate mesoderm,0.002862099790945649,8.0,8.25
Allantois,Mesenchyme,0.0017659723525866866,8.0,8.25
Allantois,NMP,0.0013881861232221127,8.0,8.25
Allantois,Neural crest,0.00407534372061491,8.0,8.25
Allantois,PGC,1.271018959414505e-06,8.0,8.25
Allantois,Paraxial mesoderm,0.001130137126892805,8.0,8.25
Allantois,Pharyngeal mesoderm,0.001952500082552433,8.0,8.25
Allantois,Rostral neurectoderm,0.0023576817475259304,8.0,8.25
Allantois,Somitic mesoderm,0.0008274181745946407,8.0,8.25
Allantois,Spinal cord,0.0011321243364363909,8.0,8.25
Allantois,Stripped,0.0018617972964420915,8.0,8.25
Allantois,Surface ectoderm,0.0011914678616449237,8.0,8.25
Blood progenitors 1,Allantois,0.001080212416127324,8.0,8.25
Blood progenitors 1,Blood progenitors 1,0.009676720947027206,8.0,8.25
Blood progenitors 1,Blood progenitors 2,0.006809776183217764,8.0,8.25
Blood progenitors 1,Cardiomyocytes,0.0006044803885743022,8.0,8.25
Blood progenitors 1,Caudal Mesoderm,0.001161655643954873,8.0,8.25
Blood progenitors 1,Caudal epiblast,2.095705713145435e-05,8.0,8.25
Blood progenitors 1,Caudal neurectoderm,5.8538891607895494e-05,8.0,8.25
Blood progenitors 1,Def. endoderm,0.0009607704123482108,8.0,8.25
Blood progenitors 1,Endothelium,0.0011298086028546095,8.0,8.25
Blood progenitors 1,Erythroid1,0.00039873464265838265,8.0,8.25
Blood progenitors 1,Erythroid2,0.00043308010208420455,8.0,8.25
Blood progenitors 1,Erythroid3,0.00031362148001790047,8.0,8.25
Blood progenitors 1,ExE ectoderm,0.0005265953950583935,8.0,8.25
Blood progenitors 1,ExE mesoderm,0.0004802596231456846,8.0,8.25
Blood progenitors 1,Forebrain/Midbrain/Hindbrain,0.001451697084121406,8.0,8.25
Blood progenitors 1,Gut,0.0005767965922132134,8.0,8.25
Blood progenitors 1,Haematoendothelial progenitors,0.0008493423229083419,8.0,8.25
Blood progenitors 1,Intermediate mesoderm,0.001145754475146532,8.0,8.25
Blood progenitors 1,Mesenchyme,0.00014553399523720145,8.0,8.25
Blood progenitors 1,NMP,0.0010626730509102345,8.0,8.25
Blood progenitors 1,Neural crest,6.306724390015006e-05,8.0,8.25
Blood progenitors 1,PGC,1.5610912669217214e-06,8.0,8.25
Blood progenitors 1,Paraxial mesoderm,0.0009366263402625918,8.0,8.25
Blood progenitors 1,Pharyngeal mesoderm,0.0005696035223081708,8.0,8.25
Blood progenitors 1,Rostral neurectoderm,0.0005610816297121346,8.0,8.25
Blood progenitors 1,Somitic mesoderm,0.0005179861327633262,8.0,8.25
Blood progenitors 1,Spinal cord,0.00060121132992208,8.0,8.25
