source_lineage,target_lineage,mass,source_time,target_time
cluster_res3_0,cluster_res3_0,0.03255569562315941,7.0,10.0
cluster_res3_0,cluster_res3_1,0.0011496224906295538,7.0,10.0
cluster_res3_0,cluster_res3_11,0.004111458547413349,7.0,10.0
cluster_res3_0,cluster_res3_12,0.0022778052370995283,7.0,10.0
cluster_res3_0,cluster_res3_14,0.00021011468197684735,7.0,10.0
cluster_res3_0,cluster_res3_15,0.005373258143663406,7.0,10.0
cluster_res3_0,cluster_res3_16,0.0016799605218693614,7.0,10.0
cluster_res3_0,cluster_res3_18,0.00013123017561156303,7.0,10.0
cluster_res3_0,cluster_res3_19,0.002289018826559186,7.0,10.0
cluster_res3_0,cluster_res3_20,0.009531368501484394,7.0,10.0
cluster_res3_0,cluster_res3_21,0.0021489860955625772,7.0,10.0
cluster_res3_0,cluster_res3_23,0.0002633608237374574,7.0,10.0
cluster_res3_0,cluster_res3_3,0.0007579799275845289,7.0,10.0
cluster_res3_0,cluster_res3_4,9.13231706363149e-05,7.0,10.0
cluster_res3_0,cluster_res3_7,0.005355849862098694,7.0,10.0
cluster_res3_0,cluster_res3_8,0.007072967942804098,7.0,10.0
cluster_res3_1,cluster_res3_0,0.005664103664457798,7.0,10.0
cluster_res3_1,cluster_res3_1,0.006725424900650978,7.0,10.0
cluster_res3_1,cluster_res3_11,0.005805042572319508,7.0,10.0
cluster_res3_1,cluster_res3_12,0.002319806255400181,7.0,10.0
cluster_res3_1,cluster_res3_14,0.00161008071154356,7.0,10.0
cluster_res3_1,cluster_res3_15,0.007920462638139725,7.0,10.0
cluster_res3_1,cluster_res3_16,0.005868198815733194,7.0,10.0
cluster_res3_1,cluster_res3_18,4.5341968757384166e-07,7.0,10.0
cluster_res3_1,cluster_res3_19,0.008248822763562202,7.0,10.0
cluster_res3_1,cluster_res3_20,0.011179311200976372,7.0,10.0
cluster_res3_1,cluster_res3_21,0.003039766103029251,7.0,10.0
cluster_res3_1,cluster_res3_23,0.00048711770796217024,7.0,10.0
cluster_res3_1,cluster_res3_3,0.0020055407658219337,7.0,10.0
cluster_res3_1,cluster_res3_4,0.003400694578886032,7.0,10.0
cluster_res3_1,cluster_res3_7,0.00408921018242836,7.0,10.0
cluster_res3_1,cluster_res3_8,0.01496930792927742,7.0,10.0
cluster_res3_11,cluster_res3_0,0.013502986170351505,7.0,10.0
cluster_res3_11,cluster_res3_1,0.0013909913832321763,7.0,10.0
cluster_res3_11,cluster_res3_11,0.005233708769083023,7.0,10.0
cluster_res3_11,cluster_res3_12,0.0009624488884583116,7.0,10.0
cluster_res3_11,cluster_res3_14,0.0002959530975203961,7.0,10.0
cluster_res3_11,cluster_res3_15,0.009945634752511978,7.0,10.0
cluster_res3_11,cluster_res3_16,0.0004026039387099445,7.0,10.0
cluster_res3_11,cluster_res3_18,0.0003036253328900784,7.0,10.0
cluster_res3_11,cluster_res3_19,0.002919740043580532,7.0,10.0
cluster_res3_11,cluster_res3_20,0.006133682560175657,7.0,10.0
