dataset_id,baseline,detected_time_numeric,matches_branch_window,available,reason
E5_CellRank_Farrell_zebrafish_axial_mesoderm,fate_entropy_alone,3.3,False,,
E5_CellRank_Farrell_zebrafish_axial_mesoderm,OT_transition_entropy,3.3,False,,
E5_CellRank_Farrell_zebrafish_axial_mesoderm,celltype_composition_change,4.3,False,,
E5_CellRank_Farrell_zebrafish_axial_mesoderm,lineage_separation_only,4.3,False,,
E5_CellRank_Farrell_zebrafish_axial_mesoderm,alignment_alone,3.8,False,,
E5_CellRank_Farrell_zebrafish_axial_mesoderm,simple_time_midpoint_detector,7.0,False,,
E5_CellRank_Farrell_zebrafish_axial_mesoderm,pseudotime_change,,False,False,no_dataset_native_pseudotime_column
E5_CellRank_Farrell_zebrafish_axial_mesoderm,CellRank_like_fate_probability,,False,False,not_run_to_avoid_mixing_external_CellRank_estimator_with_OT_teacher_audit
E2_GSE212050_gastruloid_native_atlas,fate_entropy_alone,4.5,False,,
E2_GSE212050_gastruloid_native_atlas,OT_transition_entropy,4.5,False,,
E2_GSE212050_gastruloid_native_atlas,celltype_composition_change,3.5,False,,
E2_GSE212050_gastruloid_native_atlas,lineage_separation_only,5.0,False,,
E2_GSE212050_gastruloid_native_atlas,alignment_alone,3.0,False,,
E2_GSE212050_gastruloid_native_atlas,simple_time_midpoint_detector,4.0,True,,
E2_GSE212050_gastruloid_native_atlas,pseudotime_change,,False,False,no_dataset_native_pseudotime_column
E2_GSE212050_gastruloid_native_atlas,CellRank_like_fate_probability,,False,False,not_run_to_avoid_mixing_external_CellRank_estimator_with_OT_teacher_audit
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,fate_entropy_alone,6.5,False,,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,OT_transition_entropy,6.5,False,,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,celltype_composition_change,6.5,False,,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,lineage_separation_only,6.5,False,,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,alignment_alone,6.5,False,,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,simple_time_midpoint_detector,7.75,False,,
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,pseudotime_change,,False,False,no_dataset_native_pseudotime_column
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,CellRank_like_fate_probability,,False,False,not_run_to_avoid_mixing_external_CellRank_estimator_with_OT_teacher_audit
