dataset_id,dataset_name,source_type,accession,url,system,source_path,file_exists,matrix_loaded,shape,time_or_stage_available,cell_type_available,usable_for_branch_window_atlas,reason_if_not_usable,selected_for_analysis,independence_tier,download_attempted,download_success,processed_h5ad_available,metadata_available,notes
E5_CellRank_Farrell_zebrafish_axial_mesoderm,CellRank/Farrell zebrafish axial mesoderm embryogenesis subset,downloaded_public_figshare_cellrank,Farrell_2018_Science; GSE106587; CellRank figshare file 27265280,https://ndownloader.figshare.com/files/27265280,zebrafish embryogenesis axial mesoderm time-series,data/external_developmental/E5_CellRank_Farrell_zebrafish/zebrafish_cellrank.h5ad,True,True,2434x23974,True,True,True,,True,independent_non_e1_system,True,True,True,True,"Public CellRank AnnData subset of Farrell et al. zebrafish embryogenesis restricted to axial mesoderm, with 12 ordered stages and lineage labels. Downloaded locally from Figshare for this atlas validation."
E2_GSE212050_gastruloid_native_atlas,GSE212050 gastruloid/organoid developmental time-series,local_processed_public_geo,GSE212050,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212050,gastruloid / embryoid-body-like differentiation time-series,data/processed/devguard/GSE212050_strict_sample_13285.h5ad,True,True,13285x30406,True,True,True,,True,independent_non_e1_system,False,False,True,True,Local processed public GEO data with ordered day/timepoint metadata and mapped cell-type annotations. Fine cell_type labels are used for branch-window analysis because the coarse lineage field collapses intermediate time points.
E3_MouseGastrulationData_wt_chimera_full_stage_mapped,MouseGastrulationData WT chimera full stage-mapped sample set,local_processed_public_bioconductor,MouseGastrulationData; E-MTAB-7324/E-MTAB-8812,https://bioconductor.org/packages/MouseGastrulationData/,"mouse gastrulation / early organogenesis, related atlas different subset",data/processed/devguard/MouseGastrulationData_wt_chimera_full.h5ad,True,True,30703x29453,True,True,True,,True,related_atlas_independent_sample_set,False,False,True,True,Same atlas family as E1 but analyzed as a full stage-mapped set rather than WT chimera sample 1 only.
E4_GSE123187_tomo_local_blocker,GSE123187 tomographic local preview,local_processed_public_geo_preview,GSE123187,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123187,spatial/tomographic developmental preview,data/processed/devguard/GSE123187_tomo_3files.h5ad,True,True,1146x37581,False,False,False,fewer_than_four_ordered_time_or_stage_points,False,independent_candidate_unusable_metadata,False,False,True,True,Local preview lacks usable ordered time/stage and cell-type metadata; retained as a blocker audit row.
C1_Farrell_2018_zebrafish_full_SCP162_GSE106587,Farrell 2018 zebrafish embryogenesis full atlas,public_single_cell_portal_geo,SCP162; GSE106587,https://singlecell.broadinstitute.org/single_cell/study/SCP162/single-cell-reconstruction-of-developmental-trajectories-during-zebrafish-embryogenesis,zebrafish embryogenesis full 12-stage atlas,,False,False,38731x17239 reported,True,True,False,full portal/GEO matrix verified but not downloaded because CellRank/Figshare subset was the feasible analyzable independent zebrafish representation,False,independent_non_e1_system,False,False,False,True,Primary full Farrell atlas remains a verified source; the downloaded CellRank subset is analyzed as E5.
C2_ZMAP_zebrafish_meta_atlas,ZMAP zebrafish meta-atlas,public_h5ad_portal,ZMAP,https://wagnerlabucsf.github.io/zmap/,zebrafish embryogenesis integrated multi-study atlas,,False,False,798790 cells across 15 time windows reported,True,True,False,processed h5ad verified but recommended file is 3.5GB and full file is about 25GB; not downloaded in this pass,False,independent_non_e1_system,False,False,True,True,High-value future source for zebrafish cross-study validation when large download and storage are approved.
C3_ZESTA_zebrafish_spatiotemporal_STDS0000057,ZESTA zebrafish embryogenesis spatiotemporal transcriptomic atlas,public_stomics_h5ad,STDS0000057,https://db.cngb.org/stomics/datasets/STDS0000057/data,zebrafish embryogenesis scRNA/spatiotemporal stages,,False,False,stage h5ad files 471-708MB each reported,True,True,False,multiple large per-stage h5ad files verified; not downloaded because total multi-stage download exceeds current quick validation scope,False,independent_non_e1_system,False,False,True,True,Best spatial-linked zebrafish candidate for a later resource-approved run.
C4_Daniocell_zebrafish_62_stage_atlas,Daniocell zebrafish development atlas,public_web_atlas,Daniocell; Sur_2023_Developmental_Cell,https://daniocell.nichd.nih.gov/,whole-animal zebrafish development 62 stages,,False,False,489686 cells across 62 stages reported,True,True,False,atlas and stage/cell-type metadata verified; direct small h5ad subset was not identified during this pass,False,independent_non_e1_system,False,False,unclear_direct_subset,True,Good candidate if a stable downloadable object or selected-stage subset is obtained.
C5_Packer_2019_Celegans_embryogenesis_h5ad,Packer 2019 C. elegans embryogenesis h5ad,public_caltechdata_h5ad,GSE126954; CaltechDATA 10.22002/D1.1945,https://data.caltech.edu/records/b1kj4-nh475,C. elegans embryogenesis lineage-resolved developmental time-series,,False,False,"89701 cells, 20222 genes reported in transposed h5ad",True,True,False,processed h5ad verified but 682MB and transposed; not downloaded because zebrafish E5 was the prioritized independent dataset for this pass,False,independent_non_e1_system_nonvertebrate,False,False,True,True,Strong future adjudication dataset for branch-window detector outside vertebrate gastrulation.
C6_Gastruloid_multimodal_GSE229386_Zenodo7858557,Multimodal murine gastruloid development,public_geo_zenodo_methods,GSE229386; Zenodo 10.5281/zenodo.7858557,https://www.sciencedirect.com/science/article/pii/S1934590923001704,murine gastruloid scRNA-seq time course 0-120h,,False,False,time-course scRNA-seq reported,True,True,False,processed annotated matrix location not resolved to a small direct h5ad during this pass,False,independent_gastruloid_candidate,False,False,unresolved,True,Potentially important gastruloid validation; requires resolving author pipeline or processed object.
