source_lineage,target_lineage,mass,source_time,target_time
Allantois,Allantois,0.007821370847523212,8.0,8.25
Allantois,Cardiomyocytes,5.075296212453395e-05,8.0,8.25
Allantois,Def. endoderm,1.4171054331076419e-14,8.0,8.25
Allantois,ExE mesoderm,0.0065664504654705524,8.0,8.25
Allantois,Gut,2.0082362439666213e-09,8.0,8.25
Allantois,Intermediate mesoderm,3.2036241464084014e-06,8.0,8.25
Allantois,Mesenchyme,0.025089088827371597,8.0,8.25
Allantois,Paraxial mesoderm,0.00016333973326254636,8.0,8.25
Allantois,Pharyngeal mesoderm,0.0018632462015375495,8.0,8.25
Allantois,Rostral neurectoderm,4.424504709277244e-07,8.0,8.25
Allantois,Surface ectoderm,0.0001087780183297582,8.0,8.25
Blood progenitors 2,Allantois,0.01615186408162117,8.0,8.25
Blood progenitors 2,Cardiomyocytes,0.0001267765910597518,8.0,8.25
Blood progenitors 2,Def. endoderm,1.096945884820899e-13,8.0,8.25
Blood progenitors 2,ExE mesoderm,0.002745377365499735,8.0,8.25
Blood progenitors 2,Gut,3.8557956827389717e-08,8.0,8.25
Blood progenitors 2,Intermediate mesoderm,8.992844414024148e-06,8.0,8.25
Blood progenitors 2,Mesenchyme,0.011440853588283062,8.0,8.25
Blood progenitors 2,Paraxial mesoderm,0.011154843494296074,8.0,8.25
Blood progenitors 2,Pharyngeal mesoderm,0.019281581044197083,8.0,8.25
Blood progenitors 2,Rostral neurectoderm,0.0006075316341593862,8.0,8.25
Blood progenitors 2,Surface ectoderm,0.00514878099784255,8.0,8.25
Caudal Mesoderm,Allantois,0.0001718014245852828,8.0,8.25
Caudal Mesoderm,Cardiomyocytes,0.0007781695458106697,8.0,8.25
Caudal Mesoderm,Def. endoderm,2.181010094748359e-10,8.0,8.25
Caudal Mesoderm,ExE mesoderm,0.005096930079162121,8.0,8.25
Caudal Mesoderm,Gut,2.0060139149791212e-07,8.0,8.25
Caudal Mesoderm,Intermediate mesoderm,0.008317636325955391,8.0,8.25
