source_lineage,target_lineage,mass,source_time,target_time
Others,Others,0.888054370880127,6.0,9.0
Others,Reprogrammed,0.054474376142024994,6.0,9.0
Reprogrammed,Others,0.04527897387742996,6.0,9.0
Reprogrammed,Reprogrammed,0.012192288413643837,6.0,9.0
Others,Others,0.8471046090126038,9.0,12.0
Others,Reprogrammed,0.08622875064611435,9.0,12.0
Reprogrammed,Others,0.05289541557431221,9.0,12.0
Reprogrammed,Reprogrammed,0.01377125084400177,9.0,12.0
Others,Others,0.8318458795547485,12.0,15.0
Others,Reprogrammed,0.06815415620803833,12.0,15.0
Reprogrammed,Others,0.0764874815940857,12.0,15.0
Reprogrammed,Reprogrammed,0.023512516170740128,12.0,15.0
Others,Failed,0.016442328691482544,15.0,21.0
Others,Others,0.5902312994003296,15.0,21.0
Others,Reprogrammed,0.3016596734523773,15.0,21.0
Reprogrammed,Failed,0.0002243380295112729,15.0,21.0
Reprogrammed,Others,0.03476867452263832,15.0,21.0
Reprogrammed,Reprogrammed,0.05667365342378616,15.0,21.0
Failed,Failed,0.013479998335242271,21.0,28.0
Failed,Others,0.003158150240778923,21.0,28.0
Failed,Reprogrammed,2.8518395993160084e-05,21.0,28.0
Others,Failed,0.3002360761165619,21.0,28.0
Others,Others,0.22650550305843353,21.0,28.0
Others,Reprogrammed,0.09825840592384338,21.0,28.0
Reprogrammed,Failed,0.019617246463894844,21.0,28.0
Reprogrammed,Others,0.1036696806550026,21.0,28.0
Reprogrammed,Reprogrammed,0.2350464165210724,21.0,28.0
