time_point,time_numeric,lineage,n
E7.0,7.0,Allantois,0
E7.0,7.0,Anterior Primitive Streak,14
E7.0,7.0,Blood progenitors 1,0
E7.0,7.0,Blood progenitors 2,0
E7.0,7.0,Cardiomyocytes,0
E7.0,7.0,Caudal Mesoderm,0
E7.0,7.0,Caudal epiblast,0
E7.0,7.0,Caudal neurectoderm,0
E7.0,7.0,Def. endoderm,0
E7.0,7.0,Endothelium,0
E7.0,7.0,Epiblast,45
E7.0,7.0,Erythroid1,0
E7.0,7.0,ExE ectoderm,1
E7.0,7.0,ExE mesoderm,0
E7.0,7.0,Gut,0
E7.0,7.0,Haematoendothelial progenitors,7
E7.0,7.0,Intermediate mesoderm,0
E7.0,7.0,Mesenchyme,1
E7.0,7.0,Mixed mesoderm,6
E7.0,7.0,Nascent mesoderm,46
E7.0,7.0,Notochord,0
E7.0,7.0,PGC,1
E7.0,7.0,Paraxial mesoderm,0
E7.0,7.0,Pharyngeal mesoderm,0
E7.0,7.0,Primitive Streak,30
E7.0,7.0,Rostral neurectoderm,3
E7.0,7.0,Somitic mesoderm,0
E7.0,7.0,Spinal cord,0
E7.0,7.0,Stripped,5
E7.0,7.0,Surface ectoderm,2
E7.0,7.0,Visceral endoderm,0
E7.0,7.25,Allantois,0
E7.0,7.25,Anterior Primitive Streak,0
E7.0,7.25,Blood progenitors 1,0
E7.0,7.25,Blood progenitors 2,0
E7.0,7.25,Cardiomyocytes,0
E7.0,7.25,Caudal Mesoderm,0
E7.0,7.25,Caudal epiblast,0
E7.0,7.25,Caudal neurectoderm,0
E7.0,7.25,Def. endoderm,0
E7.0,7.25,Endothelium,0
E7.0,7.25,Epiblast,0
E7.0,7.25,Erythroid1,0
E7.0,7.25,ExE ectoderm,0
E7.0,7.25,ExE mesoderm,0
E7.0,7.25,Gut,0
E7.0,7.25,Haematoendothelial progenitors,0
E7.0,7.25,Intermediate mesoderm,0
E7.0,7.25,Mesenchyme,0
E7.0,7.25,Mixed mesoderm,0
E7.0,7.25,Nascent mesoderm,0
E7.0,7.25,Notochord,0
E7.0,7.25,PGC,0
E7.0,7.25,Paraxial mesoderm,0
E7.0,7.25,Pharyngeal mesoderm,0
E7.0,7.25,Primitive Streak,0
E7.0,7.25,Rostral neurectoderm,0
E7.0,7.25,Somitic mesoderm,0
E7.0,7.25,Spinal cord,0
E7.0,7.25,Stripped,0
E7.0,7.25,Surface ectoderm,0
E7.0,7.25,Visceral endoderm,0
E7.0,7.5,Allantois,0
E7.0,7.5,Anterior Primitive Streak,0
E7.0,7.5,Blood progenitors 1,0
E7.0,7.5,Blood progenitors 2,0
E7.0,7.5,Cardiomyocytes,0
E7.0,7.5,Caudal Mesoderm,0
E7.0,7.5,Caudal epiblast,0
E7.0,7.5,Caudal neurectoderm,0
E7.0,7.5,Def. endoderm,0
E7.0,7.5,Endothelium,0
E7.0,7.5,Epiblast,0
E7.0,7.5,Erythroid1,0
E7.0,7.5,ExE ectoderm,0
E7.0,7.5,ExE mesoderm,0
E7.0,7.5,Gut,0
E7.0,7.5,Haematoendothelial progenitors,0
E7.0,7.5,Intermediate mesoderm,0
E7.0,7.5,Mesenchyme,0
E7.0,7.5,Mixed mesoderm,0
E7.0,7.5,Nascent mesoderm,0
E7.0,7.5,Notochord,0
E7.0,7.5,PGC,0
E7.0,7.5,Paraxial mesoderm,0
E7.0,7.5,Pharyngeal mesoderm,0
E7.0,7.5,Primitive Streak,0
E7.0,7.5,Rostral neurectoderm,0
E7.0,7.5,Somitic mesoderm,0
E7.0,7.5,Spinal cord,0
E7.0,7.5,Stripped,0
E7.0,7.5,Surface ectoderm,0
E7.0,7.5,Visceral endoderm,0
E7.0,7.75,Allantois,0
E7.0,7.75,Anterior Primitive Streak,0
E7.0,7.75,Blood progenitors 1,0
E7.0,7.75,Blood progenitors 2,0
E7.0,7.75,Cardiomyocytes,0
E7.0,7.75,Caudal Mesoderm,0
E7.0,7.75,Caudal epiblast,0
E7.0,7.75,Caudal neurectoderm,0
E7.0,7.75,Def. endoderm,0
E7.0,7.75,Endothelium,0
E7.0,7.75,Epiblast,0
E7.0,7.75,Erythroid1,0
E7.0,7.75,ExE ectoderm,0
E7.0,7.75,ExE mesoderm,0
E7.0,7.75,Gut,0
E7.0,7.75,Haematoendothelial progenitors,0
E7.0,7.75,Intermediate mesoderm,0
E7.0,7.75,Mesenchyme,0
E7.0,7.75,Mixed mesoderm,0
E7.0,7.75,Nascent mesoderm,0
E7.0,7.75,Notochord,0
E7.0,7.75,PGC,0
E7.0,7.75,Paraxial mesoderm,0
E7.0,7.75,Pharyngeal mesoderm,0
E7.0,7.75,Primitive Streak,0
E7.0,7.75,Rostral neurectoderm,0
E7.0,7.75,Somitic mesoderm,0
E7.0,7.75,Spinal cord,0
E7.0,7.75,Stripped,0
E7.0,7.75,Surface ectoderm,0
E7.0,7.75,Visceral endoderm,0
E7.0,8.0,Allantois,0
E7.0,8.0,Anterior Primitive Streak,0
E7.0,8.0,Blood progenitors 1,0
E7.0,8.0,Blood progenitors 2,0
E7.0,8.0,Cardiomyocytes,0
E7.0,8.0,Caudal Mesoderm,0
E7.0,8.0,Caudal epiblast,0
E7.0,8.0,Caudal neurectoderm,0
E7.0,8.0,Def. endoderm,0
E7.0,8.0,Endothelium,0
E7.0,8.0,Epiblast,0
E7.0,8.0,Erythroid1,0
E7.0,8.0,ExE ectoderm,0
E7.0,8.0,ExE mesoderm,0
E7.0,8.0,Gut,0
E7.0,8.0,Haematoendothelial progenitors,0
E7.0,8.0,Intermediate mesoderm,0
E7.0,8.0,Mesenchyme,0
E7.0,8.0,Mixed mesoderm,0
E7.0,8.0,Nascent mesoderm,0
E7.0,8.0,Notochord,0
E7.0,8.0,PGC,0
E7.0,8.0,Paraxial mesoderm,0
E7.0,8.0,Pharyngeal mesoderm,0
E7.0,8.0,Primitive Streak,0
E7.0,8.0,Rostral neurectoderm,0
E7.0,8.0,Somitic mesoderm,0
E7.0,8.0,Spinal cord,0
E7.0,8.0,Stripped,0
E7.0,8.0,Surface ectoderm,0
E7.0,8.0,Visceral endoderm,0
E7.0,8.25,Allantois,0
E7.0,8.25,Anterior Primitive Streak,0
E7.0,8.25,Blood progenitors 1,0
E7.0,8.25,Blood progenitors 2,0
E7.0,8.25,Cardiomyocytes,0
E7.0,8.25,Caudal Mesoderm,0
E7.0,8.25,Caudal epiblast,0
E7.0,8.25,Caudal neurectoderm,0
E7.0,8.25,Def. endoderm,0
E7.0,8.25,Endothelium,0
E7.0,8.25,Epiblast,0
E7.0,8.25,Erythroid1,0
E7.0,8.25,ExE ectoderm,0
E7.0,8.25,ExE mesoderm,0
E7.0,8.25,Gut,0
E7.0,8.25,Haematoendothelial progenitors,0
E7.0,8.25,Intermediate mesoderm,0
E7.0,8.25,Mesenchyme,0
E7.0,8.25,Mixed mesoderm,0
E7.0,8.25,Nascent mesoderm,0
E7.0,8.25,Notochord,0
E7.0,8.25,PGC,0
E7.0,8.25,Paraxial mesoderm,0
E7.0,8.25,Pharyngeal mesoderm,0
E7.0,8.25,Primitive Streak,0
E7.0,8.25,Rostral neurectoderm,0
E7.0,8.25,Somitic mesoderm,0
E7.0,8.25,Spinal cord,0
E7.0,8.25,Stripped,0
E7.0,8.25,Surface ectoderm,0
E7.0,8.25,Visceral endoderm,0
E7.5,7.0,Allantois,0
E7.5,7.0,Anterior Primitive Streak,0
E7.5,7.0,Blood progenitors 1,0
E7.5,7.0,Blood progenitors 2,0
E7.5,7.0,Cardiomyocytes,0
E7.5,7.0,Caudal Mesoderm,0
E7.5,7.0,Caudal epiblast,0
E7.5,7.0,Caudal neurectoderm,0
E7.5,7.0,Def. endoderm,0
E7.5,7.0,Endothelium,0
E7.5,7.0,Epiblast,0
E7.5,7.0,Erythroid1,0
E7.5,7.0,ExE ectoderm,0
E7.5,7.0,ExE mesoderm,0
E7.5,7.0,Gut,0
E7.5,7.0,Haematoendothelial progenitors,0
E7.5,7.0,Intermediate mesoderm,0
E7.5,7.0,Mesenchyme,0
E7.5,7.0,Mixed mesoderm,0
E7.5,7.0,Nascent mesoderm,0
E7.5,7.0,Notochord,0
E7.5,7.0,PGC,0
E7.5,7.0,Paraxial mesoderm,0
E7.5,7.0,Pharyngeal mesoderm,0
E7.5,7.0,Primitive Streak,0
E7.5,7.0,Rostral neurectoderm,0
E7.5,7.0,Somitic mesoderm,0
E7.5,7.0,Spinal cord,0
E7.5,7.0,Stripped,0
E7.5,7.0,Surface ectoderm,0
E7.5,7.0,Visceral endoderm,0
E7.5,7.25,Allantois,0
E7.5,7.25,Anterior Primitive Streak,0
E7.5,7.25,Blood progenitors 1,0
E7.5,7.25,Blood progenitors 2,0
E7.5,7.25,Cardiomyocytes,0
E7.5,7.25,Caudal Mesoderm,0
E7.5,7.25,Caudal epiblast,0
E7.5,7.25,Caudal neurectoderm,0
E7.5,7.25,Def. endoderm,0
E7.5,7.25,Endothelium,0
E7.5,7.25,Epiblast,0
E7.5,7.25,Erythroid1,0
E7.5,7.25,ExE ectoderm,0
E7.5,7.25,ExE mesoderm,0
E7.5,7.25,Gut,0
E7.5,7.25,Haematoendothelial progenitors,0
E7.5,7.25,Intermediate mesoderm,0
E7.5,7.25,Mesenchyme,0
E7.5,7.25,Mixed mesoderm,0
E7.5,7.25,Nascent mesoderm,0
E7.5,7.25,Notochord,0
E7.5,7.25,PGC,0
E7.5,7.25,Paraxial mesoderm,0
E7.5,7.25,Pharyngeal mesoderm,0
E7.5,7.25,Primitive Streak,0
E7.5,7.25,Rostral neurectoderm,0
E7.5,7.25,Somitic mesoderm,0
E7.5,7.25,Spinal cord,0
E7.5,7.25,Stripped,0
E7.5,7.25,Surface ectoderm,0
E7.5,7.25,Visceral endoderm,0
E7.5,7.5,Allantois,0
E7.5,7.5,Anterior Primitive Streak,1
E7.5,7.5,Blood progenitors 1,24
