,sinkhorn,sinkhorn,mmd_rbf,mmd_rbf,energy,energy,knn_two_sample_accuracy,knn_two_sample_accuracy,celltype_composition_rmse,celltype_composition_rmse
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
M0_ot_interpolation,0.2889196369015298,0.0093621909338815,0.00973880418123904,0.0007521502629412061,0.34583125151107474,0.01159773514482153,0.5719714964370546,0.020460670277774783,0.00381493340645472,0.0026229506936462877
M10_shuffled_time_ot,0.31617575539506515,0.007470127044223797,0.005134588119359599,0.0009041519204323112,0.21875827346258134,0.03292544296766659,0.645605700712589,0.00941169252074057,0.01087428515514228,0.0022213321534746656
M11_random_lr_labels,0.30172326470831357,0.010415640498559009,0.027796626749222918,0.003781250786831324,0.9427803135557937,0.0765005578383801,0.559144893111639,0.018748301435316982,0.00983580918920504,0.005517189932305924
M1_intrinsic_neural,0.29825020021157356,0.008767279814784886,0.024301203656611682,0.0012835811949471888,0.8098754795694838,0.024633917211708732,0.5619952494061757,0.01440926450176067,0.0040854320123917005,0.0013343873170735359
M2_ot_teacher_force,0.29825020021157356,0.008767279814784886,0.024301203656611682,0.0012835811949471888,0.8098754795694838,0.024633917211708732,0.5619952494061757,0.01440926450176067,0.0040854320123917005,0.0013343873170735359
M3_ot_birth_death,0.2942634878937925,0.008674861549397523,0.025715710321142837,0.0030053879989357726,0.8490288240405051,0.061202906206376764,0.5577197149643706,0.01850598687010212,0.00905708904866462,0.004606144427677004
M4_ot_adaptive_diffusion,0.2983412803496101,0.008681337628104904,0.0242639654028699,0.0012768403840728432,0.8074878832371596,0.024858357618027637,0.5629453681710214,0.015485041342524104,0.0040854320123917005,0.0013343873170735359
M5_ot_swarm,0.30148941914902067,0.009048739168050985,0.02677531782842174,0.0014366616515611567,0.909165888953698,0.026961652152828187,0.5586698337292162,0.014487364068386608,0.0039098807127558,0.002107231295106004
M6_ot_swarm_birth_death,0.29704172980322924,0.008769575136156997,0.02832695923549262,0.0032147712506128733,0.9515952168960986,0.06378242315835271,0.5562945368171022,0.01640503244639622,0.0091550165634023,0.004960294108046995
M7_ot_swarm_birth_death_diffusion,0.2971185860386024,0.008827626287003416,0.028268542862384262,0.0032102724366753544,0.9485109351366546,0.064155877438941,0.5548693586698338,0.019046860044398532,0.00973160579488936,0.003884184471082026
M8_ot_swarm_birth_death_diffusion_cci,0.2972278305209176,0.008811108328108247,0.028334420452833638,0.0032255950221087588,0.9506637335460993,0.06458073649542544,0.5548693586698338,0.019046860044398532,0.00973160579488936,0.003884184471082026
M9_full_pheromone,0.3029768752207681,0.00901760453000123,0.030950087097013763,0.003442664442538352,1.054231611571518,0.06744997086236602,0.5596199524940617,0.016162494856250834,0.009635502454437641,0.00391602533853468
