dataset,event_time,pre_time,post_time,regulon_condensation_effect,normalized_regulon_condensation_effect,regulon_post_divergence_effect,regulon_alignment_effect,regulon_entropy_effect,regulon_susceptibility_effect,regulatory_branch_window_score,regulatory_alignment_before_divergence,dataset_label,role,independence_tier,matched_tf_count,grn_tier,interpretation
internal_native,13.0,12.0,14.0,0.6290914350872097,0.19410674507128878,-0.41836400317274647,0.04984980420029472,-0.0008344528689856467,0.018325033572291424,0.23544372079736414,False,Internal native moscot main,internal,internal_reference,14,fail,GRN branch-window structure was not detected beyond controls or expression baseline
internal_native,14.0,13.0,15.0,0.4486278068294247,0.17176533560569654,-0.22575450611263115,-0.094851638471109,-0.00014061917720686878,-0.0016310390055796972,0.17541232668693735,False,Internal native moscot main,internal,internal_reference,14,fail,GRN branch-window structure was not detected beyond controls or expression baseline
internal_native,15.0,14.0,16.0,0.18107598165266903,0.08370603656953357,0.21558873538955003,-0.20936242923834825,0.0009750720461925155,0.0050474355406376695,0.2917397344114968,False,Internal native moscot main,internal,internal_reference,14,fail,GRN branch-window structure was not detected beyond controls or expression baseline
internal_native,16.0,15.0,17.0,-0.10160034746395774,-0.051257367570250054,0.2613758294371715,0.06299941578503074,0.0002822489889050539,5.4086955013708804e-05,0.1912046276185029,True,Internal native moscot main,internal,internal_reference,14,fail,GRN branch-window structure was not detected beyond controls or expression baseline
internal_native,17.0,16.0,18.0,-0.23618392939819977,-0.11334500770085897,0.41485330854686264,-0.1414895322655865,-0.001207528532095381,0.0038863615809269156,0.10762273088284578,False,Internal native moscot main,internal,internal_reference,14,fail,GRN branch-window structure was not detected beyond controls or expression baseline
internal_native,18.0,17.0,19.0,-0.6873438294887753,-0.29627589912343877,0.48792625251349664,0.0050798146947381995,0.0012337040167172963,-0.014906768211259837,-0.19718609563208886,True,Internal native moscot main,internal,internal_reference,14,fail,GRN branch-window structure was not detected beyond controls or expression baseline
E1_MouseGastrulationData,7.25,7.0,7.5,0.0511998405275258,0.013104678033887863,-0.19737543111207412,0.0727890699136086,0.04949756356847801,-0.020082332390137198,-0.12215544651986351,False,E1 MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,13,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E1_MouseGastrulationData,7.5,7.25,7.75,0.2830744415532225,0.07341542477175468,-0.11639447807491177,-0.010274488042529,-0.08112448787371829,0.009791848321580383,0.14126159748861664,False,E1 MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,13,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E1_MouseGastrulationData,7.75,7.5,8.0,0.18300382271150495,0.05122261570033034,-0.08578912313362075,-0.04275808957831856,0.0646703137003164,0.005061407400849126,0.05966807636364582,False,E1 MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,13,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E1_MouseGastrulationData,8.0,7.75,8.25,0.499647844114234,0.14740128998296603,-2.016758198353535,0.10968041059408658,-0.06044650758679526,0.005996068082753294,-1.4773817758389567,False,E1 MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,13,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E3_MouseGastrulationData_full,7.0,6.5,7.25,-3.0218328669437664,-0.6295001955152189,-0.025189342726870123,0.10465983768872417,-0.015563867764554429,0.05055685851941834,-2.9985832577674127,False,E3 MouseGastrulationData full stage-mapped,related_atlas_stress,related_mouse_gastrulation_atlas,47,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E3_MouseGastrulationData_full,7.25,7.0,7.5,0.8534946351420531,0.10911182190855792,-1.9181032354235725,0.010812961593968481,0.0647868237930126,0.0013597961665456546,-1.0753988254327882,False,E3 MouseGastrulationData full stage-mapped,related_atlas_stress,related_mouse_gastrulation_atlas,47,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E3_MouseGastrulationData_full,7.5,7.25,7.75,1.0747425631471073,0.15422410712426182,-0.35935823346049833,-0.03521288573515775,-0.015797367748236923,0.01464507060519707,0.6938285448819709,False,E3 MouseGastrulationData full stage-mapped,related_atlas_stress,related_mouse_gastrulation_atlas,47,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E3_MouseGastrulationData_full,7.75,7.5,8.0,0.3841087003876531,0.0651698404979971,0.01485546506398805,0.008789182955515895,0.0077695309432174176,0.0025815911584428503,0.40141637419359477,True,E3 MouseGastrulationData full stage-mapped,related_atlas_stress,related_mouse_gastrulation_atlas,47,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E3_MouseGastrulationData_full,8.0,7.75,8.25,0.18006699103030765,0.03268089231488331,-0.018978275860187743,-0.022895269279893757,-0.02100749220854148,-0.00694888593293826,0.14438920747803766,False,E3 MouseGastrulationData full stage-mapped,related_atlas_stress,related_mouse_gastrulation_atlas,47,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E3_MouseGastrulationData_full,8.25,8.0,8.5,0.1650347076234624,0.03096458900977908,-0.027407605795960244,-0.05617401529847548,-0.052113585799112294,0.023807228951375395,0.09651169772848633,False,E3 MouseGastrulationData full stage-mapped,related_atlas_stress,related_mouse_gastrulation_atlas,47,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,3.8,3.3,4.3,-0.2625882825852459,-0.07582124301283949,2.014726716823106,0.21504999197999544,1.3826066939098798,0.0008735689813366629,1.5140117567503877,True,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,4.3,3.8,5.3,1.3070979467371333,0.3508193779002,2.057563436878898,-0.2527495265626557,0.29542718609981017,-0.03938054398349746,3.1644298238097512,False,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,5.3,4.3,7.0,-2.7416871910819,-1.1335163712374252,-1.2680889891957623,0.19160338102850788,0.3212423030898851,0.01543519578965044,-3.994285065535879,False,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,7.0,5.3,8.0,1.523764965306888,0.29527854906842876,-0.5783645416212471,0.035100340370388894,-0.025514910747397535,0.002776759248637288,0.9565718661839862,False,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,8.0,7.0,9.0,0.8202053335129103,0.22553762980913097,0.3077808807011877,-0.12895282431024058,0.02016888741069267,0.00020006772983775095,1.0584675802063046,False,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,9.0,8.0,10.0,-0.10519816210403077,-0.037351173797317706,-0.5539806924740203,0.12018895665218994,0.00018960745504958965,0.0011045318648951058,-0.5991317781157185,False,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
E5_zebrafish_Farrell,10.0,9.0,12.0,0.10793705865919234,0.036943741649221803,-0.3185379513943809,-0.043251221874684165,-0.02848363385089203,0.01861386640696644,-0.23934741213525365,False,E5 Farrell zebrafish axial mesoderm subset,independent_developmental_stress,independent_cross_species,32,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
GSE154572_EB_proxy,4.0,0.0,7.0,-0.3952420557339802,-0.12408461526621807,4.02254857284506,0.0006036935315929873,0.19381098642870498,0.003940323885396975,3.5791556172697,True,GSE154572 embryoid-body WT cluster proxy,independent_developmental_stress,independent_cluster_proxy,43,weak,"GRN features show partial branch-window structure but controls, independence or fallback limits prevent stronger claims"
