dataset,tf,target,rank,correlation_proxy
internal_native,Esrrb,Vsx2,1,0.3312332137418559
internal_native,Esrrb,Deptor,2,0.2610333592620017
internal_native,Esrrb,Lhx4,3,0.25121150355008703
internal_native,Esrrb,4930458D05Rik,4,0.2415556317941768
internal_native,Esrrb,Fndc1,5,0.23959546868137807
internal_native,Esrrb,Pomc,6,0.23614003475246498
internal_native,Esrrb,Gm45050,7,0.22916525837552612
internal_native,Esrrb,Nell1,8,0.21889117297404917
internal_native,Esrrb,Rnf125,9,0.2187396418179922
internal_native,Esrrb,Cntnap5c,10,0.20958348352182635
internal_native,Tfcp2l1,Scml4,1,0.46592608414003733
internal_native,Tfcp2l1,Ctsh,2,0.42755753240575994
internal_native,Tfcp2l1,Abcc2,3,0.3801099920117757
internal_native,Tfcp2l1,Otog,4,0.37087790321098624
internal_native,Tfcp2l1,Slc6a13,5,0.36856113248044176
internal_native,Tfcp2l1,Gsta3,6,0.3331422222936224
internal_native,Tfcp2l1,Spib,7,0.2952096386758886
internal_native,Tfcp2l1,1810059H22Rik,8,0.2778862247317097
internal_native,Tfcp2l1,Hcn1,9,0.26035784075915636
internal_native,Tfcp2l1,Rxfp1,10,0.2417907974957461
internal_native,T,Cpa6,1,0.47648593403223155
internal_native,T,Gad1,2,0.4400747510739453
internal_native,T,Rspo3,3,0.41938891888234286
internal_native,T,Epha5,4,0.3724665784718583
internal_native,T,Agpat9,5,0.3238417592499872
internal_native,T,Hoxd4,6,0.3098478495009973
internal_native,T,Kif26b,7,0.30328930171304963
internal_native,T,Sema3e,8,0.29284308558665983
internal_native,T,4930458D05Rik,9,0.26881053472386984
internal_native,T,Rbm20,10,0.2651476040656313
internal_native,Eomes,Cd84,1,1.0757503848917405
internal_native,Eomes,Mpl,2,0.9566589706493585
internal_native,Eomes,Cmah,3,0.7686945504155219
internal_native,Eomes,Adgrg3,4,0.7663335285112877
internal_native,Eomes,Kctd14,5,0.7442545267750784
internal_native,Eomes,Srgn,6,0.7166435382191851
internal_native,Eomes,Rgs18,7,0.7082854566701008
internal_native,Eomes,Wdfy4,8,0.6660307576914767
internal_native,Eomes,Itgb2,9,0.6366474144000897
internal_native,Eomes,Ptgs1,10,0.6170254528351096
internal_native,Lhx1,Slc6a5,1,0.4804455914725363
internal_native,Lhx1,Gad2,2,0.46583453341805886
internal_native,Lhx1,Nrxn3,3,0.3997384351163047
internal_native,Lhx1,Robo3,4,0.3542685362296641
internal_native,Lhx1,Rab3c,5,0.3065845960430364
internal_native,Lhx1,Gfra1,6,0.3025055355118952
internal_native,Lhx1,Mapk10,7,0.3010455887278922
internal_native,Lhx1,Nol4,8,0.2747376916910393
internal_native,Lhx1,St18,9,0.2640858385106592
internal_native,Lhx1,Thsd7a,10,0.2515456273514089
internal_native,Gata4,Colec10,1,0.301380696661589
internal_native,Gata4,Ccbe1,2,0.26864474676959543
internal_native,Gata4,Gucy1a3,3,0.25195309866467797
internal_native,Gata4,Zfpm2,4,0.2437390443965644
