dataset,tf_or_regulon,program,known_biology_mapping,evidence_level
internal_native,Esrrb,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
internal_native,Tfcp2l1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
internal_native,T,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
internal_native,Eomes,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
internal_native,Lhx1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
internal_native,Gata4,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
internal_native,Otx2,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
internal_native,Tal1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
internal_native,Runx1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
internal_native,Gata1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
internal_native,Gata2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
internal_native,Lmo2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
internal_native,Spi1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
internal_native,Irf8,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Pou5f1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Sox2,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E1_MouseGastrulationData,T,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E1_MouseGastrulationData,Mixl1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E1_MouseGastrulationData,Mesp1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E1_MouseGastrulationData,Lhx1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E1_MouseGastrulationData,Sox17,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Snai1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Hand1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Otx2,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Pou3f1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Tal1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E1_MouseGastrulationData,Lmo2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Pou5f1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Nanog,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Sox2,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Klf4,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Esrrb,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Tfcp2l1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Zfp42,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,T,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Eomes,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Mixl1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Mesp1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Mesp2,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Foxa2,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Gsc,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Lhx1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Sox17,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Gata4,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Gata6,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Sox7,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Hhex,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Snai1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Snai2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Twist1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Zeb1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Zeb2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Tbx6,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Msgn1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Hand1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Hand2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Sox1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Sox3,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Pax6,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Otx2,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Pou3f1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Neurog1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Neurog2,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Tal1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Runx1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Gata1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Gata2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Lmo2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Spi1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Irf8,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Cebpa,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Cebpb,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Klf1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E3_MouseGastrulationData_full,Gata5,zebrafish_mesendoderm,zebrafish mesendoderm/notochord-associated developmental program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,NANOG,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,SOX2,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,KLF4,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,ESRRB,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,TFCP2L1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,MIXL1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E5_zebrafish_Farrell,FOXA2,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E5_zebrafish_Farrell,GSC,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
E5_zebrafish_Farrell,SOX17,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,GATA4,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,GATA6,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,SOX7,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,HHEX,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,SNAI2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,TBX6,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,MSGN1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,HAND2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,SOX3,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,OTX2,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,POU3F1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,NEUROG1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,TAL1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,RUNX1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,LMO2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,IRF8,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,CEBPA,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,CEBPB,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,KLF1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,SOX32,zebrafish_mesendoderm,zebrafish mesendoderm/notochord-associated developmental program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,GATA5,zebrafish_mesendoderm,zebrafish mesendoderm/notochord-associated developmental program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,MESPAA,zebrafish_mesendoderm,zebrafish mesendoderm/notochord-associated developmental program,computational_fallback_regulon_activity
E5_zebrafish_Farrell,MESPAB,zebrafish_mesendoderm,zebrafish mesendoderm/notochord-associated developmental program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Pou5f1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Nanog,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Sox2,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Klf4,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Esrrb,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Tfcp2l1,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Zfp42,pluripotency,pluripotency or pre-commitment state program,computational_fallback_regulon_activity
GSE154572_EB_proxy,T,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Eomes,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Mixl1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Mesp1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Mesp2,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Foxa2,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Gsc,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Lhx1,primitive_streak_mesendoderm,"primitive streak, mesendoderm, gastrulation transition program",computational_fallback_regulon_activity
GSE154572_EB_proxy,Sox17,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Gata4,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Gata6,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Sox7,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Hhex,endoderm,definitive/endoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Snai1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Snai2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Twist1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Zeb1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Zeb2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Tbx6,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Hand1,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Hand2,mesoderm_emt,mesoderm or EMT-like transition program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Sox1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Sox3,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Pax6,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Otx2,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Pou3f1,neural_ectoderm,neural/ectoderm lineage commitment program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Tal1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Runx1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Gata1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Gata2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Lmo2,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Spi1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Irf8,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Cebpb,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Klf1,hematopoietic,hematopoietic fate regulator program,computational_fallback_regulon_activity
GSE154572_EB_proxy,Gata5,zebrafish_mesendoderm,zebrafish mesendoderm/notochord-associated developmental program,computational_fallback_regulon_activity
