dataset,tf,program,activity_variance
internal_native,Esrrb,pluripotency,0.9999999999999484
internal_native,Tfcp2l1,pluripotency,1.000000000000026
internal_native,T,primitive_streak_mesendoderm,0.9999999999999781
internal_native,Eomes,primitive_streak_mesendoderm,0.999999999999968
internal_native,Lhx1,primitive_streak_mesendoderm,0.9999999999999976
internal_native,Gata4,endoderm,1.0000000000000269
internal_native,Otx2,neural_ectoderm,0.9999999999999961
internal_native,Tal1,hematopoietic,1.0000000000000053
internal_native,Runx1,hematopoietic,0.9999999999999939
internal_native,Gata1,hematopoietic,0.9999999999999836
internal_native,Gata2,hematopoietic,1.0000000000000087
internal_native,Lmo2,hematopoietic,0.9999999999999875
internal_native,Spi1,hematopoietic,0.9999999999999991
internal_native,Irf8,hematopoietic,0.9999999999999788
E1_MouseGastrulationData,Pou5f1,pluripotency,1.0000000000000007
E1_MouseGastrulationData,Sox2,pluripotency,1.0000000000000002
E1_MouseGastrulationData,T,primitive_streak_mesendoderm,0.9999999999999994
E1_MouseGastrulationData,Mixl1,primitive_streak_mesendoderm,0.9999999999999994
E1_MouseGastrulationData,Mesp1,primitive_streak_mesendoderm,0.9999999999999997
E1_MouseGastrulationData,Lhx1,primitive_streak_mesendoderm,0.999999999999998
E1_MouseGastrulationData,Sox17,endoderm,0.9999999999999992
E1_MouseGastrulationData,Snai1,mesoderm_emt,1.0000000000000002
E1_MouseGastrulationData,Hand1,mesoderm_emt,1.0000000000000004
E1_MouseGastrulationData,Otx2,neural_ectoderm,0.9999999999999998
E1_MouseGastrulationData,Pou3f1,neural_ectoderm,1.0
E1_MouseGastrulationData,Tal1,hematopoietic,1.0000000000000007
E1_MouseGastrulationData,Lmo2,hematopoietic,1.0000000000000002
E3_MouseGastrulationData_full,Pou5f1,pluripotency,0.9999999999999989
E3_MouseGastrulationData_full,Nanog,pluripotency,0.9999999999999994
E3_MouseGastrulationData_full,Sox2,pluripotency,1.0000000000000013
E3_MouseGastrulationData_full,Klf4,pluripotency,0.9999999999999976
E3_MouseGastrulationData_full,Esrrb,pluripotency,1.0000000000000022
E3_MouseGastrulationData_full,Tfcp2l1,pluripotency,1.0
E3_MouseGastrulationData_full,Zfp42,pluripotency,1.0
E3_MouseGastrulationData_full,T,primitive_streak_mesendoderm,1.0000000000000004
E3_MouseGastrulationData_full,Eomes,primitive_streak_mesendoderm,1.000000000000001
E3_MouseGastrulationData_full,Mixl1,primitive_streak_mesendoderm,1.0000000000000018
E3_MouseGastrulationData_full,Mesp1,primitive_streak_mesendoderm,1.000000000000001
E3_MouseGastrulationData_full,Mesp2,primitive_streak_mesendoderm,1.0000000000000007
E3_MouseGastrulationData_full,Foxa2,primitive_streak_mesendoderm,0.999999999999997
E3_MouseGastrulationData_full,Gsc,primitive_streak_mesendoderm,1.0
E3_MouseGastrulationData_full,Lhx1,primitive_streak_mesendoderm,0.9999999999999987
E3_MouseGastrulationData_full,Sox17,endoderm,1.0000000000000013
E3_MouseGastrulationData_full,Gata4,endoderm,0.9999999999999998
E3_MouseGastrulationData_full,Gata6,endoderm,1.0000000000000007
E3_MouseGastrulationData_full,Sox7,endoderm,0.9999999999999983
E3_MouseGastrulationData_full,Hhex,endoderm,0.9999999999999994
E3_MouseGastrulationData_full,Snai1,mesoderm_emt,1.0000000000000009
E3_MouseGastrulationData_full,Snai2,mesoderm_emt,0.9999999999999984
E3_MouseGastrulationData_full,Twist1,mesoderm_emt,1.0000000000000004
E3_MouseGastrulationData_full,Zeb1,mesoderm_emt,1.000000000000002
E3_MouseGastrulationData_full,Zeb2,mesoderm_emt,0.9999999999999992
E3_MouseGastrulationData_full,Tbx6,mesoderm_emt,0.9999999999999984
E3_MouseGastrulationData_full,Msgn1,mesoderm_emt,1.0000000000000004
E3_MouseGastrulationData_full,Hand1,mesoderm_emt,1.0000000000000027
E3_MouseGastrulationData_full,Hand2,mesoderm_emt,0.9999999999999998
E3_MouseGastrulationData_full,Sox1,neural_ectoderm,0.9999999999999973
E3_MouseGastrulationData_full,Sox3,neural_ectoderm,1.0
E3_MouseGastrulationData_full,Pax6,neural_ectoderm,1.000000000000001
E3_MouseGastrulationData_full,Otx2,neural_ectoderm,0.9999999999999983
E3_MouseGastrulationData_full,Pou3f1,neural_ectoderm,1.0000000000000018
E3_MouseGastrulationData_full,Neurog1,neural_ectoderm,0.9999999999999998
E3_MouseGastrulationData_full,Neurog2,neural_ectoderm,1.0000000000000009
