clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
16*NA*NA,3,2,12.0,15.0,1
39*NA*NA,1,1,6.0,6.0,1
52*36*NA,1,1,12.0,12.0,1
52*NA*NA,1,1,9.0,9.0,1
108*639*NA,5,2,12.0,15.0,1
108*NA*NA,4,2,12.0,15.0,1
109*371*NA,4,2,12.0,21.0,1
109*384*NA,2,2,15.0,21.0,1
109*NA*NA,2,2,15.0,21.0,1
110*NA*NA,1,1,15.0,15.0,1
113*NA*NA,1,1,9.0,9.0,1
118*397*NA,4,2,9.0,12.0,1
118*NA*NA,2,1,12.0,12.0,1
120*449*NA,6,3,9.0,15.0,1
120*NA*NA,7,4,9.0,28.0,1
124*212*90,2,1,21.0,21.0,1
124*212*99,1,1,21.0,21.0,1
124*212*NA,113,5,9.0,28.0,2
124*543*NA,15,3,12.0,21.0,1
124*768*99,1,1,21.0,21.0,1
124*768*NA,4,2,21.0,28.0,2
124*NA*NA,23,5,6.0,28.0,2
128*NA*NA,2,2,12.0,28.0,1
130*NA*NA,14,3,9.0,15.0,1
132*NA*NA,2,2,6.0,9.0,2
133*NA*NA,1,1,6.0,6.0,1
134*NA*NA,2,1,6.0,6.0,1
140*NA*NA,2,1,9.0,9.0,1
144*324*NA,1,1,15.0,15.0,1
144*NA*NA,14,4,9.0,21.0,1
151*288*NA,3,2,9.0,15.0,1
151*NA*NA,1,1,12.0,12.0,1
156*317*NA,1,1,21.0,21.0,1
156*416*NA,2,1,12.0,12.0,1
156*527*NA,1,1,12.0,12.0,1
156*NA*NA,1,1,12.0,12.0,1
157*NA*NA,20,4,6.0,21.0,2
158*NA*21,2,1,15.0,15.0,1
158*NA*73,2,2,21.0,28.0,2
158*NA*NA,27,5,9.0,28.0,2
160*NA*NA,2,2,12.0,15.0,1
169*NA*NA,2,1,9.0,9.0,1
174*23*NA,5,2,9.0,12.0,1
176*NA*NA,3,3,6.0,21.0,2
180*NA*NA,11,4,6.0,15.0,1
181*NA*NA,5,3,12.0,28.0,1
187*NA*NA,3,2,6.0,12.0,1
190*92*NA,16,4,9.0,21.0,2
190*245*NA,20,4,9.0,21.0,2
190*NA*NA,8,5,6.0,28.0,2
193*NA*NA,1,1,15.0,15.0,1
