dataset,graph_rule,model_proxy,perturbation_strength,affected_fraction,response_attenuation,mean_seed_velocity_norm,localized
internal,topological,M5_graph_swarm,0.05,0.09388888888888888,0.004575312500000001,7.331793266193526,True
internal,topological,M5_graph_swarm,0.1,0.09388888888888888,0.009150625000000003,7.331793266193526,True
internal,topological,M5_graph_swarm,0.2,0.09388888888888888,0.018301250000000005,7.331793266193526,True
internal,topological,M2_teacher_only,0.05,0.011111111111111112,5.000000000000002e-06,7.331793266193526,True
internal,topological,M2_teacher_only,0.1,0.011111111111111112,1.0000000000000004e-05,7.331793266193526,True
internal,topological,M2_teacher_only,0.2,0.011111111111111112,2.000000000000001e-05,7.331793266193526,True
internal,metric,M5_graph_swarm,0.05,0.09388888888888888,0.004575312500000001,7.331793266193526,True
internal,metric,M5_graph_swarm,0.1,0.09388888888888888,0.009150625000000003,7.331793266193526,True
internal,metric,M5_graph_swarm,0.2,0.09388888888888888,0.018301250000000005,7.331793266193526,True
internal,metric,M2_teacher_only,0.05,0.011111111111111112,5.000000000000002e-06,7.331793266193526,True
internal,metric,M2_teacher_only,0.1,0.011111111111111112,1.0000000000000004e-05,7.331793266193526,True
internal,metric,M2_teacher_only,0.2,0.011111111111111112,2.000000000000001e-05,7.331793266193526,True
internal,random,M5_graph_swarm,0.05,0.2561111111111111,0.004575312500000001,7.331793266193526,True
internal,random,M5_graph_swarm,0.1,0.2561111111111111,0.009150625000000003,7.331793266193526,True
internal,random,M5_graph_swarm,0.2,0.2561111111111111,0.018301250000000005,7.331793266193526,True
internal,random,M2_teacher_only,0.05,0.011111111111111112,5.000000000000002e-06,7.331793266193526,True
internal,random,M2_teacher_only,0.1,0.011111111111111112,1.0000000000000004e-05,7.331793266193526,True
internal,random,M2_teacher_only,0.2,0.011111111111111112,2.000000000000001e-05,7.331793266193526,True
E1,topological,M5_graph_swarm,0.05,0.07600950118764846,0.004575312500000001,8.239242696382126,True
E1,topological,M5_graph_swarm,0.1,0.07600950118764846,0.009150625000000003,8.239242696382126,True
E1,topological,M5_graph_swarm,0.2,0.07600950118764846,0.018301250000000005,8.239242696382126,True
E1,topological,M2_teacher_only,0.05,0.01583531274742676,5.000000000000002e-06,8.239242696382126,True
E1,topological,M2_teacher_only,0.1,0.01583531274742676,1.0000000000000004e-05,8.239242696382126,True
E1,topological,M2_teacher_only,0.2,0.01583531274742676,2.000000000000001e-05,8.239242696382126,True
E1,metric,M5_graph_swarm,0.05,0.07600950118764846,0.004575312500000001,8.239242696382126,True
E1,metric,M5_graph_swarm,0.1,0.07600950118764846,0.009150625000000003,8.239242696382126,True
E1,metric,M5_graph_swarm,0.2,0.07600950118764846,0.018301250000000005,8.239242696382126,True
E1,metric,M2_teacher_only,0.05,0.01583531274742676,5.000000000000002e-06,8.239242696382126,True
E1,metric,M2_teacher_only,0.1,0.01583531274742676,1.0000000000000004e-05,8.239242696382126,True
E1,metric,M2_teacher_only,0.2,0.01583531274742676,2.000000000000001e-05,8.239242696382126,True
E1,random,M5_graph_swarm,0.05,0.33016627078384797,0.004575312500000001,8.239242696382126,True
E1,random,M5_graph_swarm,0.1,0.33016627078384797,0.009150625000000003,8.239242696382126,True
E1,random,M5_graph_swarm,0.2,0.33016627078384797,0.018301250000000005,8.239242696382126,True
E1,random,M2_teacher_only,0.05,0.01583531274742676,5.000000000000002e-06,8.239242696382126,True
E1,random,M2_teacher_only,0.1,0.01583531274742676,1.0000000000000004e-05,8.239242696382126,True
E1,random,M2_teacher_only,0.2,0.01583531274742676,2.000000000000001e-05,8.239242696382126,True
L2,topological,M5_graph_swarm,0.05,0.059444444444444446,0.004575312500000001,11.921442904771066,True
L2,topological,M5_graph_swarm,0.1,0.059444444444444446,0.009150625000000003,11.921442904771066,True
L2,topological,M5_graph_swarm,0.2,0.059444444444444446,0.018301250000000005,11.921442904771066,True
L2,topological,M2_teacher_only,0.05,0.011111111111111112,5.000000000000002e-06,11.921442904771066,True
L2,topological,M2_teacher_only,0.1,0.011111111111111112,1.0000000000000004e-05,11.921442904771066,True
L2,topological,M2_teacher_only,0.2,0.011111111111111112,2.000000000000001e-05,11.921442904771066,True
L2,metric,M5_graph_swarm,0.05,0.059444444444444446,0.004575312500000001,11.921442904771066,True
L2,metric,M5_graph_swarm,0.1,0.059444444444444446,0.009150625000000003,11.921442904771066,True
L2,metric,M5_graph_swarm,0.2,0.059444444444444446,0.018301250000000005,11.921442904771066,True
L2,metric,M2_teacher_only,0.05,0.011111111111111112,5.000000000000002e-06,11.921442904771066,True
L2,metric,M2_teacher_only,0.1,0.011111111111111112,1.0000000000000004e-05,11.921442904771066,True
L2,metric,M2_teacher_only,0.2,0.011111111111111112,2.000000000000001e-05,11.921442904771066,True
L2,random,M5_graph_swarm,0.05,0.26611111111111113,0.004575312500000001,11.921442904771066,True
L2,random,M5_graph_swarm,0.1,0.26611111111111113,0.009150625000000003,11.921442904771066,True
L2,random,M5_graph_swarm,0.2,0.26611111111111113,0.018301250000000005,11.921442904771066,True
L2,random,M2_teacher_only,0.05,0.011111111111111112,5.000000000000002e-06,11.921442904771066,True
L2,random,M2_teacher_only,0.1,0.011111111111111112,1.0000000000000004e-05,11.921442904771066,True
L2,random,M2_teacher_only,0.2,0.011111111111111112,2.000000000000001e-05,11.921442904771066,True
