seed,control,effect
7,zero_memory_control,0.0
7,random_memory_control,-0.0037127579657459083
7,swapped_memory_control,-0.0
17,zero_memory_control,0.0
17,random_memory_control,0.0005761351166382414
17,swapped_memory_control,-0.0
23,zero_memory_control,0.0
23,random_memory_control,-0.0015208705804254465
23,swapped_memory_control,-0.0
42,zero_memory_control,0.0
42,random_memory_control,-0.0039431328641684965
42,swapped_memory_control,-0.0
99,zero_memory_control,0.0
99,random_memory_control,0.00023014674661020777
99,swapped_memory_control,-0.0
